,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
t4,-0.22226666,-0.1447868,0.38006234,5.5852003,-0.76275223,0.23657116,1.6893507,-0.1110749,3.421778,2.5530934,-0.09048184,5.3508134,-0.07552477,-0.07829097,-0.15995209,-0.004090248,3.0587857,-0.42066175,-0.12449635,5.045506,-0.49026632,0.17021632,-0.095654406,-0.00021302994,-0.26303646,-0.69398755,-0.3460962,1.55908,0.0024146577,-0.063837685,1.6191618,5.5016294,1.0830258,1.6949981,10.319748,-0.09467307,0.31462362,-0.2706977,0.3534716,-0.34843385,-0.0021067206,-0.3809196,1.8178511,-0.012058808,8.663952,7.1189384,-0.19053723,3.0703444,-0.18678083
t5,-0.20813817,-0.123824805,0.67450297,5.6106715,-0.83100545,0.27162308,1.4091539,-0.10546339,4.0434675,2.6889045,-0.10043922,5.4477406,-0.07070637,-0.07592262,-0.16299611,-0.050890982,2.7287703,-0.4375629,-0.14775068,5.3412004,-0.6396001,0.1672769,-0.09404495,-0.0002017,-0.26444286,-0.74678713,-0.3396205,1.4968433,-0.015207653,-0.082205646,1.1768016,5.47238,1.1283396,1.4954593,12.055119,-0.095740385,0.47990987,-0.25808424,0.926007,-0.37372053,-0.0029723353,-0.511798,2.1849701,-0.0144879725,8.615116,6.9525976,-0.19874333,2.776683,-0.18598758
t6,-0.20149164,-0.18618116,-0.0009857788,5.504731,-0.6407179,0.16705519,2.32223,-0.115498714,2.16004,2.3313055,-0.06843912,4.989216,-0.082747534,-0.078174375,-0.15959643,1.8282983,3.4721706,-0.3855818,-0.07279087,4.522448,-0.23095997,0.18457736,-0.09973606,-0.00030818282,-0.26461214,-0.59558153,-0.3647218,1.7202363,0.059357394,-0.02218445,2.8646057,5.567288,0.6619512,2.2809734,6.929261,-0.095551096,-0.0004610426,-0.31511462,-0.016813364,-0.30521083,-0.0055362647,-0.1344498,1.0201454,-0.0078110723,9.0443,7.596111,-0.18959576,3.514701,-0.18989556
t7,-0.21587299,-0.14800389,0.3143329,5.5979424,-0.7484283,0.22664429,1.7895095,-0.11046536,3.2685537,2.5082693,-0.08741849,5.288255,-0.076868385,-0.07965383,-0.16046643,0.14305061,3.1256552,-0.414289,-0.11674689,4.9722524,-0.4602946,0.1722025,-0.09674003,-0.00021041877,-0.262483,-0.6840079,-0.34974584,1.6192712,-0.0027852077,-0.058675796,1.7366284,5.535051,1.0004035,1.7378533,9.877945,-0.094366305,0.3115866,-0.27155465,0.15605263,-0.3448712,-0.0020433294,-0.34968245,1.6922976,-0.009808262,8.728708,7.177332,-0.18996525,3.1371014,-0.18505077
t24,-0.0628161,0.5314885,1.7364687,3.1356354,-0.7263659,0.32789275,-0.012786069,-0.020249326,5.125796,1.636611,-0.09090987,3.8348436,-0.012280196,-0.030058803,-0.116861746,-0.23432127,0.40955025,-0.30436608,-0.15882112,4.2706714,-0.8685757,0.074536756,-0.08706931,-0.00012279548,-0.16331238,-0.67889357,-0.12825376,0.77826166,-0.10998469,-0.12805589,0.032030907,2.7111619,1.2023343,-0.0015805464,14.482513,-0.06556494,1.1817706,-0.09598712,3.3072858,-0.31527126,-0.014026785,-0.8528433,3.469573,-0.023055177,4.672289,2.4831896,-0.11475687,0.10332668,-0.07531361
t25,-0.060838945,-0.028994106,0.66314316,2.7022822,-0.35973522,0.13525338,0.6423157,-0.033868738,2.323648,1.5024999,-0.04136688,3.0233426,-0.030459909,-0.04108522,-0.08868593,-0.045482736,1.7198198,-0.22484697,-0.055873904,2.2474718,-0.3003309,0.07924331,-0.060545746,-8.4379346e-05,-0.120882586,-0.3203988,-0.15205254,0.75851715,-0.032507453,-0.036347896,0.28363478,2.8300495,0.8547026,0.48232424,6.4207215,-0.05018903,0.37700993,-0.116095655,1.3505415,-0.20849836,-0.010316364,-0.2841693,0.67496693,-0.014519221,3.6109483,2.8521018,-0.09520015,0.55564225,-0.08148878
t22,-0.058722712,0.7394953,2.0130901,3.39192,-0.8332557,0.38631508,-0.01850785,-0.016554011,6.040298,1.6306547,-0.104400985,4.1268888,-0.0035826527,-0.029811956,-0.12578481,-0.29131216,0.07575782,-0.33012676,-0.18864673,4.8115835,-1.0339713,0.07647243,-0.092932574,-0.00014520202,-0.18124521,-0.81651056,-0.11233656,0.8630092,-0.14988375,-0.1579165,0.043804005,2.7908175,1.2807769,-0.0044491384,17.010565,-0.07020364,1.4164451,-0.08388465,3.8105967,-0.34724462,-0.015668739,-1.0249557,4.416993,-0.024070133,5.1784067,2.4055974,-0.12073189,0.08184093,-0.07291284
t29,-0.06773901,0.089680694,1.2754211,2.7527015,-0.5458748,0.23044902,0.0014886716,-0.028834421,3.679254,1.7238519,-0.06667867,3.4473498,-0.027235784,-0.03186333,-0.09932737,-0.13913178,1.1031697,-0.2852083,-0.113665506,3.2557697,-0.56233996,0.08045717,-0.07787736,-8.918531e-05,-0.13585202,-0.47128734,-0.1417905,0.6668654,-0.046692874,-0.08093311,0.014806652,2.6797838,1.265856,0.0697239,10.42205,-0.06435993,0.97343016,-0.10912427,2.4441357,-0.2702879,-0.010914447,-0.54919785,1.9776683,-0.021531101,3.997033,2.5735855,-0.104238056,0.12053606,-0.0722452
t30,-0.06874403,0.47260454,1.5877726,2.9997094,-0.66181487,0.2972714,-0.00907992,-0.024945104,4.600369,1.7302951,-0.082776956,3.693583,-0.018030906,-0.03174465,-0.110268004,-0.1993049,0.6128879,-0.3039327,-0.1409963,3.9746387,-0.7588802,0.07684745,-0.08596276,-0.0001023034,-0.15517734,-0.6112069,-0.13489023,0.6510749,-0.08405525,-0.11466173,0.027786044,2.7041163,1.213775,0.003701779,13.2517605,-0.069061205,1.1276289,-0.10129588,3.0114672,-0.30446652,-0.014003938,-0.75364053,2.9556596,-0.02346571,4.537384,2.5013692,-0.10889177,0.08411719,-0.07845779
t23,-0.05948742,0.7241801,1.9636105,3.358524,-0.810235,0.37694517,-0.016820114,-0.017289259,5.861929,1.675379,-0.10172476,4.080628,-0.0050715506,-0.030533042,-0.12268816,-0.28130868,0.1730979,-0.3309283,-0.18222985,4.721105,-0.9989872,0.07712102,-0.093436964,-0.0001397398,-0.17823394,-0.7950359,-0.11445966,0.835536,-0.14178148,-0.15406328,0.042436864,2.8000011,1.2805462,-0.003799545,16.628347,-0.07190031,1.4029279,-0.084573485,3.7238493,-0.34434724,-0.015334462,-0.9938803,4.2726207,-0.024194244,5.140896,2.4237547,-0.11723136,0.064168125,-0.07234403
