,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
t1,10.1556635,8.131436,6.0901914,1.9939668,6.1843967,5.4599476,6.161709,5.954118,4.69848,8.018081,4.3903947,5.1126676,4.044577,4.3502045,4.0096846,5.8295627,6.847225,4.180692,5.798616,3.0535808,4.644486
t2,10.011107,8.213987,5.9237013,1.8929455,6.0838957,5.4434648,6.055642,5.9773335,4.7134233,7.870918,4.37038,5.084296,3.894671,4.5034933,3.9072347,5.806264,7.0073595,4.250813,5.7499046,3.2055101,4.569149
t5,9.446733,8.41565,5.177425,1.8484503,5.8100114,5.4726295,5.652137,6.1362457,4.2400804,7.266395,4.592073,4.89505,3.2157178,5.1009808,3.566971,5.640581,7.624075,4.582056,5.6516404,3.8297915,4.2924423
t8,9.230083,8.410038,4.7922573,1.868811,5.7279487,5.5639553,5.5382233,6.235981,3.958814,7.0266356,4.785354,4.792074,2.962446,5.352214,3.5174499,5.51539,7.8359337,4.7192907,5.685257,4.047619,4.278716
t38,9.582261,8.454602,5.4257493,1.9542115,5.9551697,5.424857,5.69172,5.9923186,4.366037,7.4361777,4.5639396,4.9404535,3.3927746,4.8644967,3.5771778,5.7392144,7.4359846,4.466012,5.63052,3.6207523,4.2812643
t66,9.668974,8.434468,5.559152,1.9873672,6.007173,5.4056325,5.737796,5.956249,4.4323554,7.5333986,4.5478644,4.9628506,3.516876,4.7717676,3.6184292,5.763448,7.332682,4.407142,5.6402054,3.5186057,4.318281
t89,9.896104,8.307402,5.8171043,1.9697634,6.0953,5.409572,5.9151607,5.940853,4.5746193,7.7628407,4.472804,5.027023,3.7893476,4.577951,3.7790475,5.7972226,7.099569,4.2933445,5.7010183,3.2936068,4.456054
t90,10.140588,8.13837,6.0794296,2.144255,6.248828,5.4435806,6.1098704,5.963435,4.4658427,7.9979877,4.5115857,5.054442,4.0272317,4.33774,3.9525607,5.815816,6.8606486,4.2199135,5.773738,3.0577948,4.5869555
t19,9.580633,8.498693,5.3906255,1.8959231,5.916249,5.4024262,5.6699076,5.971394,4.399815,7.4208903,4.514379,4.9598603,3.4034479,4.856891,3.5403256,5.7770133,7.4478517,4.45934,5.5935645,3.601543,4.27149
t195,11.896575,11.217896,10.349695,-0.17030369,4.0767055,3.0525336,6.2108707,4.520638,4.6135015,8.368878,3.6371388,3.5388942,6.512777,3.3130834,2.6679044,8.382211,8.506449,3.2084436,2.1198776,1.9798316,5.2039056
t198,11.972538,11.225917,10.409373,-0.18540329,4.0939693,2.977789,6.235964,4.437874,4.602756,8.378042,3.6080236,3.55159,6.50153,3.3093338,2.6683285,8.390982,8.470464,3.2550895,2.106141,1.9066398,5.222738
t199,11.944968,11.199119,10.418258,-0.20336924,4.110221,3.0051227,6.237741,4.4706664,4.610748,8.355368,3.6045263,3.5836751,6.4747796,3.3385746,2.6893268,8.363523,8.449397,3.2755036,2.1243634,1.9316684,5.2221456
t71,11.473608,10.784125,9.959326,-0.11938406,3.9912817,3.1188533,6.1115837,4.8744326,4.4502106,8.011545,3.9364135,3.9151824,6.5693064,4.0516534,2.876555,7.8012385,8.19825,2.88836,2.1607435,2.6861143,4.954574
t122,11.676306,11.03839,10.17544,-0.22399919,3.9738088,3.198018,6.218179,4.821724,4.4915714,8.281331,3.7096498,3.6109135,6.626787,3.6148307,2.6730375,8.182621,8.401009,3.09823,2.1136386,2.3620558,5.1537886
t123,11.811468,11.297145,10.271686,-0.18845673,3.9904764,3.1949987,6.1972346,4.703332,4.625885,8.40498,3.732621,3.4875646,6.5132527,3.128904,2.6131103,8.492165,8.50534,3.057506,2.1121728,2.0300968,5.1698246
t77,11.678672,10.99545,10.144868,-0.16342944,4.0066023,3.1542578,6.179325,4.798533,4.5141797,8.213412,3.7948472,3.6800377,6.6107492,3.6566186,2.697554,8.134941,8.3658,3.0449905,2.1290073,2.3967905,5.0735865
t111,11.855403,11.352004,10.333699,-0.1588654,4.058849,3.1879923,6.2083087,4.58287,4.6380625,8.451453,3.6229074,3.4167833,6.532991,3.117887,2.637427,8.52007,8.591948,3.184262,2.1010292,1.9079219,5.247527
t112,11.710511,11.091944,10.146718,-0.17871699,4.0138707,3.2082293,6.1947317,4.7524257,4.5655847,8.271825,3.732366,3.5735166,6.604573,3.5025263,2.7159448,8.241549,8.455981,3.0927444,2.1487663,2.2677824,5.149432
t102,11.676877,11.012468,10.138847,-0.20308019,3.9871469,3.175444,6.208561,4.7787256,4.4973936,8.235336,3.736263,3.6249683,6.6415434,3.6800475,2.7290065,8.140717,8.378305,3.0828714,2.1238115,2.3992527,5.140678
t110,11.815806,11.302179,10.301657,-0.1555577,4.0449696,3.1991007,6.201704,4.6215067,4.6283054,8.410503,3.6529846,3.4437509,6.5627484,3.1707115,2.6482377,8.475982,8.576551,3.1560462,2.1100504,1.9811006,5.2146683
t148,11.742548,11.161007,10.199528,-0.17782393,4.0182805,3.1948104,6.2030773,4.7042246,4.572254,8.312996,3.7044637,3.5283797,6.597785,3.4115624,2.700786,8.311302,8.484085,3.1131072,2.1344573,2.1824322,5.174766
t149,11.7708845,11.27557,10.27823,-0.12304044,4.1012487,3.2414052,6.1756625,4.609967,4.6177406,8.371781,3.6113057,3.4467573,6.5725217,3.2675686,2.7130167,8.417934,8.63176,3.224081,2.1324983,1.9779551,5.231312
t86,11.815605,11.338096,10.289464,-0.13493678,4.0473404,3.2238064,6.177582,4.630238,4.665138,8.424368,3.6628876,3.4186327,6.5334067,3.1406977,2.6560931,8.512399,8.615582,3.1418996,2.132468,1.9543196,5.218563
t84,11.755839,11.252021,10.240898,-0.13853037,4.0504656,3.2342734,6.1754003,4.676869,4.620437,8.361754,3.666526,3.4699202,6.567737,3.258284,2.6936576,8.4138775,8.590527,3.1488333,2.140653,2.0428798,5.1984525
t59,11.400065,10.843128,9.886714,-0.18321137,3.9345472,3.1907163,6.1372623,4.934965,4.398056,7.94084,4.0015316,3.8572893,6.6226635,4.137809,2.9395657,7.817803,8.17607,2.8264027,2.1069508,2.7602391,5.017067
t60,11.612733,10.900784,10.086762,-0.19950183,3.9784048,3.1383388,6.1861196,4.8372936,4.463407,8.14806,3.8023365,3.7586176,6.602129,3.7702847,2.774782,7.9999156,8.285181,3.0168197,2.1341698,2.4815505,5.0734096
t98,11.713683,10.98756,10.115249,-0.29442683,3.975088,3.1687424,6.2781034,4.7378354,4.538601,8.246355,3.6790996,3.6307824,6.592426,3.7418826,2.7659988,8.100993,8.317643,3.1510468,2.1869645,2.3727286,5.2271476
t99,11.61134,10.956455,10.065083,-0.26121265,3.950196,3.1996858,6.2358828,4.8320026,4.460325,8.202871,3.7309997,3.6580017,6.651454,3.8313992,2.767377,8.041437,8.320608,3.0777369,2.1421485,2.493522,5.165429
t119,11.689928,10.976498,10.118897,-0.25540358,4.0178766,3.180055,6.2417145,4.7377877,4.56312,8.231648,3.690395,3.6782365,6.541243,3.7124655,2.768652,8.0957775,8.344793,3.1612673,2.2148702,2.342559,5.1909194
t167,11.691962,11.200481,10.220258,-0.11901885,4.126173,3.2619202,6.146558,4.6662154,4.591433,8.309589,3.6047435,3.5341015,6.5416203,3.4321158,2.7586062,8.3261385,8.612479,3.2652998,2.1646392,2.0500648,5.2092757
t168,11.629024,11.204543,10.170692,-0.108006,4.1015463,3.302502,6.138492,4.7334366,4.544234,8.292347,3.6130369,3.499909,6.610284,3.4077322,2.773879,8.326773,8.638378,3.236247,2.151985,2.0900686,5.1995835
t67,11.451472,10.847048,9.929629,-0.18250825,3.9391649,3.1837015,6.13871,4.9219294,4.4163895,7.990149,3.9493933,3.847388,6.632789,4.0723095,2.8945985,7.8435826,8.219512,2.884681,2.1050913,2.7081969,5.023666
t58,11.501334,10.841931,9.9805355,-0.18298213,3.9517138,3.1835957,6.134341,4.9186277,4.443174,8.02033,3.89986,3.8495512,6.6363177,4.0356717,2.835065,7.8573146,8.2785,2.9342127,2.106084,2.6753533,5.022145
t49,11.420554,10.760942,9.916955,-0.12217547,3.9495606,3.133848,6.0880065,4.9270024,4.395664,7.9646072,3.9684315,3.934384,6.614909,4.1325073,2.8911123,7.7462964,8.224419,2.8606057,2.1186306,2.7787793,4.9434257
t114,11.862328,11.135964,10.344313,-0.16622823,4.0926204,3.0722713,6.200238,4.579233,4.6046834,8.336648,3.6484206,3.6322327,6.4715056,3.4147444,2.667162,8.298986,8.468773,3.2131183,2.1344824,2.0362875,5.170608
t115,11.802719,11.019052,10.310647,-0.1795675,4.0609155,3.0799408,6.1926675,4.7131224,4.566862,8.304169,3.692877,3.7370312,6.449354,3.5387785,2.623177,8.187962,8.394497,3.1517453,2.1348321,2.1947484,5.1063004
t56,11.458261,10.754791,9.952198,-0.10135708,3.9960134,3.106717,6.096078,4.8777575,4.447151,7.9962015,3.9473448,3.9478276,6.5656767,4.0797105,2.8803513,7.767039,8.193336,2.8774545,2.1644237,2.7135668,4.9270306
t29,9.325821,8.5483,4.981673,1.8394651,5.721154,5.462857,5.5050335,6.1322103,4.0114713,7.045886,4.7784734,4.739423,3.084601,5.2279696,3.418185,5.6409783,7.8343387,4.6386375,5.55522,3.9364176,4.2237105
t51,11.728167,10.958713,10.176588,-0.17112932,4.0576243,3.127593,6.1915026,4.742524,4.5744734,8.232304,3.7549717,3.7610283,6.465713,3.6279476,2.7011766,8.100043,8.337345,3.1047332,2.2024753,2.287556,5.0811872
t52,11.521848,10.777955,9.998832,-0.10960896,4.0290728,3.1071746,6.1223364,4.838373,4.4920077,8.056774,3.8949673,3.9189034,6.5234,3.9998512,2.8464787,7.815647,8.203114,2.9315464,2.2027922,2.628262,4.9533806
t21,9.302376,8.44768,4.937661,1.8910135,5.767436,5.5209694,5.5552816,6.177035,4.005598,7.088236,4.7604203,4.801144,3.0402265,5.248565,3.4984465,5.5819983,7.783158,4.6682496,5.640812,3.9644399,4.2533765
t14,9.362934,8.395231,5.009664,2.003552,5.8469143,5.531122,5.6104565,6.1643543,3.9326484,7.1601567,4.8010006,4.81863,3.074754,5.1641464,3.5397568,5.5989094,7.7156243,4.6459637,5.662745,3.8985815,4.2676196
t24,9.319305,8.384365,4.938785,1.9752928,5.8098392,5.5548854,5.5995436,6.204795,3.9050732,7.1095266,4.806504,4.805852,3.0207267,5.227581,3.539224,5.565369,7.769137,4.6856904,5.670398,3.9572906,4.275198
t76,9.736497,8.267762,5.5921717,2.27283,6.114992,5.4817443,5.8551064,6.056679,3.9998698,7.5606103,4.734878,4.920564,3.4510803,4.698618,3.6955175,5.725383,7.3465033,4.471234,5.6780033,3.5003724,4.35982
t162,10.23391,7.957346,6.156231,2.675615,6.445784,5.4708095,6.2281375,6.1266646,3.7898219,8.042888,4.8212843,4.976669,3.9450076,4.196447,4.005311,5.756021,6.8831286,4.299791,5.7790685,3.01668,4.555991
t163,10.204161,7.9587407,6.126816,2.719392,6.4411488,5.4862742,6.1996517,6.1394434,3.7461996,8.02003,4.8549767,4.9594955,3.9129026,4.200316,4.0016527,5.7521296,6.91404,4.325016,5.767829,3.0449924,4.5438085
t41,9.535053,8.328808,5.2937,2.1675348,5.986713,5.5169835,5.7365885,6.115042,3.9163733,7.3467665,4.774951,4.870651,3.2167373,4.9326777,3.6093237,5.6614494,7.5563245,4.5777807,5.6659346,3.7225215,4.3012
t42,9.69547,8.269567,5.5281,2.2750661,6.0915923,5.500329,5.8394938,6.0748086,3.9339707,7.5075984,4.7536874,4.9071317,3.3764718,4.750177,3.6779842,5.7133856,7.412236,4.505839,5.671686,3.5581284,4.348846
t33,9.457763,8.327204,5.159008,2.1213074,5.9278917,5.5459876,5.702411,6.1648536,3.8646944,7.2578874,4.798593,4.84688,3.121185,5.0444183,3.5957243,5.619181,7.648323,4.633182,5.6699724,3.8220365,4.2955575
t30,10.238602,7.9770427,6.162766,2.5842474,6.422095,5.4687214,6.2265515,6.103945,3.9199498,8.056824,4.759496,4.998102,3.978281,4.2003493,4.013198,5.765747,6.860179,4.27797,5.783562,3.0070727,4.5745254
t16,9.190414,8.351958,4.701059,1.9174787,5.736326,5.608249,5.544036,6.273237,3.840358,6.978482,4.8809404,4.770169,2.9012568,5.408045,3.5347874,5.497287,7.874834,4.752118,5.70441,4.088207,4.268133
t145,12.709733,2.0440793,5.7906833,0.14321217,7.2533956,5.4570627,8.871948,9.575175,2.7846818,10.445663,6.5271406,7.3479724,6.8929667,5.9651294,2.6890137,2.0335283,2.953715,5.639776,8.857513,2.9915547,1.0401376
t146,12.716116,2.0620754,5.856024,0.17486468,7.187448,5.5307875,8.825607,9.496925,2.713888,10.510906,6.608628,7.4134,6.8041515,6.0390663,2.7301927,2.0677476,3.036005,5.590596,8.7695875,2.92542,1.1110932
t211,12.747858,2.0610802,5.8268375,0.15189397,7.2178617,5.522832,8.853628,9.492262,2.7368624,10.531898,6.568638,7.3658876,6.8209844,6.026336,2.7037938,2.0431304,3.025943,5.616153,8.774302,2.9681833,1.0732903
t212,12.8309355,1.9778583,5.8102694,0.18968332,7.2377744,5.549929,8.818587,9.464277,2.724327,10.567394,6.5100517,7.256099,6.8027825,6.0412874,2.734135,2.0804884,3.0499096,5.593294,8.754065,3.0417137,1.0314969
t140,12.718509,2.0638113,5.8146114,0.1451276,7.228049,5.4902263,8.869817,9.5286045,2.7638893,10.493824,6.5655084,7.3764033,6.852335,5.998976,2.690666,2.0338848,2.9925566,5.634118,8.808185,2.9604623,1.0723722
t180,12.768716,2.0932112,5.818575,0.09364326,7.2276735,5.560822,8.869733,9.446431,2.7225182,10.589774,6.5739594,7.3815703,6.78418,6.072379,2.6753056,1.9981413,3.0626435,5.6334414,8.729071,2.9777732,1.0619771
t213,12.836832,2.016625,5.766416,0.08636294,7.2809777,5.589993,8.868769,9.415484,2.7459602,10.62439,6.4987698,7.2893796,6.7595854,6.0897107,2.6507747,1.9909598,3.0919018,5.671513,8.703712,3.0470424,0.9973347
t214,12.767729,2.1243632,5.827853,0.116947025,7.212217,5.5545945,8.913107,9.41292,2.7552574,10.626785,6.602095,7.403266,6.780108,6.0486217,2.6427503,1.9942132,3.0721314,5.672415,8.700661,2.931168,1.0947901
t210,12.767772,2.1260352,5.8399477,0.08693188,7.206521,5.5636234,8.865851,9.436928,2.7067773,10.599549,6.6022854,7.4094133,6.7809887,6.0712023,2.6808038,1.994153,3.0676086,5.6178603,8.721615,2.9624476,1.0840698
t137,12.805228,2.0543277,5.8355403,0.16232504,7.221269,5.6127415,8.833363,9.422277,2.6660876,10.611701,6.530227,7.344466,6.753048,6.09586,2.7170968,2.0530152,3.1021218,5.593134,8.716388,2.9985704,1.0136642
t143,10.186074,7.864313,6.0544415,3.006285,6.528423,5.5902047,6.2491508,6.170977,3.2635972,7.834628,5.0547295,4.8795896,3.5772667,4.3354335,3.8772902,5.714557,7.1826725,4.4672923,5.7361493,3.1840017,4.463828
t144,10.244184,7.8601346,6.1533074,2.9770312,6.5473795,5.519705,6.2672715,6.200819,3.4017322,7.9661803,5.0207505,4.905382,3.7914138,4.208277,3.9588816,5.718555,6.9934435,4.3974147,5.761421,3.0571136,4.5064154
t125,10.098518,7.9259195,5.9728103,2.9256034,6.4476166,5.6209087,6.1761384,6.1283264,3.2645862,7.7307134,5.004482,4.877188,3.5084312,4.4502425,3.817533,5.7336802,7.243404,4.5086946,5.719267,3.2578197,4.457349
t100,10.036608,7.9737473,5.90707,2.8596683,6.3920236,5.6322436,6.1246667,6.104939,3.293892,7.6687946,4.976477,4.8795433,3.4419184,4.520174,3.7800152,5.735898,7.3065515,4.5261426,5.707367,3.3212883,4.4381633
t94,10.194743,7.9006743,5.9783483,2.9791625,6.5251417,5.5519843,6.2685084,6.140388,3.231908,7.8047986,5.034618,4.8837695,3.4880822,4.383094,3.8134139,5.6648,7.2653184,4.442977,5.725196,3.2721782,4.398003
t106,10.08045,7.940416,5.9483166,2.9086466,6.432484,5.625013,6.1619334,6.120702,3.2635753,7.715424,4.9972453,4.878332,3.4820495,4.468546,3.8090131,5.735649,7.268523,4.5106053,5.716571,3.2793748,4.4541993
t107,10.248972,7.9081707,6.1546383,3.0041344,6.5248423,5.4747834,6.2325487,6.212428,3.4292154,8.084502,4.996222,4.9319777,3.906317,4.090313,4.0604076,5.7382493,6.9075418,4.3154674,5.781334,3.0226007,4.549891
