"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113"
"t66",-0.109847447777975,0.00442548131783596,-0.192634787990421,-0.0140983233799716,0.000173110257849499,-0.00186987599039714,-5.96318357432355e-05,-0.000266853260457973,-0.369503088882493,-0.00937470603919894,-0.223450848779333,0.00287930187956938,-1.60861567024335e-05,0.000631650220654152,0.000437129923310995,0.00326602534534824,0.00764938850923239,-0.0324835016703151,4.40468551341519e-05,0.000506390306734512,-0.0214135005090712,-0.00753729196142173,-0.00260779140692275,-0.00631685262314143,-4.77302235283965e-05,0.000843150282168205,0.000230811513203303,-0.000228632720457427,-4.31448381509506e-06,-0.000135249660004403,5.31415034847118e-06,6.27318552480431e-05,1.82407254656211e-05,-1.11297848328526e-05,-5.82129326223427e-06,-0.000139095793918184,-3.68509111524937e-05,0.000329518837120974,-9.49731238014307e-05,-8.66285028466998e-07,-5.20284226074577e-05,-2.9319079907027e-06,8.50881057022033e-05,8.41882738734776e-05,-4.46223331106632e-06,-4.11337131330224e-07,-1.79062276508786e-15,-8.85493213335817e-06,-0.014561849354752,4.01335644016443e-05,-4.17571986530175e-16,0.00237559209913872,-3.17275016808576e-06,4.0106066776155e-06,-8.09377129068293e-06,-6.67664390679271e-07,-3.42731173957604e-06,-6.89400435776195e-06,0.00492687947581016,0,1.75005008099026e-06,-3.92399719151382e-07,0.00716864491375247,8.98871068037726e-07,-2.07209466995791e-05,0.0031533068315832,-1.36979861932601e-16,-1.44518920531623e-07,-2.33269735445077e-05,1.60136256452896e-15,-3.87342738892889e-08,-7.1268805313676e-09,1.38007734498502e-08,7.71666634870106e-10,3.93573151734407e-09,-1.48544539755927e-14,2.12352520587719e-14,-6.65160457825299e-14,1.34304725229072e-07,-0.00122309418395949,0.526716745700135,-8.37510031492487e-07,-1.98141849046844e-14,-7.56205309856277e-14,-1.93436562211905e-08,-0.689761709414662,-4.32170088510641e-08,5.63211140467246e-15,-2.41625592963926e-10,-3.85594323635973e-14,-9.09441781345578e-15,-3.57073641037992e-08,6.67404220737342e-07,-3.24134165889098e-15,-3.04308398173261e-15,4.11944086280009e-15,1.10757632603397e-13,-6.40630242748908e-07,3.36951555801248e-15,-2.30640734039229e-15,1.07058048271303e-15,1.09585513313915e-08,-1.66876899087244e-09,1.82806563655046e-15,7.09068475946382e-15,-1.02389990852222e-16,-1.25953949302631e-07,-1.30239790385917e-14,0.000286843271518133,2.23508690340907e-14,6.940501110219e-15,3.66194436564727e-14,-0.0940720868383658
"t67",-0.109851971542861,0.00442585309269866,-0.192652683887243,-0.014101874184398,0.000173169378540202,-0.00187064238325177,-5.9659958231948e-05,-0.000267003145397453,-0.369725476363501,-0.009380876377038,-0.223649055592,0.00288246219862337,-1.61047383397126e-05,0.000632650377156775,0.00043783615097812,0.00327223870598197,0.00766416050127574,-0.0325483771020575,4.41407888584402e-05,0.000507547197218942,-0.0214666513923233,-0.00755675527021426,-0.00261523475269034,-0.00633546049997499,-4.78726629251536e-05,0.000845773154147169,0.000231551910873245,-0.000229389818753126,-4.33073125546332e-06,-0.000135776256505959,5.33601203996602e-06,6.29910145193498e-05,1.83275091109372e-05,-1.11885817963053e-05,-5.85252040883444e-06,-0.000139851181287939,-3.70581071499692e-05,0.000331412800001447,-9.55190747665388e-05,-8.716017524065e-07,-5.23561926987542e-05,-2.95090497744645e-06,8.56478459670664e-05,8.47745824925452e-05,-4.49448244043976e-06,-4.14433877167112e-07,-1.39369802803571e-15,-8.93083025053314e-06,-0.0146964341443896,4.0524264417152e-05,-1.10802333970708e-15,0.00240106385735792,-3.20679656741841e-06,4.05921145377919e-06,-8.20167055109878e-06,-6.78625431036787e-07,-3.48441936744029e-06,-7.0402908987888e-06,0.00503353363084772,-2.51072111884801e-15,1.79807727750996e-06,-4.04010534861762e-07,0.00739928450559991,9.27952571362253e-07,-2.14175195197846e-05,0.00326970539438095,2.53246538790896e-15,-1.51596842946162e-07,-2.47152321256773e-05,-2.99622064427495e-15,-4.14269198289092e-08,-7.66631006044491e-09,1.50756755854552e-08,8.75502759572725e-10,4.49054280676489e-09,-3.18417231770234e-14,2.0934629840403e-14,-7.31386342424875e-14,1.20271875847822e-07,-0.00110573806440328,0.4788201969133,-7.70195795316535e-07,1.48512334906054e-14,-3.20703577533003e-14,-1.8158028260289e-08,0.723640467145396,-4.23699231652797e-08,-2.96912418834787e-14,-2.33588773899849e-10,4.26787613805834e-14,2.5572908484155e-14,-3.46998006792334e-08,6.48761326871315e-07,3.40540493098563e-15,6.78763840612249e-15,-1.03587384140999e-15,-6.61164388654003e-14,-6.26609043686918e-07,-6.79420269059936e-15,9.55103843611052e-15,-9.48176657974449e-15,1.07398944692803e-08,-1.63586624876068e-09,1.35089648131534e-17,-6.24981161202297e-16,2.04124713569816e-15,-1.23851623116222e-07,8.42701442734522e-15,0.000282111602386956,1.77187965971922e-14,2.09907436685857e-16,4.33301285755532e-14,-0.0940720868383522
"t88",-0.109948540262499,0.00443378919389097,-0.193034697394201,-0.0141776652047259,0.000174431238872697,-0.00188699957125091,-6.02601607368232e-05,-0.000270201914867609,-0.374471465937237,-0.009512554460048,-0.227878420214973,0.00294989073562673,-1.65011851559157e-05,0.000653984823798412,0.000452900543862865,0.00340475700453626,0.00797921278108906,-0.0339319774810037,4.61439926201735e-05,0.000532217010978633,-0.0225999529310793,-0.00797174008515553,-0.0027739180763526,-0.0067321424293375,-5.09091286036005e-05,0.000901683384786998,0.000247333868665266,-0.000245527033488584,-4.67697080406136e-06,-0.0001469976334066,5.80182503882924e-06,6.8512952467992e-05,2.01761401731035e-05,-1.2440786182184e-05,-6.51754629691671e-06,-0.000155937789113643,-4.14701850578585e-05,0.000371741286376785,-0.000107144101394048,-9.84794635242763e-07,-5.93339650695573e-05,-3.35529681048955e-06,9.75626771442732e-05,9.72531438330904e-05,-5.18078200956213e-06,-4.80329016836812e-07,4.06002546813615e-15,-1.05452494393046e-05,-0.0175585033056804,4.88314685486228e-05,1.95284373029395e-15,0.002942476773131,-3.93046507700089e-06,5.0918695459911e-06,-1.04932592066962e-05,-9.11216769675315e-07,-4.69615212709738e-06,-1.01407680178249e-05,0.00729379915292442,2.64504583008724e-15,2.81466138496494e-06,-6.49676301164891e-07,0.0122770272989307,1.54297195908428e-06,-3.61456370026357e-05,0.00572952799679934,3.09606806091425e-15,-3.00936149021563e-07,-5.39746868499902e-05,-9.31533924931177e-17,-9.8129740430634e-08,-1.90209717059565e-08,4.18839885138856e-08,3.05456604845957e-09,1.61348340900793e-08,3.04590168274407e-14,-2.01087125932997e-14,4.38948615513013e-14,-1.67231416162129e-07,0.00129055942344629,-0.49660880146308,5.89129605171682e-07,3.13136425725934e-15,5.14672574049648e-14,3.41053342312657e-09,-0.0169301276108569,-7.48529381355945e-10,1.18356469602353e-14,-4.77970232152293e-11,-4.39933930251178e-15,2.16750002974798e-14,-1.22689099624737e-08,2.34296307396833e-07,-4.99351823115842e-15,-1.95648646923359e-14,-1.10519344902485e-14,0.707106781186524,-3.20601210934607e-07,1.34522784008862e-14,4.50249617444846e-14,1.46518378932656e-14,5.9851490921491e-09,-9.21398034131303e-10,1.1581378307916e-14,8.26076958648242e-15,-6.83258024569534e-15,-7.83620624143925e-08,9.52202447748825e-15,0.000179755528208279,2.20958955860635e-14,-3.33351753370899e-16,3.75830329678164e-14,-0.094072086838356
"t89",-0.109948540262499,0.00443378919389098,-0.1930346973942,-0.0141776652047257,0.000174431238872474,-0.00188699957125051,-6.02601607359307e-05,-0.000270201914866739,-0.374471465937234,-0.00951255446004792,-0.227878420214971,0.00294989073562763,-1.65011851558489e-05,0.000653984823799061,0.000452900543862533,0.00340475700453529,0.0079792127810892,-0.0339319774810015,4.61439926208763e-05,0.000532217010980068,-0.0225999529310784,-0.0079717400851537,-0.0027739180763532,-0.00673214242933514,-5.09091286044987e-05,0.00090168338478678,0.000247333868665324,-0.000245527033481068,-4.67697080283591e-06,-0.000146997633402426,5.80182503856663e-06,6.85129524658461e-05,2.01761401709781e-05,-1.24407861839332e-05,-6.51754629751288e-06,-0.000155937789110988,-4.14701850591384e-05,0.000371741286363975,-0.000107144101391603,-9.84794634826961e-07,-5.93339650656242e-05,-3.35529681166174e-06,9.75626771390214e-05,9.72531438339685e-05,-5.18078200802727e-06,-4.80329017706448e-07,-2.20027698579142e-15,-1.05452494420983e-05,-0.0175585033056753,4.88314685489352e-05,6.364315678121e-16,0.00294247677313542,-3.93046507810605e-06,5.09186954541078e-06,-1.04932592025823e-05,-9.11216768606478e-07,-4.69615212796303e-06,-1.01407679996289e-05,0.00729379915294697,1.03971650017101e-15,2.81466138515694e-06,-6.49676296312473e-07,0.0122770272988915,1.54297196063114e-06,-3.61456370001772e-05,0.00572952799683005,-5.02824812740575e-15,-3.00936133023547e-07,-5.39746868859716e-05,2.36730337160825e-15,-9.81297454381643e-08,-1.90209678282246e-08,4.18839893912581e-08,3.05457099502166e-09,1.61348422082461e-08,1.5065718335418e-14,-2.01463194120577e-14,9.59397553266734e-14,-1.67231419982756e-07,0.00129055942340395,-0.496608801463008,5.89129603729735e-07,1.99970771359522e-15,5.28390311504121e-14,3.41055893778312e-09,-0.0169301276110315,-7.48534733020023e-10,1.05094425475573e-14,-4.78059284258089e-11,1.76470937204962e-16,-4.36421934519285e-14,-1.22689542514162e-08,2.34296287436678e-07,5.43904205509257e-15,1.65786837469352e-14,9.01094338212674e-15,-0.707106781186571,-3.20600532428087e-07,-1.09042629356414e-14,-4.88054201592447e-14,-9.31274542810159e-15,5.98517780575673e-09,-9.21378608163492e-10,-1.0076510904098e-14,3.58781085721678e-15,5.20160403916055e-15,-7.83620579130358e-08,-1.39624923945097e-14,0.000179755528245664,1.64539468993298e-14,8.02407883709541e-15,4.15504550786976e-14,-0.0940720868383642
"t33",-0.111474880791222,0.00457294434724703,-0.199886145138838,-0.0163994594196538,0.000229921426759935,-0.0030219452575972,-0.00014470828134492,0.000716238696384744,0.236688040449387,-0.000130751603285427,-0.120467765242098,0.00191453352137777,-1.10996518005027e-05,0.000582885319694904,0.000416851610931565,0.00551378747017298,0.0145673941612836,-0.0934677620354562,-0.000290453873663582,-0.000473908620878214,0.00612430060673968,0.00126775212028262,7.55141084502817e-05,6.15454694610813e-05,1.91642222643009e-07,6.10682505884098e-06,2.23094266447387e-06,-1.75433778504386e-06,1.70286951663659e-07,8.2596589235147e-06,-5.58951507128057e-07,-6.83801045159945e-06,-5.08693493921015e-06,5.23659085772361e-06,2.93774025351839e-06,7.42008011170865e-05,2.29105093109003e-05,-0.00022524396985152,6.49587195354386e-05,7.8019272397221e-07,5.22066565629758e-05,3.30365431774024e-06,-0.000102068844974999,-0.000128047490724667,7.94701290259062e-06,8.76648739488979e-07,1.48119346299408e-14,3.60595504659977e-05,0.0972503722878856,-0.000428348778964618,-4.26260083938624e-14,-0.517867873104403,0.00081193694108207,4.22752007345013e-05,-4.40090853002685e-05,3.48360601443177e-07,3.70913304683696e-06,0.000442489873357711,-0.608727825862511,-2.73386975271457e-14,6.77471898875785e-05,-1.53790584735456e-05,0.327871957560383,4.17679826479419e-05,-0.00109805866937334,0.298198558496906,2.2759749387875e-15,5.93705441363472e-06,-0.119559398331978,-1.09904648730575e-14,5.41463010487294e-07,8.63550395307111e-08,-1.31390956943015e-07,-5.81872865033176e-09,-2.92443889994182e-08,3.75844265641514e-15,-9.29120634520051e-16,1.19649098146797e-14,2.21960777961533e-09,-3.33023574606135e-06,3.91376031400742e-06,-8.42580724663781e-09,2.75796511626799e-15,-6.00297488306095e-16,-2.56138783631389e-09,-3.23679717972869e-07,-9.86453765758275e-09,1.36746116735901e-16,-8.23728732392247e-11,3.78809632952711e-16,-2.46589893079785e-15,-1.62989160217389e-08,3.08958628010084e-07,1.2299520774544e-15,-9.08119106563205e-16,3.99434427057132e-16,-9.75442081842293e-15,-3.86124082917083e-07,-7.53468112051098e-16,3.21744283611487e-15,-1.60621347883234e-15,7.10857273216305e-09,-1.09261795131149e-09,6.77673254169136e-17,5.21517734908172e-15,-1.01008317251529e-15,-9.14926284109578e-08,-3.09211603240348e-15,0.000209686030778634,2.10815619484348e-14,3.12382810589036e-15,3.88890895651019e-14,-0.0940720868383744
"t37",-0.112226863631984,0.00463657948046354,-0.202969337116498,-0.0171154021271337,0.000243880930964382,-0.00324654089552181,-0.000157311905029333,0.000792602963430014,0.264069817654231,-0.000147592565884653,-0.143050817621868,0.00239445230819535,-1.40944551806789e-05,0.000843330640542645,0.000609971765780795,0.00903583385394245,0.024179663803873,-0.159960670318132,-0.000532339473651441,-0.000948696081444213,0.0140837519313146,0.00317190980993022,0.000256422547676121,0.000240979781137016,8.04216647681953e-07,3.40872052699907e-05,1.7105508569995e-05,-2.34960728523361e-05,-7.38221062422609e-07,-2.42013775368577e-05,9.78818571078685e-07,1.15556400290039e-05,2.76517691235314e-06,-8.6405804366129e-07,-3.62036651513515e-07,-6.78169887033281e-06,-2.01135756663474e-07,-8.75832575026798e-06,2.54514780353976e-06,1.28339688398031e-07,1.09223470071316e-05,8.41747791080362e-07,-2.84222730930376e-05,-4.64930454093479e-05,3.30195286803567e-06,4.13802129709489e-07,1.45955555343696e-14,2.35883433220138e-05,0.07508489719475,-0.000370298447457017,-5.0482215080374e-14,-0.558793478007017,0.0008778182796914,6.41877054595847e-05,-9.7381087304435e-05,-9.06426361395817e-06,-4.81918858625124e-05,-0.00054133144039995,0.683277717799283,3.38693655928265e-14,-3.40306080633388e-05,6.25107899067392e-06,-0.106368153409039,-1.33514914583183e-05,0.000317273580237606,-0.0674297472764306,-9.58862542173791e-16,-6.28855645966453e-07,-0.140527691064391,-4.24363150044711e-15,1.47366635022984e-09,1.11783901838294e-09,-4.88209899158948e-09,-4.13479865406063e-10,-2.17360306199627e-09,-1.38586410391702e-15,5.95715218700495e-15,-2.13080195593883e-15,4.56166366307697e-10,-7.03120914135824e-07,8.4108489359358e-07,-1.89052449255631e-09,-1.68197230927765e-15,7.6382887274728e-16,-6.56327439607049e-10,-8.75879238027011e-08,-2.71062907466937e-09,-1.37817649057348e-15,-2.4544062199704e-11,7.06212358585078e-16,-7.47374719120606e-17,-5.27380442134008e-09,1.0044218124248e-07,-7.63736958540143e-17,-1.53268062204344e-16,-8.94843929586896e-16,1.50577371083923e-14,-1.39891155957712e-07,7.70861759258988e-16,2.06317219891179e-15,-4.61938086764896e-16,2.67936396313483e-09,-4.14083542073908e-10,2.17686773025509e-15,5.13587604423241e-15,-7.58960714516325e-16,-3.71619824801198e-08,-3.28702336566956e-15,8.55839623659977e-05,1.8929248379602e-14,5.44906199352991e-15,4.45246142172962e-14,-0.0940720868383782
"t55",-0.112626643184242,0.0046705537862658,-0.204616882672871,-0.017504107776538,0.000251529054009822,-0.00337045321027696,-0.00016430971034285,0.000835399033787675,0.279479459240977,-0.000157126190072835,-0.156149446903433,0.00267925515412318,-1.5882990342862e-05,0.00100659184124303,0.000731482935051307,0.0113282750065162,0.0304577735920919,-0.203737839482969,-0.000694251841981168,-0.00127257957168312,0.0196515726287929,0.00452130963564693,0.000389336562946422,0.000374459317445597,1.26231598694217e-06,5.5381751496053e-05,2.85813558784977e-05,-4.05197062639059e-05,-1.49919748738836e-06,-5.19342347085473e-05,2.33945740887581e-06,2.78764142542509e-05,1.05193844056518e-05,-7.51704983595158e-06,-4.0196619907059e-06,-9.77640547310321e-05,-2.72251250260888e-05,0.000251282280637267,-7.24388248958418e-05,-7.27315051945624e-07,-4.5446815468962e-05,-2.67582107225315e-06,7.9566075510023e-05,8.67091165149589e-05,-4.92176879160657e-06,-4.92775540367164e-07,7.841369738668e-16,-1.49870798479221e-05,-0.0339264749431921,0.000132229450471346,1.13799426659211e-14,0.126351904181216,-0.000197701553786646,-7.42942873408084e-06,5.66846204951531e-06,-9.64018689443523e-08,-6.35588828696597e-07,-9.51499741140424e-06,0.0101370118861058,-2.85909768760939e-15,2.04982894023458e-06,-6.54737495092117e-07,0.0181972960905501,2.35335202556135e-06,-6.81785970572552e-05,0.0226995611780073,3.39510942765906e-14,8.10015242920163e-07,0.879043688026761,6.75868169191866e-14,1.070998770763e-08,4.33340413268604e-09,-1.05055326842882e-08,-5.98553287100237e-10,-3.06153812793899e-09,-3.95275568776747e-15,-4.59856849936695e-15,-1.34895784204445e-15,3.73275582442901e-10,-5.69330566157117e-07,6.76453964829071e-07,-1.4965349039857e-09,-1.77895528883013e-15,-1.63669085058043e-15,-4.97640496008741e-10,-6.54286674284243e-08,-2.01701675388347e-09,-1.7206105233203e-15,-1.79413815755755e-11,-1.64489696416524e-15,-5.47743329379782e-15,-3.80116266922723e-09,7.23480878797836e-08,-1.88067217611851e-15,2.95461278511511e-15,2.28121078313424e-15,-2.15550162380288e-14,-9.97364778610163e-08,5.55245341674129e-16,-3.29485279723808e-15,-7.14237821158971e-17,1.90754304663308e-09,-2.94775943673298e-10,1.34114982441243e-15,5.03610271761138e-15,1.53096425921977e-15,-2.64799839431149e-08,-3.338305778776e-15,6.09968970007571e-05,2.01469051482843e-14,2.92411475711407e-15,3.93785798302236e-14,-0.0940720868383557
"t112",-0.11292478216066,0.0046958437741873,-0.205842822419721,-0.0177913634376994,0.000257159081629302,-0.00346139760946733,-0.000169431844235468,0.000866600631308056,0.29069442028203,-0.000164047441515216,-0.165562779875984,0.00288200716417321,-1.71529569723767e-05,0.00112027694778782,0.00081597053657064,0.0129011632555033,0.0347595324360266,-0.233641327212628,-0.000804149373007545,-0.00149083774980362,0.0233683827369163,0.00541777626199646,0.000476479502078903,0.000461582012290177,1.56075458894117e-06,6.9168252788082e-05,3.5975396663793e-05,-5.14317793213596e-05,-1.97590929116846e-06,-6.91940103217315e-05,3.17666396551372e-06,3.79095822026294e-05,1.51307668301928e-05,-1.13617121840263e-05,-6.12381269797485e-06,-0.000149910824458542,-4.25480599049514e-05,0.0003976872348857,-0.000114653445345361,-1.19838320796857e-06,-7.61869977401296e-05,-4.57386744442625e-06,0.000137493541315143,0.000156516963284568,-9.16243474595865e-06,-9.51521416210893e-07,-1.20331377577153e-14,-3.32198556971028e-05,-0.0831105542246902,0.000351039363424661,3.49754688943576e-14,0.403033828971533,-0.000631732190034122,-3.31497899440828e-05,3.86805232770703e-05,1.89074569587269e-06,9.52844439211752e-06,2.65348922312435e-05,-0.0262607381751384,-7.27978921925095e-16,-2.70520053395098e-06,7.31126720443006e-07,-0.0171420477497007,-2.19298116847614e-06,5.90613793245885e-05,-0.0166116332814438,-1.33356178334443e-14,-3.7763541653023e-07,-0.310814575655452,-2.53772278458696e-14,-3.07782922011887e-09,-1.11586541618224e-09,2.10926224127815e-09,7.68105583811437e-11,3.72087720548442e-10,4.70654067833066e-15,-1.48807139703192e-15,-2.80538688748834e-15,5.12951076543403e-11,-8.4256705784716e-08,1.04884975218877e-07,-2.5842321582569e-10,1.75567789671241e-15,-2.92680289507049e-15,-1.14947950779707e-10,-1.67979540277585e-08,-5.32842775391649e-10,-1.10576643528914e-15,-5.46510839309831e-12,-7.4993092608781e-16,2.76317731062504e-15,-1.32510083218741e-09,2.54074097046025e-08,5.26277039054811e-15,-2.30031850230564e-15,2.25746674830698e-15,1.07968978649124e-14,-4.11332440438374e-08,4.56887358740942e-15,9.42396441659589e-15,9.80098020623048e-15,8.31154524967324e-10,-1.29377763297297e-10,-1.69146113131548e-15,2.45894314104874e-14,-2.71096516477763e-14,-1.27358478619218e-08,-3.11355093266825e-17,2.95196475389845e-05,-3.47330680035262e-13,-8.52081197076036e-14,0.707106781186587,-0.0940720868380428
"t113",-0.11292478216066,0.00469584377418729,-0.205842822419721,-0.0177913634376995,0.000257159081628737,-0.00346139760946813,-0.000169431844235883,0.000866600631307791,0.29069442028203,-0.000164047441515681,-0.165562779875984,0.00288200716417305,-1.71529569721848e-05,0.00112027694778976,0.00081597053657093,0.0129011632555039,0.0347595324360267,-0.233641327212629,-0.000804149373008105,-0.00149083774980452,0.0233683827369178,0.00541777626199708,0.000476479502080025,0.000461582012292203,1.56075458925776e-06,6.91682527888221e-05,3.59753966636819e-05,-5.14317793230676e-05,-1.97590929038339e-06,-6.91940103216311e-05,3.17666396614018e-06,3.79095822035659e-05,1.51307668317533e-05,-1.13617121828003e-05,-6.12381269681254e-06,-0.000149910824459463,-4.25480599061221e-05,0.000397687234885612,-0.000114653445346041,-1.1983832082378e-06,-7.61869977411062e-05,-4.57386744332883e-06,0.000137493541315117,0.000156516963286689,-9.16243474792621e-06,-9.51521411846997e-07,-1.49341979907523e-14,-3.32198556952186e-05,-0.0831105542246916,0.000351039363424498,3.57225006102307e-14,0.403033828971528,-0.000631732190033937,-3.31497899496977e-05,3.86805232785522e-05,1.89074569783279e-06,9.52844439281937e-06,2.65348922356947e-05,-0.0262607381751328,-7.76143502780544e-16,-2.70520052609317e-06,7.3112672595916e-07,-0.0171420477497025,-2.19298117590702e-06,5.90613793226239e-05,-0.0166116332814421,-1.32974997936257e-14,-3.77635425915199e-07,-0.310814575655452,-2.65505658814292e-14,-3.07783442840961e-09,-1.11585175091737e-09,2.10925284308104e-09,7.68069079649348e-11,3.72075036004732e-10,-2.33791549388431e-15,3.75507992849094e-15,9.36213151862926e-18,5.13086980593705e-11,-8.4256685880797e-08,1.0488497576705e-07,-2.58420543516309e-10,-1.40410944294034e-16,1.35026902696411e-15,-1.14960857132754e-10,-1.67979470888646e-08,-5.32851220041506e-10,2.18563637546784e-15,-5.46643813710337e-12,4.39157259208984e-16,-2.32249633796059e-15,-1.32509501120997e-09,2.54073939576408e-08,-3.85013177946078e-15,8.99648694386181e-16,-2.86688890845229e-15,6.68907267379937e-15,-4.11332289047593e-08,-6.47899286640581e-15,-6.50278305476724e-15,-1.13397537909e-14,8.31162052967559e-10,-1.29412548705065e-10,2.18291379603357e-15,-1.65838105417437e-14,2.76604918387154e-14,-1.27358890011073e-08,-2.57219478854638e-15,2.95196475311232e-05,3.85843041436386e-13,9.22214491453785e-14,-0.707106781186509,-0.094072086838642
"t10",-0.108019945185461,0.0042810166507484,-0.185746283028217,-0.0131331407161465,0.000166404452641714,-0.00200194420055185,-8.75596816612522e-05,0.00037070364405801,0.112894289464132,-5.46948390920011e-05,-0.0187748946355718,-0.000246403480718292,2.39220722114738e-06,-0.000607926828273159,-0.000468041194185298,-0.0111091355006758,-0.0309942304527134,0.225214888865769,0.000903205571191608,0.00198296357561234,-0.0394720637655039,-0.0105799290105233,-0.00187872853001946,-0.00357636434796351,-2.42166990773021e-05,0.000280880740978896,4.94977388107643e-05,-2.23863150342867e-05,1.4699904519118e-06,6.11182958494187e-05,-3.38684659817415e-06,-4.08812813969708e-05,-2.11361254838114e-05,1.76285480845607e-05,9.61010402940958e-06,0.000237257308348054,6.87565672830563e-05,-0.000649694305388292,0.000187319317544994,2.00118719181687e-06,0.000127765570374614,7.68238757512133e-06,-0.000230822842624705,-0.000259899713176584,1.49788260784999e-05,1.51533324715188e-06,6.87210016282178e-15,4.46923613008034e-05,0.092014421904141,-0.000313949299000486,-1.52464170982028e-14,-0.151010282178599,0.000233501631934047,-1.87198943137378e-05,6.05518355857089e-05,9.18023483040179e-06,4.91898379386976e-05,0.000333501392582237,-0.358767477758618,-1.78729472531951e-14,-5.63238624534017e-05,1.84565528100214e-05,-0.52341163841111,-6.77681768601614e-05,0.00197771594543387,-0.66646358395805,-2.33610011932673e-14,-2.11865131920336e-05,0.00513610499313284,4.52318682606149e-16,-2.79382164622353e-06,-4.8250456420394e-07,8.62485491817652e-07,4.85344302192658e-08,2.5014233247257e-07,-1.06237263673933e-15,-4.82104122213078e-15,-3.83158836608913e-15,-2.80719970209642e-07,0.00093747580001717,-0.00613754620270007,-1.26801775836012e-06,8.79058879130706e-16,3.32981116741522e-15,-8.30552931040974e-08,-7.78019123962026e-06,-2.2055470855371e-07,-4.42932668226856e-16,-1.32945259356134e-09,2.43161179037077e-15,1.81375577719654e-15,-2.01829895404084e-07,3.77340659284114e-06,1.1982714847313e-15,1.52827714665028e-15,-6.54387986606822e-16,-5.21552715667073e-15,-3.54145896892258e-06,1.68543441943366e-15,-1.12488375008593e-15,-1.20078664287247e-15,5.94001298843209e-08,-9.01727826518494e-09,1.67399942935706e-15,4.21243390790825e-15,5.68211218786953e-17,-6.49066641301737e-07,-6.46765222629293e-17,0.00147249794120485,2.00439811305438e-14,3.5805642679207e-15,3.87307638893956e-14,-0.0940720868383826
