"accepted_species","sorted"
"t31",-1.45455938632273
"t32",NA
"t4",NA
"t69",NA
"t70",NA
"t67",-1.31226708885235
"t68",-1.31392275329896
"t60",-1.31858221736749
"t56",NA
"t21",-1.31733061672751
"t19",NA
"t14",-1.31629400061319
"t73",NA
"t74",NA
"t53",-1.3239657856001
"t44",NA
"t45",NA
"t5",-0.379218425295298
"t41",-0.379387643082583
"t42",-0.378697495196544
"t23",-0.376053357204011
"t17",-0.362258820657296
"t18",-0.363955823731152
"t25",-0.368812301870324
"t22",-0.369067460939249
"t61",-0.366383836017814
"t62",-0.365681417539035
"t95",-0.362669841895566
"t96",-0.362794360678608
"t79",-0.362749633190359
"t80",-0.362819902685507
"t78",-0.362637033804186
"t28",-0.364882693183386
"t20",-0.356700853216825
"t6",-0.353258388483363
"t46",-0.374856923809423
"t47",-0.374118800339814
"t50",-0.284247079719189
"t29",-0.278389224951865
"t2",-0.279508001662481
"t99",-0.281539664434463
"t100",-0.281463834799045
"t33",-0.282806469817419
"t58",-0.285661413324124
"t59",-0.285540727584802
"t40",-0.283562064095214
"t89",-0.283428485272046
"t90",-0.284422228543385
"t30",-0.284326212599743
"t51",-0.286941409151951
"t52",-0.284989070237339
"t16",-0.271943858885967
"t91",-0.270714884981689
"t92",-0.271628186944888
"t13",-0.273791397325913
"t8",-0.436220374426742
"t9",-0.436521272539667
"t63",-0.43357550154956
"t64",-0.432182947488309
"t10",-0.429872140066516
"t1",-0.428831910848091
"t12",-0.426713649777531
"t39",-0.429180281976024
"t76",-0.719243644012701
"t77",-0.719903125501323
"t71",-0.718992243753847
"t72",-0.719795570699896
"t54",-0.718704815523112
"t55",-0.718367939846945
"t43",1.37958215030928
"t57",1.37964641161326
"t97",1.38049905053283
"t98",1.38049058264245
"t75",1.38060060928782
"t65",1.38077977485145
"t66",1.38297684095524
"t93",1.37845409768526
"t94",1.37855838857868
"t7",1.38794773925989
"t15",1.38873118788959
"t26",1.39230846865255
"t83",1.38977834569536
"t84",1.38970922088581
"t27",1.39064727067507
"t34",1.39062636450228
"t11",1.39387436698252
"t3",1.38529737863732
"t48",1.37854618773411
"t49",1.3798284779886
"t81",1.38065634405022
"t82",1.38057814715675
"t35",1.38135763667172
"t24",1.3839779702964
"t38",1.38042683809513
"t85",1.38012554852794
"t86",1.37990041350955
"t87",1.40875479874897
"t88",1.40865172342371
"t36",1.40870391093641
"t37",1.40582648296843
