"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99","V_100","V_101","V_102","V_103","V_104","V_105","V_106","V_107","V_108","V_109","V_110","V_111"
"t46",0.0511242597448647,-0.0242837519032909,0.0422416225613937,-0.0258326320378235,0.138868933074646,-0.00102665512560647,0.243736855290821,-0.044589965761423,0.0166397197884123,-0.00374628107645502,0.0268577088798814,-0.00690719776533377,0.00352061641385803,-0.00175570119593475,0.00046661935203202,-0.00032002345032491,0.001653579764793,-0.0148738786512632,0.244586017994841,0.00518455298953697,0.235112439790144,0.00628539738995681,-0.012793857003331,0.00339131649271276,-0.00313150117758141,0.00331134529726095,-0.00314837505204906,0.000635818041499885,-0.00100929221068007,0.0010891117472191,-0.0335174226076037,1.14231983128374e-07,-3.93260904898864e-06,0.000123097977580538,-4.21950799083994e-07,-2.22281174932344e-06,0.00104369993684958,-0.00369204876854379,0.00121815614988064,-0.00152035198320827,0.000578935023961251,-0.0115813883021378,-0.000132461034310505,-0.000839253150491524,0.00544872155385549,-0.0126108146700956,-0.000236253545143222,0.00581656695964782,0.00715345991250598,-0.0211442865391559,-0.00771600573083048,-0.00243846153561329,0.0101585390900454,0.869377505799394,-0.00376054495205246,-0.0026323954269314,-0.00276124081488351,0.00073652449572377,0.0079125308877595,0.0030809035416743,0.0111393903951642,-0.00156536597244974,-0.00127740828398119,-0.172653194656636,0.000510278479887168,0.000360888900436961,0.000584640955396275,0.0010714832195957,0.00590652148718997,-0.000827304011059581,-9.30543427094435e-05,-4.3345569494607e-05,0.000126943403690309,1.77172993526398e-05,4.36845201823381e-05,-9.81761275382146e-07,-5.45819654694961e-14,5.09251932480176e-17,-6.91313158678389e-16,-4.80417534692497e-07,-3.47803683297823e-16,8.5006281141558e-06,2.18476627804421e-17,2.70948632032186e-17,1.89012655250689e-17,1.97012806878355e-16,1.64913151630514e-16,6.44102894389627e-17,6.87810285963328e-16,1.73897336582983e-16,6.19210251309974e-17,2.25792762231489e-16,6.20345142286218e-17,-8.2562574994332e-07,-8.62992218945271e-16,-2.60477475580045e-16,-9.32057737927279e-16,-1.22286059153755e-16,4.14958763051117e-05,8.59419086926433e-17,1.86266524366632e-17,1.08396285063868e-16,9.18432599597222e-17,6.15051982774658e-18,6.97103832865799e-17,1.40132053087503e-16,3.51625066769058e-16,8.73024142405963e-17,-8.37977283926292e-07,-4.26780060480012e-17,-4.08398164903435e-17
"t87",0.0521397820782303,-0.0248201805671441,0.0444473022192821,-0.0272665502754017,0.14795751311202,-0.00109661756818266,0.261208195621212,-0.0486209625177904,0.0184054796340435,-0.00424151352895121,0.0309464331290335,-0.00796370522072777,0.00413256106561604,-0.00210428160520816,0.000610998889740869,-0.000421440377069277,0.00228788135656365,-0.0226411189630211,0.373155566176228,0.00794867280365447,0.362023497219055,0.01156915594979,-0.023749013821407,0.00706302015014844,-0.00709801017528489,0.00765671601580428,-0.00804708725536602,0.0021065152257928,-0.00342953334416388,0.00394543594366144,-0.126446848081662,1.27366912292143e-06,-8.38726679193426e-05,0.00313318613817239,7.48808308274148e-06,1.61859527466508e-05,-0.00610812009126331,0.0128783449034881,-0.00377557778780306,0.00260618856405587,-0.000942277874555079,0.0160747007270593,0.000137102494908036,0.000774201343291982,-0.00492896739374862,0.0096584360654848,0.000149861202143675,-0.00327204446948704,-0.00340580784948391,0.0100323015349187,0.00364625865283395,0.00109353206920531,-0.00412038224324268,-0.317690612321685,0.00118508576816217,0.00082447520073163,0.000843560826455746,-0.000202254108477069,-0.00211723667538508,-0.000805027435111147,-0.00279402421367614,0.000377273645792004,0.000304401860294448,0.0398994618834963,-0.000112689147378729,-7.7772510640624e-05,-0.000111340402117474,-0.000199335502372668,-0.000994908364236221,0.00012956417453502,1.43154130188998e-05,6.20102631981462e-06,-1.63348760778538e-05,-2.02180965740232e-06,-3.69337094571268e-06,2.94752702122464e-08,-1.10847318007725e-15,-1.09924773556514e-15,-3.22271038897103e-15,1.82525843284621e-09,-1.25493957620898e-15,4.56764509633176e-09,4.07900303954843e-15,4.10113976566245e-15,-2.58721864565196e-17,9.28974310781208e-16,-7.69807707060201e-15,7.09137672819253e-15,-4.6827997626548e-15,7.79032213524772e-15,-5.43738658876783e-15,4.87429018588095e-15,3.27834352399431e-15,-2.54190986607794e-08,-6.96128821140131e-14,4.02403226896566e-14,-0.707106781186547,4.36714450223724e-15,1.95105508345476e-06,-7.14827073585086e-15,3.88036769213153e-15,-4.37822976983161e-15,1.33707300725438e-15,1.00267743986962e-15,-1.58354187341286e-15,-2.34276495764523e-15,3.40941552267307e-15,-1.63173111831971e-15,-9.52351447361311e-08,5.28359456184378e-16,2.05662844406476e-16
"t88",0.0521397820782304,-0.024820180567144,0.044447302219282,-0.0272665502754017,0.14795751311202,-0.00109661756818284,0.261208195621211,-0.0486209625177904,0.0184054796340437,-0.00424151352895108,0.0309464331290333,-0.00796370522072768,0.00413256106561616,-0.00210428160520843,0.000610998889740968,-0.000421440377069332,0.00228788135656372,-0.0226411189630209,0.373155566176228,0.00794867280365454,0.362023497219054,0.0115691559497902,-0.0237490138214067,0.00706302015014825,-0.00709801017528477,0.00765671601580424,-0.00804708725536605,0.00210651522579283,-0.00342953334416439,0.00394543594366158,-0.126446848081661,1.27366912302431e-06,-8.387266791823e-05,0.00313318613817234,7.48808308306724e-06,1.61859527465208e-05,-0.0061081200912633,0.0128783449034876,-0.00377557778780286,0.00260618856405534,-0.000942277874555131,0.0160747007270592,0.000137102494908776,0.000774201343291615,-0.00492896739374901,0.00965843606548197,0.000149861202142824,-0.00327204446948459,-0.00340580784948534,0.0100323015349182,0.00364625865283366,0.00109353206920443,-0.0041203822432403,-0.317690612321682,0.00118508576816227,0.000824475200731937,0.000843560826456319,-0.000202254108477287,-0.00211723667538628,-0.000805027435111656,-0.0027940242136761,0.000377273645789405,0.000304401860294241,0.0398994618835008,-0.000112689147378581,-7.77725106402678e-05,-0.000111340402117283,-0.000199335502373636,-0.000994908364234744,0.000129564174535871,1.43154130194586e-05,6.20102631865221e-06,-1.63348760790109e-05,-2.02180965827482e-06,-3.69337094244573e-06,2.94752672048192e-08,2.30407656390799e-15,1.0831715911953e-15,3.86793325283129e-15,1.8252530682578e-09,1.59289074740098e-15,4.56764646991152e-09,-4.09098449782142e-15,-4.0594445462462e-15,3.14849030608562e-17,-1.04909626166584e-15,7.80433135977496e-15,-7.18601269786577e-15,3.76764025072123e-15,-7.91805413192786e-15,5.51247960084226e-15,-4.85759210952789e-15,-3.3582718037506e-15,-2.54191426996746e-08,7.02641612818887e-14,-3.99980960763057e-14,0.707106781186548,-3.73589659717436e-15,1.95105505342584e-06,6.92259501847092e-15,-3.88723525182286e-15,4.49573574051639e-15,-1.20929762219231e-15,-1.10486925032541e-15,1.55532354834398e-15,2.28156346350142e-15,-3.86554403799987e-15,1.61710550699564e-15,-9.52351427320738e-08,-5.53349392029982e-16,-1.47983066042867e-16
"t80",0.0536044933070375,-0.0256027292643903,0.0482138318332645,-0.0297588738956376,0.164632051017606,-0.00122689736257508,0.294385957710569,-0.0571346016682776,0.0224988350837619,-0.00559443148148676,0.0437512657958672,-0.0112893798854756,0.00638217518303383,-0.0036791668914926,0.00529006930048043,-0.00555022284363869,-0.00663366760715746,0.0119387457199954,-0.190837601963097,-0.00380648911868807,-0.163625780897175,0.000328647257982435,-0.000912927962578265,0.000996016950670438,-0.00138690255539436,0.00158645197967106,-0.00214586382252212,0.00113345538383907,-0.00204092108782842,0.00324247094343178,-0.13881547073694,-9.43412103181187e-08,3.07035445895647e-06,-0.000100194971665057,-5.79764582659832e-09,7.86720154898998e-08,-2.62958469457048e-05,-6.87798871473304e-05,3.78891198331874e-05,-0.000147917297554051,5.95932236595909e-05,-0.00138640488346938,-1.95261037299031e-05,-0.00013155402431173,0.000862180377616475,-0.00213690470689932,-4.21565689684161e-05,0.0010552892091085,0.00129085849123276,-0.00381336539695719,-0.00139061231132386,-0.000434197414273001,0.00173164709429263,0.135091831266804,-0.00040822222621643,-0.000277577776695183,-0.000252248878145783,-1.25691399294325e-05,-0.000529577457522537,-0.000401043129728929,-0.00352708746045156,0.0012225129139285,0.00137614333744194,0.873848150847284,0.000990234379119422,0.000457015899957944,0.000363850683486301,0.000630032187230633,0.0029663462485537,-0.000388060067465983,-4.30775736378184e-05,-1.92103301454845e-05,5.38549916746648e-05,7.27645246934532e-06,1.71950642353286e-05,-3.73883119964103e-07,-1.98593313781449e-14,-5.83036976439796e-16,-8.79857987194061e-17,-1.82177798878279e-07,-7.90415888735808e-16,3.22279136697015e-06,3.04587160121091e-17,-1.07002908522332e-16,3.83545794445448e-17,-2.37343263285218e-16,-4.43986262844275e-16,-4.63516082280078e-17,-7.4281572891756e-16,2.66121183273981e-17,4.62683259882692e-16,-9.06152769202292e-16,-2.35170061358426e-16,-3.13486525592332e-07,1.03468018101166e-15,-3.20329412586302e-16,-3.22979838582985e-15,-5.35508308822641e-16,1.57975483924519e-05,4.51664880549539e-16,-3.64624224653227e-17,-5.61917528213066e-16,-1.29696677166818e-15,2.79310401217837e-16,-1.92222691430451e-16,8.16072705563665e-17,-1.83723042007704e-16,-8.65775879690601e-17,-3.25603020761619e-07,-6.69148191198453e-17,-1.34445476674244e-16
"t82",0.0544961756241669,-0.0260761470384949,0.0503091396566954,-0.0311328385317476,0.173577281057837,-0.0012962739904833,0.311884285893955,-0.0614025175324238,0.0244658339490099,-0.00620075284978302,0.0491915915554991,-0.0126996358000112,0.0072846541658453,-0.0042707167155495,0.00658904216889853,-0.00694417323179979,-0.00862633549195305,0.0167030909780075,-0.267452161525027,-0.00535439990904484,-0.230915749970173,0.000528684299506517,-0.00147748095805339,0.00174683559608026,-0.00257534867400287,0.00298502214575372,-0.00430823935706305,0.00266080592059553,-0.00486025791331649,0.00800098069400304,-0.350143427394891,-3.67783630241213e-07,1.37934646978555e-05,-0.000462619317570858,-4.10738398803741e-08,1.01339699994629e-06,-0.000511434332498122,0.00177772880083442,-0.000569488652899022,0.000554835322763167,-0.000205351466996418,0.00374162679164781,3.52064180693889e-05,0.000204920030293902,-0.00131072573761914,0.00265593246192934,4.21425750684624e-05,-0.000922674014680227,-0.000942065031151448,0.00277278578606922,0.00100681114966658,0.000297403585969164,-0.00106800121129427,-0.074863668953144,0.000194992899405233,0.000131783264290861,0.000116848665040085,5.24660331347165e-06,0.000215591970219987,0.000159576781038949,0.00134961272154332,-0.000450394469182203,-0.000501590914274863,-0.309437082892337,-0.000336069310008561,-0.000151616659754407,-0.000107768545892772,-0.000182698387547808,-0.000787060037371877,9.65768890076461e-05,1.0555321350388e-05,4.42106839882285e-06,-1.13308221484818e-05,-1.38646562509613e-06,-2.59064285676392e-06,2.93874487226011e-08,-1.03440553691918e-15,-4.13017121274007e-15,-3.44456650587572e-15,8.12615549318007e-09,-3.02490550777268e-15,-1.25767762039864e-07,5.18069982715317e-15,5.7109679265335e-16,2.64077314386219e-15,-2.18215000900945e-15,-1.35617206833506e-15,4.55273494872089e-15,-3.52554278017594e-15,2.45471990301015e-15,9.30957757766841e-15,4.50210868690999e-15,1.99612067989713e-14,1.2844861381796e-10,0.707106781186548,-1.80614688605355e-13,-6.87764620170231e-14,-1.057715209715e-14,3.17259716553558e-07,8.46491580359157e-15,-1.06735550397551e-15,1.02640905695136e-14,-7.89283963837471e-16,5.57805107969351e-16,-2.24856910886322e-15,1.87504833692455e-15,4.19331390760661e-16,6.81106460007562e-16,-3.34080176669246e-08,-6.63529642987488e-16,5.59880745458819e-16
"t83",0.0544961756241669,-0.026076147038495,0.0503091396566953,-0.0311328385317476,0.173577281057837,-0.00129627399048339,0.311884285893955,-0.0614025175324241,0.02446583394901,-0.00620075284978296,0.049191591555499,-0.0126996358000113,0.00728465416584554,-0.0042707167155494,0.00658904216889865,-0.00694417323179994,-0.00862633549195326,0.0167030909780074,-0.267452161525028,-0.00535439990904485,-0.230915749970174,0.000528684299506563,-0.00147748095805343,0.00174683559608029,-0.00257534867400273,0.00298502214575343,-0.00430823935706323,0.00266080592059572,-0.00486025791331647,0.00800098069400331,-0.350143427394892,-3.67783630276693e-07,1.37934646978166e-05,-0.000462619317570955,-4.10738397370736e-08,1.01339699969632e-06,-0.000511434332497914,0.00177772880083479,-0.000569488652898757,0.000554835322762647,-0.000205351466996132,0.00374162679164767,3.52064180693194e-05,0.000204920030294566,-0.00131072573761888,0.00265593246192912,4.21425750692996e-05,-0.000922674014679489,-0.000942065031150222,0.00277278578606946,0.00100681114966706,0.000297403585969033,-0.00106800121129479,-0.0748636689531444,0.000194992899406495,0.000131783264291288,0.000116848665039811,5.24660331516891e-06,0.00021559197021918,0.000159576781039667,0.00134961272154322,-0.00045039446918137,-0.000501590914275223,-0.309437082892336,-0.000336069310008247,-0.000151616659753897,-0.000107768545892082,-0.000182698387548412,-0.000787060037370255,9.65768890082495e-05,1.05553213503129e-05,4.42106839775795e-06,-1.13308221516998e-05,-1.3864656249643e-06,-2.59064285461631e-06,2.93874463169771e-08,2.6454233951404e-15,4.57917420952017e-15,3.48754499153123e-15,8.1261518945323e-09,2.75332415675272e-15,-1.25767761557636e-07,-5.16706394602707e-15,-5.36174188080032e-16,-2.63234341837247e-15,2.45330294695398e-15,1.55140859301671e-15,-4.48665438461593e-15,3.92787856056247e-15,-2.31496292140602e-15,-9.4197070888939e-15,-3.69066806533118e-15,-1.97122860205527e-14,1.28424992346838e-10,-0.707106781186547,1.8090554783536e-13,7.0643633034793e-14,1.16911506275434e-14,3.17259724283832e-07,-8.76281114477991e-15,1.07267561146361e-15,-1.00916209504441e-14,1.60097110849406e-15,-8.83429263942394e-16,2.40034914189121e-15,-1.91968744049029e-15,-2.69443335428869e-16,-6.22011696298243e-16,-3.34080179208884e-08,5.81967750405319e-16,-4.99657384377956e-16
"t43",0.052943727615992,-0.0252507046221307,0.0465836674266699,-0.0286847605770052,0.15753768624046,-0.00117166228624044,0.280384022320657,-0.0536286331067836,0.0208479266654587,-0.0050676475282539,0.0389015008807892,-0.0100310643149899,0.00555572756470701,-0.00312102523961967,0.0039039369864497,-0.00405118427273781,-0.00434428576179776,0.00574540504215429,-0.0909575127897507,-0.00177601197499742,-0.074875428953928,9.6392181389137e-07,2.10788218356368e-05,-0.000420990555924164,0.00107592379183759,-0.00137518894091491,0.00294854347128298,-0.00353781755064414,0.0067942830690044,-0.01260417092853,0.592123479719608,2.1057117233006e-06,-0.000119329311142548,0.00436171461446297,8.52864391727153e-06,1.65314649663517e-05,-0.00601689721280511,0.011471242727757,-0.00327686725395014,0.00194625618111132,-0.000693037694776109,0.0112483324500212,8.61340661154157e-05,0.000462513687364265,-0.00291779534335882,0.00524457133530129,7.2001363337528e-05,-0.00142523823242339,-0.00124294266096246,0.00364543476510825,0.00131817558139382,0.000368251845483581,-0.00117544148448505,-0.0714684127028078,0.000144297019681889,9.63147493196896e-05,8.10463550722056e-05,2.78027747162131e-06,0.000105429217272504,7.19870524424452e-05,0.00051948816522807,-0.000143737093703337,-0.000150588710306139,-0.0768990760318851,-5.73251786029319e-05,-1.93861162694319e-05,1.0374165430446e-05,2.56353874121735e-05,0.000262410994881393,-4.64991275623792e-05,-5.47432574206947e-06,-2.97745463844284e-06,1.03109161148077e-05,1.65530803894185e-06,5.12280753166481e-06,-1.56473605567325e-07,-1.42774515557452e-14,-1.88918950769607e-14,-2.60667615605473e-14,-8.6051136848806e-08,0.707106781186549,1.55015201575844e-06,-2.48078547263176e-14,6.37521794816025e-15,-2.94146477630996e-15,-1.36439308339433e-15,-6.6727735311614e-15,1.02954316060119e-14,-1.01766513819816e-15,4.93611922151104e-15,-4.06034574043971e-15,-8.22839428041218e-15,-3.29442530010311e-15,-1.69081616397925e-07,2.31232134808079e-15,1.65662388701784e-15,-1.44335489010958e-15,-1.76984397192716e-15,8.99307544476189e-06,-5.07797313407181e-16,3.33376229127399e-15,3.84555524612175e-15,-9.15409232998296e-16,-1.72372728326879e-15,1.91073132151369e-15,-6.80534287192972e-16,7.58245263692634e-16,-7.73943486205402e-16,-2.22104826733272e-07,-2.99077492100889e-16,-3.41763193157326e-16
"t44",0.052943727615992,-0.0252507046221307,0.0465836674266701,-0.028684760577005,0.15753768624046,-0.00117166228624057,0.280384022320658,-0.0536286331067836,0.020847926665459,-0.00506764752825371,0.0389015008807896,-0.0100310643149899,0.005555727564707,-0.00312102523961969,0.00390393698644956,-0.0040511842727378,-0.0043442857617978,0.0057454050421543,-0.0909575127897507,-0.0017760119749974,-0.0748754289539278,9.63921813609478e-07,2.10788218358779e-05,-0.000420990555924356,0.00107592379183784,-0.00137518894091528,0.00294854347128317,-0.00353781755064436,0.00679428306900442,-0.0126041709285296,0.592123479719608,2.10571172347174e-06,-0.000119329311143204,0.00436171461446311,8.52864391766401e-06,1.65314649662022e-05,-0.00601689721280492,0.011471242727756,-0.00327686725394973,0.00194625618111087,-0.000693037694776543,0.0112483324500212,8.61340661155181e-05,0.000462513687364953,-0.0029177953433595,0.00524457133530073,7.2001363337864e-05,-0.00142523823242191,-0.00124294266096282,0.00364543476510799,0.0013181755813936,0.000368251845483052,-0.00117544148448376,-0.0714684127028086,0.000144297019681947,9.63147493181359e-05,8.10463550728639e-05,2.78027747095418e-06,0.000105429217274388,7.19870524421703e-05,0.000519488165230405,-0.000143737093703539,-0.000150588710306415,-0.0768990760318859,-5.73251786024708e-05,-1.93861162703e-05,1.03741654331111e-05,2.56353874114046e-05,0.000262410994881638,-4.64991275605085e-05,-5.47432573934468e-06,-2.97745463569798e-06,1.0310916115923e-05,1.65530803766039e-06,5.12280753052982e-06,-1.5647361740073e-07,-4.72617712341511e-15,1.85477356802662e-14,2.61279947467491e-14,-8.60513017202953e-08,-0.707106781186547,1.55015207223774e-06,2.47691322272757e-14,-6.40783407268239e-15,2.91689296031876e-15,1.34558097031489e-15,6.83745927741784e-15,-1.03146657800217e-14,8.20092583230016e-16,-5.02531957214357e-15,3.82675931107366e-15,8.45767365128987e-15,3.19137537272956e-15,-1.69081610004772e-07,-3.34680323968839e-15,-1.48891660870893e-15,1.62206808633348e-15,1.24298601934133e-15,8.99307544306082e-06,3.22242818672289e-16,-3.26250184027227e-15,-3.68738439156001e-15,1.23816449807748e-15,1.62413251165316e-15,-1.89641073625584e-15,5.54528503062448e-16,-5.24592072481766e-16,7.24644277882843e-16,-2.22104825965967e-07,3.83389225027158e-16,4.14726619744514e-16
"t4",0.101285464569188,-0.0590847338579022,-0.0147999188709451,0.0441676759216468,-0.000378272608356531,-5.18962483285002e-06,0.00331397922155297,0.000193098167367456,-0.0184068341037338,0.00275771837825407,-0.230140835111245,0.0766680052501028,0.00810413854323314,-0.00242437990336139,0.00109102907994445,-0.00106082947016961,-0.000511821364628422,-0.000812681487221324,0.0132373339255289,0.000266523656414854,-0.0143150840678357,-0.00300193327360961,0.0122877049555089,-0.0012969231209035,0.0186148474063252,-0.0404660021495881,0.000415366694460996,-0.000402759332087606,0.00062480526174438,-0.000471703599335854,0.00233350112273792,-1.18442883635871e-06,0.00326489685597696,-0.00321976613952239,-3.70010512801097e-05,-2.44082701234586e-05,0.00990197208275537,-0.0269329630966754,0.0085762866011864,-0.057753043924562,0.00473805596849236,-0.240971509887706,-0.000160637554850211,-0.00329633495561059,0.0244870693257536,-0.812804553682209,0.00769440009550584,0.425513727273005,-0.0152980312328634,0.0805446644644903,-0.0300094362731145,0.00117949585512463,-0.0148207834305036,-0.0247621372260159,-0.000661680587870266,-0.000480900509974476,-0.000576280076099147,0.000220244617129468,0.00249684692045701,0.00101138994603065,0.00380827086334712,-0.000517013639859218,-0.000400417288185071,-0.001982471361274,0.0108108054524249,0.000197763712303689,0.000323807140725082,0.000599897287835615,0.00346193777477667,-0.000499859565122887,-5.66146860480906e-05,-2.70711714197718e-05,0.00230189633307765,1.17782621102746e-05,0.000164782784554758,-3.88772750340482e-06,-4.24096015146989e-14,1.90025610176548e-15,-1.34434065275592e-16,-3.75505378868012e-07,3.91338087706665e-16,6.67379181749696e-06,-5.64414039794913e-17,-3.83379260784103e-16,5.67899289384982e-17,3.43937473902545e-16,7.7972452113372e-16,-2.38577441184221e-16,-1.58773742789277e-15,3.28217989844231e-16,4.63634893021251e-16,6.01994049704788e-16,7.12028360003721e-17,-6.66512028626572e-07,2.01919898976041e-16,-1.06368260776422e-15,-2.44038531310598e-15,-4.39952212639658e-16,3.39354162275156e-05,-6.77862374034913e-17,9.9320685069156e-17,5.08182357858288e-16,2.43887350891842e-16,-9.99418245217868e-17,-2.21899839872016e-16,2.48929981697357e-16,5.40454337464539e-16,-1.26237752871588e-16,-7.13959377529022e-07,-1.42757243056899e-17,3.27655467203219e-16
"t98",0.108079572880162,-0.0635156355897694,-0.0176263024125921,0.0532107423442157,-0.000472000974417297,-6.5382051060959e-06,0.00422847822537015,0.000263879596156952,-0.0266976318956198,0.00443534595478595,-0.402526582505466,0.134511650417344,0.0155928034378474,-0.00524316316177704,0.00472003734777317,-0.0048909096123094,-0.00529602459838992,0.00675781257151794,-0.1057547704294,-0.00196356890326147,0.0987054667148992,0.0060475919699948,-0.0240198795082738,0.00183759272671414,-0.0222949869354366,0.0468489663067376,-0.000415357835958502,0.00031164752250477,-0.000474544755008216,0.000343046448125484,-0.00165515398643912,6.65004899409351e-07,-0.499780563451537,0.00013831197486752,1.3374397779342e-05,8.18068303489585e-06,-0.00320394347195164,0.00772971006577065,-0.00237513204259017,0.0126713446747996,-0.00101391817142127,0.0475269457125161,2.67350937970868e-05,0.000509682439263771,-0.00373766095812568,0.110652563609195,-0.000911063395809817,-0.0458410264757313,0.00143493472513264,-0.00753272497047287,0.00279685892187743,-0.000105054625243822,0.00120720393534574,0.00183187889838246,4.24382391382928e-05,3.06560839781606e-05,3.58362729349832e-05,-1.22850037542622e-05,-0.000135551830513041,-5.35492405046552e-05,-0.000193025121583628,2.509700583509e-05,1.91976973278629e-05,9.18868215853685e-05,-0.000476258094595425,-8.47383679884289e-06,-1.20065647622963e-05,-2.16242985953314e-05,-0.000110315168198748,1.44962997568857e-05,1.60354073772384e-06,6.94846196254347e-07,-5.07930525373339e-05,-2.16131326414457e-07,-1.744286082231e-06,-1.77247470802055e-08,9.18129131372919e-16,2.82790044153109e-15,2.82137455970719e-16,-4.60143424007035e-09,3.74430213095309e-15,9.04547118635407e-08,1.0391973286024e-15,1.60805874016318e-16,-3.83493940562532e-16,2.18791182428743e-15,1.23758906929169e-15,-1.14503672714915e-15,-2.08997027621718e-15,-1.01544891963595e-15,1.72476614686596e-15,1.20670944453278e-14,-9.30834299370795e-16,-1.52261182807952e-08,9.84530986560853e-15,3.73127631317511e-15,5.0015343093024e-15,-1.16125874514514e-14,9.50086691705378e-07,-3.13218177473177e-14,5.39578727500828e-14,-0.707106781186546,7.82232199711275e-15,-4.86544683353738e-15,6.92194331214214e-15,-5.61130397729046e-15,-7.06100820480158e-16,2.88278458603871e-15,-3.60411685267749e-08,-7.3576178703691e-16,-1.21315725913914e-15
