"accepted_species","traits"
"t1",1
"t2",1
"t3",1
"t4",0
"t5",1
"t6",1
"t7",1
"t8",1
"t9",1
"t10",0
"t11",1
"t12",NA
"t13",1
"t14",1
"t15",1
"t16",1
"t17",0
"t18",1
"t19",1
"t20",NA
"t21",1
"t22",1
"t23",1
"t24",1
"t25",0
"t26",0
"t27",0
"t28",1
"t29",1
"t30",0
"t31",1
"t32",1
"t33",1
"t34",0
"t35",1
"t36",1
"t37",1
"t38",1
"t39",1
"t40",0
"t41",1
"t42",1
"t43",1
"t44",NA
"t45",1
"t46",0
"t47",0
"t48",1
"t49",1
"t50",NA
"t51",NA
"t52",NA
"t53",NA
"t54",0
"t55",1
"t56",NA
"t57",NA
"t58",0
"t59",0
"t60",1
"t61",1
"t62",0
"t63",1
"t64",1
"t65",NA
"t66",1
"t67",1
"t68",1
"t69",0
"t70",0
"t71",1
"t72",1
"t73",1
"t74",1
"t75",1
"t76",NA
"t77",NA
"t78",1
"t79",0
"t80",0
"t81",0
"t82",1
"t83",NA
"t84",1
"t85",0
"t86",0
"t87",0
"t88",0
"t89",0
"t90",0
"t91",1
"t92",0
"t93",0
"t94",0
"t95",0
"t96",0
"t97",0
"t98",0
"t99",0
"t100",0
"t101",1
"t102",1
"t103",1
"t104",0
"t105",0
"t106",1
"t107",0
"t108",0
"t109",0
"t110",0
"t111",0
"t112",0
"t113",1
"t114",1
"t115",0
"t116",1
"t117",1
"t118",0
"t119",0
"t120",0
"t121",0
"t122",1
"t123",1
"t124",0
"t125",0
"t126",1
"t127",1
"t128",0
"t129",0
"t130",0
"t131",0
"t132",0
"t133",0
"t134",1
"t135",1
"t136",1
"t137",1
