,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,1,2,2,1,,,,,,,,,,,
top,BMT,mcar,ultrametric,continuous,,,,,,,,,,,
freq,400,200,200,400,,,,,,,,,,,
mean,,,,,0.9992054896514468,0.3339041814708035,0.6837903267761715,0.519024331920189,0.35273094032836605,0.5256391059453509,0.5571169103004524,0.4022177153939589,0.39102678865325574,0.4733705692272181,0.43173663892505426
std,,,,,0.005087570388814568,0.13521267123313122,0.25529533143222366,0.45930860224232417,0.1285585306297351,0.1928051152748488,0.2579303067891128,0.200840726825069,0.15513783521766547,0.1672001102094734,0.181275551080509
min,,,,,0.932322774983526,0.09756140203935151,0.15198812894720912,0.137298069273683,0.09995339295754893,0.13250236455471343,0.1484554983975373,0.10611469866636769,0.11766032626466864,0.11139338140485891,0.09535213537702147
25%,,,,,0.9999156269371352,0.24137505833803324,0.512217503061465,0.3692294913667585,0.26520256375266277,0.39563273310775326,0.40638172755207697,0.29612341034874184,0.28860109665530786,0.3682349253396985,0.3142784097011306
50%,,,,,0.999926686256414,0.3063129623608928,0.6799889707189666,0.4547402174688999,0.33256431343476156,0.49572483983213106,0.512085373825522,0.3743375519129466,0.3596813252036233,0.4468689840245876,0.40023376498555785
75%,,,,,0.9999542343014709,0.38717752963336394,0.7963357386662423,0.5809266363374948,0.4143438734558211,0.6093239136421106,0.6426281041448598,0.4602812402452311,0.4585614466440093,0.5597545154816049,0.5064032922450408
max,,,,,1.00277267642852,0.9600917425920537,1.9868114867047069,6.7435441071416085,0.9281051424544227,1.5028178952319002,2.5155755121199666,2.8633688018731673,1.190436208475001,1.282872375399943,1.625896674434139
