,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t1,0.6502256,10.223039,4.628602,9.904276,5.914929,2.7289672,3.5694351,4.926771,6.252259,3.8497515,3.8381286,3.8095794,4.9317827,3.8596642,4.4387765,4.8939285,3.794477,5.9952416,6.625508,4.60435,5.9598274,4.425306,5.6824074,4.30752,3.8278906,5.0639777,6.190066
t16,0.63096404,10.485531,4.466312,10.386096,6.07772,2.744269,3.549375,4.81776,6.322971,3.9674737,3.6936374,3.8021271,4.7602177,3.9481726,4.547282,4.929537,3.8933625,5.886702,6.7602587,4.417212,6.066375,4.520003,5.89186,4.366426,3.8774192,5.1760054,6.2021484
t20,0.6385354,10.444883,4.488514,10.306569,6.0445995,2.7385552,3.552779,4.8513875,6.317091,3.9446688,3.7157345,3.8019898,4.7966933,3.9303176,4.523579,4.9144464,3.8764648,5.9167852,6.7286243,4.4659195,6.040403,4.502933,5.842082,4.360375,3.8807209,5.1494355,6.201409
t33,0.6403602,10.473368,4.486322,10.391609,6.0255136,2.6936243,3.5682342,4.833163,6.375674,3.9437227,3.6748343,3.8599508,4.7746415,4.008465,4.5656123,4.892013,3.912141,5.865549,6.751471,4.4396396,6.0403447,4.5483856,5.8629417,4.35355,3.9244974,5.1881585,6.2095423
t64,0.6413307,10.63176,4.3650026,10.649727,6.184757,2.726142,3.561565,4.713089,6.3852158,4.0289526,3.5988188,3.822809,4.6262636,4.030351,4.6113977,4.9775467,3.9907613,5.800108,6.866846,4.2793746,6.1236467,4.601071,6.0351825,4.444138,3.8827598,5.2460713,6.2341332
t239,1.6032518,10.905786,3.4713776,10.982201,6.6999297,2.5729473,3.394015,4.318692,7.4100313,4.2716837,2.8438416,3.9464083,3.8912191,5.244098,4.4071555,4.7167535,4.9912086,5.7831206,7.385553,3.6579924,6.123265,5.435953,6.6307654,5.1695986,4.1187415,5.089667,6.2448735
t240,1.6538551,10.916216,3.4250584,10.995134,6.716375,2.5654066,3.390592,4.305987,7.4608927,4.2784324,2.8152854,3.9545064,3.8611755,5.3004193,4.401555,4.7183814,5.0406938,5.7791324,7.4010334,3.6411276,6.116769,5.480568,6.6476126,5.1968093,4.124206,5.084581,6.250186
t195,1.62393,10.895365,3.452212,10.97493,6.6922445,2.5894191,3.4113085,4.328674,7.4314256,4.2559476,2.8420508,3.933264,3.8876972,5.268516,4.4232664,4.7352934,5.0122385,5.798595,7.3765435,3.666246,6.1396437,5.4538884,6.62284,5.1702685,4.1021504,5.07228,6.2308636
t187,1.6049167,10.897669,3.469506,10.97482,6.6912527,2.5838943,3.4017575,4.328041,7.4120336,4.262914,2.8510697,3.941943,3.897961,5.2465863,4.412424,4.727077,4.993472,5.7925816,7.376179,3.669219,6.132288,5.4373684,6.6202393,5.162314,4.1123233,5.086972,6.238686
t256,1.6086159,10.867577,3.4717848,10.945265,6.653029,2.6264987,3.4691565,4.361127,7.4172316,4.2286735,2.8821435,3.9070268,3.9261436,5.2609425,4.450225,4.7963943,4.996706,5.83194,7.338813,3.706263,6.1811504,5.4321246,6.5831137,5.128199,4.0724745,5.009278,6.2029448
