"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97","V_98","V_99"
"t10",-0.0988004601736369,-0.132573698678593,0.0276473634277869,0.000140271633681534,0.00636116536757336,-0.00281651486588537,0.00206114179629845,-1.18880137361353e-05,0.0068122800591237,-0.00722032054021352,0.0106740409878653,-0.0274358457746506,0.644289769198377,0.05660273386095,-0.0239219512396323,0.0341760975533709,-0.0447894385827218,0.19405097097124,-0.011210368118163,0.00164435667220923,-0.00964761472437152,4.91668663208085e-05,-0.0237526444575078,0.000379511324208609,-0.00082290883419109,9.58016443744692e-05,-0.000121479786610247,0.00569810410504227,-0.00520105123897961,7.00273196550712e-05,-0.0023258934649479,-6.43187190360822e-05,0.00177163536559786,-0.00156213768510621,0.000149463402103382,3.7683864651093e-17,-0.000529373461786875,0.0174744575377432,-3.06991556428413e-16,-0.000404659013686017,9.80616914938317e-05,0.000127523146054882,-0.000274093701609723,0.000292241284876258,0.707106781186549,-6.87936868004451e-05,-0.000735739979419834,-0.00029353467068226,-5.88828873354152e-16,-1.1922042984527e-16,0.00064178761733288,-1.42875604930152e-17,-0.000129815943066886,-1.75142077092304e-16,-0.000103372607758481,-0.000171162424085019,4.5350156632798e-17,9.68747632845084e-05,5.9866072530122e-05,-5.84002512768658e-18,-1.51611947525166e-17,-0.000323354156884876,-4.58212569428584e-05,7.48620555241238e-05,8.90188271249536e-05,-0.00053258458064131,-3.0278180086031e-18,-8.17255832789026e-17,-1.53462564074297e-17,-3.96541435298145e-17,-5.58180512488312e-17,1.36732662350141e-05,7.23900127566605e-06,2.37110530140139e-05,-0.000769469968386276,7.97581968819135e-19,-1.15186542817024e-18,4.47652701613865e-16,-3.56745501917002e-17,-1.20135787103422e-16,5.65099486193251e-06,1.15620081125513e-16,3.21051588362105e-10,-1.18310837102946e-17,-1.47344065528555e-05,8.49371445340138e-18,-8.45259650979245e-17,-5.86714777884459e-17,3.31475693197689e-17,-3.02011760334555e-18,3.16894796082242e-17,-2.10392186944545e-17,3.57562808588465e-17,-1.39345100684825e-17,8.61547166988183e-18,2.24334073482159e-16,-1.0177555123154e-16,-1.68605533746687e-16,1.01687053109001e-16
"t27",-0.0988004601736375,-0.132573698678594,0.0276473634277869,0.000140271633681257,0.00636116536757334,-0.00281651486588499,0.00206114179629847,-1.18880137361508e-05,0.00681228005912372,-0.0072203205402137,0.0106740409878654,-0.0274358457746509,0.644289769198378,0.0566027338609503,-0.0239219512396324,0.0341760975533707,-0.044789438582722,0.19405097097124,-0.0112103681181631,0.00164435667220913,-0.00964761472437148,4.91668663199029e-05,-0.0237526444575073,0.000379511324209036,-0.000822908834190837,9.58016443744403e-05,-0.000121479786610295,0.00569810410504204,-0.00520105123897982,7.00273196550144e-05,-0.00232589346494744,-6.4318719035541e-05,0.00177163536559795,-0.00156213768510677,0.000149463402102041,5.94317541591097e-18,-0.000529373461786944,0.0174744575377433,3.47897205498653e-16,-0.00040465901368809,9.80616914943395e-05,0.000127523146053541,-0.000274093701603241,0.000292241284853427,-0.707106781186547,-6.87936868090273e-05,-0.000735739979415647,-0.000293534670685087,5.97485799761192e-16,8.05248808188853e-17,0.000641787617332719,-1.55998628497777e-16,-0.000129815943066356,1.71805976267365e-16,-0.00010337260775947,-0.000171162424084595,-3.91991254723344e-17,9.68747632833406e-05,5.98660725297266e-05,-1.30500713944961e-17,3.01443958646139e-17,-0.000323354156884996,-4.58212569427776e-05,7.48620555244996e-05,8.90188271239311e-05,-0.000532584580641941,-1.36472381512067e-17,6.41165276992033e-17,3.8262374306375e-17,1.59444393896384e-16,-4.23880626037181e-17,1.36732662354301e-05,7.23900127504472e-06,2.37110530139345e-05,-0.000769469968384374,-3.89953833075191e-17,2.15911046917222e-17,-6.05844227618065e-16,1.65553251228131e-17,2.07969168744818e-16,5.65099486189828e-06,-6.59078708926364e-17,3.2105127351205e-10,-1.22300333676175e-17,-1.47344065526918e-05,-1.26927633455575e-17,5.18329316667721e-17,-3.2656666974006e-17,2.00144460623182e-17,-1.18054388272523e-17,5.58564034000853e-17,-1.73723846966119e-17,-1.36005786267473e-17,-3.93390025784573e-17,-6.14205158451538e-17,3.44119161761601e-16,-1.36167010519446e-16,-4.30069074859533e-16,1.67262371420952e-16
"t59",-0.134130893725163,-0.194570417265131,0.0428463524226493,0.000267261827056917,0.0145895277726901,0.0276353124809709,-0.00375568995768469,1.88714108899072e-05,-0.00587754963016168,0.00427831341100427,-0.00536844028519774,0.245367016294908,-0.0947012985819756,-0.00729136003926257,0.00233310400358728,-0.00303046831628844,0.00384916521371611,0.0786911284857857,6.43582968162916e-05,-9.37291325406081e-06,-4.35897668058754e-05,-0.409329804550096,-0.000290615112340452,1.85636749548542e-05,-4.5680206674153e-05,5.90331588606875e-06,-8.72486467431439e-06,0.000481049524308743,-0.000508823187933177,7.18278246207237e-06,-0.000299123505376694,-1.05383812530037e-05,0.000320813175308641,-0.00030494251799147,3.02370480804144e-05,1.23268734298422e-16,-0.000280220225083402,0.166036689887309,2.56636558938996e-16,4.46947030661027e-05,-1.77322982582475e-06,4.10103032006785e-06,-2.20204992829383e-05,2.89061772920156e-05,7.49400541621981e-16,-7.31605383310846e-06,-0.000433297555701815,-3.30385566432289e-05,-7.2443685117569e-19,7.73153229096285e-17,0.0004467034907496,-8.17142412184591e-17,-1.79969595852247e-05,1.69804858125705e-16,-1.50545000616611e-05,-2.53514013555175e-05,-7.77823556234196e-17,1.54130146919698e-05,9.75448098710838e-06,-1.1441334974353e-16,6.12192561144895e-17,-6.51048499599777e-05,-9.31541915123669e-06,1.54114388893372e-05,1.9698156547517e-05,-0.400838673255232,3.44722728063747e-16,2.7540170860898e-15,-1.86783565328967e-15,1.43247043753814e-15,2.72131019669251e-15,1.21838518486019e-06,7.10335507945247e-07,2.40003595586553e-06,-0.00166290024826869,3.71619737264182e-17,4.18166472900051e-16,-0.707106781186546,3.93835509193878e-14,-1.05213698751287e-14,7.78967602255811e-07,-2.01939283186066e-15,4.76523661429509e-11,1.90544550477112e-16,-2.22629025151656e-06,-1.05492419715667e-16,-1.08801363687448e-16,5.65389293077726e-16,-7.51465018945294e-16,-2.45561686481098e-16,5.76890990438436e-16,1.09213822261816e-16,2.3654225657683e-16,1.45570326497609e-16,3.93810318161981e-16,7.66242189204212e-16,-2.63003333997593e-16,-7.71045280920939e-16,1.56616316250876e-16
"t60",-0.134130893725163,-0.194570417265131,0.0428463524226492,0.000267261827056981,0.0145895277726903,0.0276353124809708,-0.00375568995768452,1.88714108897302e-05,-0.00587754963016161,0.004278313411004,-0.00536844028519746,0.245367016294907,-0.0947012985819748,-0.00729136003926254,0.00233310400358733,-0.00303046831628823,0.00384916521371625,0.0786911284857855,6.43582968161433e-05,-9.37291325396866e-06,-4.3589766805829e-05,-0.409329804550096,-0.000290615112340013,1.8563674954607e-05,-4.56802066739525e-05,5.9033158859716e-06,-8.72486467458727e-06,0.000481049524308811,-0.000508823187932697,7.18278246216353e-06,-0.000299123505376881,-1.05383812528389e-05,0.000320813175308524,-0.000304942517991552,3.02370480805344e-05,-3.38453792756052e-17,-0.000280220225083127,0.166036689887308,-8.38686536774443e-17,4.46947030665924e-05,-1.773229825662e-06,4.10103032013142e-06,-2.20204992827092e-05,2.89061772923795e-05,7.7715611723761e-16,-7.3160538330833e-06,-0.000433297555702366,-3.30385566433561e-05,2.48406561715722e-17,-1.87808142571248e-16,0.000446703490749662,-3.87416052934274e-16,-1.79969595851704e-05,1.04801339070755e-16,-1.50545000629612e-05,-2.535140135527e-05,-3.19509125346245e-17,1.54130146914903e-05,9.75448098732612e-06,-1.042965834757e-16,2.91944288823587e-16,-6.51048499609797e-05,-9.31541915221208e-06,1.54114388891106e-05,1.96981565472074e-05,-0.400838673255228,8.50682344988251e-17,2.50007466585799e-15,-2.58224337823905e-15,-1.1993203344704e-15,-1.20077850532129e-15,1.21838518616771e-06,7.1033550858392e-07,2.40003595632191e-06,-0.00166290024827245,3.5068210195508e-16,-7.7044206111461e-16,0.707106781186549,-3.98858574225907e-14,1.01822932166252e-14,7.78967600884448e-07,1.80417899086173e-15,4.76508809166443e-11,-2.41082480507978e-16,-2.22629025027587e-06,3.47358531929976e-16,-1.89619146607893e-16,-7.50165822430658e-16,5.05037216100338e-16,2.20105904301219e-16,-4.14571690422095e-16,-7.23906507963193e-17,2.32174185206484e-16,-5.3703875336788e-17,-2.99118132435722e-16,-7.52500960122942e-17,-2.92519722733676e-16,2.87673341210891e-16,7.61764330401773e-17
"t51",-0.133848238585768,-0.194080585042353,0.0427272341121691,0.000266292661306546,0.0145279231313772,0.0274308484887511,-0.00371969469998261,1.86837104218176e-05,-0.00580638654329013,0.00421810267840994,-0.00528504459433691,0.241203369070902,-0.0927026127305096,-0.00713087769683627,0.00227762674829713,-0.00295659933241284,0.00375456302627757,0.0765492276595232,6.25405516858677e-05,-9.10200070687039e-06,-4.22638928109129e-05,-0.396730222385199,-0.000281536327387164,1.78960954047895e-05,-4.39941685569884e-05,5.68003909092547e-06,-8.3809042475911e-06,0.000461069244873205,-0.000486466045385325,6.86081899777436e-06,-0.000284188613068268,-9.93842444763392e-06,0.000301534568062137,-0.000285894030443197,2.83147135168816e-05,5.23072955012374e-17,-0.000257255550167558,0.15121324660601,-2.82568167754266e-17,4.00406954011947e-05,-1.57261294203813e-06,3.59177259344725e-06,-1.87604144329943e-05,2.41129624208657e-05,4.44089209850063e-16,-6.03531448338595e-06,-0.000355883955966947,-2.69000521466258e-05,-1.71813748030301e-16,-1.23803815894913e-17,0.000342761055184417,3.18693946250151e-16,-1.34748602829276e-05,-2.82137976043537e-16,-1.08631202991902e-05,-1.80138337086647e-05,1.60379476171496e-16,1.00525017376621e-05,6.12641300876731e-06,8.51637860640424e-17,-3.22737757686623e-16,-2.03079243024989e-05,-2.74284202249834e-06,4.18569440126425e-06,2.71578134498631e-06,0.823738439089721,-2.79384883822764e-19,-5.21411138339383e-15,4.44538270398128e-15,-1.17332369697972e-16,-1.72221394219201e-15,4.73949086579083e-06,2.39813447818612e-06,7.73852156434144e-06,-0.00411885686901365,-4.57491751773262e-16,4.00969252401579e-16,-1.85072100642446e-15,2.81134891122024e-16,1.79434918061498e-16,1.46145066263074e-06,3.26182559937306e-16,7.92951202145803e-11,3.59996497193488e-17,-3.60092887737257e-06,-2.72938168268051e-16,2.3888369591592e-16,-1.78192847235182e-16,4.34467553968328e-16,-1.57659983249436e-16,2.07886433401923e-16,9.96656462241605e-17,-2.17757000693099e-16,-1.8264433072014e-16,-1.94448175183963e-16,1.68449940602809e-16,1.02637836660855e-16,-1.02661934792222e-16,1.71860031748089e-16
"t7",-0.128896022112268,-0.185467603991615,0.0406278661325028,0.000249083547794279,0.0134282110670799,0.0236744474170575,-0.00304484328342192,1.51526522016917e-05,-0.00443987177792698,0.00303965843856199,-0.00362915016367123,0.157335999547906,-0.0506936154933793,-0.00372542978139802,0.00107788489180121,-0.00134873950293639,0.00169088221472089,0.0284388969136913,2.12357401278042e-05,-2.8995431956922e-06,-1.13732914233319e-05,-0.101931736686063,-6.79691080750777e-05,1.26868617310078e-06,-1.49830393694175e-06,-1.30364911741111e-08,5.72052566157408e-07,-7.36952708643625e-05,0.000131806068263407,-2.15322646422528e-06,0.000166122490415497,1.02860945473603e-05,-0.000384935684739399,0.000422301105894904,-4.4660180348958e-05,-1.47327863035394e-16,0.00108147830964481,-0.947545099833226,8.52850744708641e-16,-0.000727222606237907,0.000126868837067528,0.000132229474390066,-0.000223878239364768,0.000217545887254404,4.44089209850063e-16,-4.95990075152385e-05,-0.00283704020141212,-0.00020345135071524,1.24555162610311e-17,1.91664764433652e-16,0.00212829215204015,-3.31265740013229e-16,-8.04640158833382e-05,-8.60730512760681e-17,-6.25595795145655e-05,-0.000102755919629973,1.17723316455731e-18,5.63574192266571e-05,3.45063566913202e-05,8.16027039584081e-18,1.29965709218579e-16,-0.000176991682148713,-2.50492813581363e-05,4.08625574086178e-05,4.82528796891892e-05,-0.00965388262872406,-1.68931863074895e-16,-4.58585369669505e-17,8.52596941011175e-17,4.529153456928e-17,2.45170798784579e-16,7.08202396812344e-06,3.75253483904887e-06,1.23001679812234e-05,-0.00720196005173239,-3.55973539365905e-17,2.42331070939598e-17,-2.05869795138441e-16,-3.38191759315116e-17,2.2749740974027e-16,2.83687243967975e-06,5.58611433097301e-17,1.60399221740766e-10,-1.24260610970217e-17,-7.34798114787633e-06,1.46847783701876e-17,-5.73654329148346e-20,2.73741505279042e-16,5.53588948342888e-17,6.24385784868274e-17,-3.55707370023044e-17,-8.65343242134145e-17,3.37636038015619e-17,1.62792257930787e-17,4.42357531172018e-17,1.67831382556295e-16,-1.1245075981488e-16,2.09258028595447e-16,8.62864997177549e-17
"t93",-0.134475868915472,-0.195182544267738,0.0429974980213392,0.000268554354624174,0.0146746743795101,0.027980553138038,-0.0038262554221101,1.92490024921961e-05,-0.00604579931506247,0.00444536110228924,-0.00563164377768519,0.260435427771911,-0.106372772812607,-0.00835802361312384,0.00282870248015561,-0.00377249045521269,0.00484048257407473,0.126705741631549,0.000133264502080975,-2.73474421244807e-05,9.36961877413822e-05,0.411031249126643,0.000114428331139477,1.08761489363038e-05,-2.84896392690769e-05,3.84351925882719e-06,-5.98068046774416e-06,0.000343768726391511,-0.000373920471214005,5.31572120281702e-06,-0.000225981862419192,-7.93625898095395e-06,0.000239405183299818,-0.000225388773240926,2.2230608310174e-05,9.69669082182938e-18,-0.000169276657685843,0.0815185800211338,-4.70944992786693e-16,-7.93668029945091e-06,6.58273355289591e-06,1.20356366339634e-05,-3.36320420411681e-05,3.93495906730552e-05,-6.38378239159465e-16,-9.61911492083552e-06,-0.000563463937275302,-4.21675651024813e-05,6.21290287078747e-17,3.01619176065762e-16,0.000531949049008269,-4.96560539569033e-17,-2.11073481914949e-05,5.97173664862025e-17,-1.73610173627692e-05,-2.90710749667801e-05,3.25108980777215e-17,1.7265657634028e-05,1.08419256004543e-05,2.41096726162616e-16,-5.21354504277725e-16,-6.63820786944809e-05,-9.45017227690715e-06,1.55295141265851e-05,1.90300885398369e-05,-0.00264196917272348,-3.26106768628939e-16,1.64151166035649e-16,4.37130922398592e-16,2.6538638908638e-16,4.72788341388086e-16,5.83757767719961e-06,3.6186702628459e-06,1.28156527064128e-05,-0.399948172764851,-1.85022774342736e-15,9.22237189894936e-16,-1.03267683892821e-15,-3.58463132190698e-16,-1.12871345330272e-15,4.33032907761225e-08,-2.12335837949758e-16,2.82400122161773e-11,-7.35709921600771e-17,-1.4833167685948e-06,-3.63051534955345e-16,1.14326397319278e-16,-3.97252319690619e-17,-2.42245639473865e-16,-2.18368218523635e-16,2.6221968344494e-16,-2.51556809935808e-16,4.44288494963646e-16,-2.85603360169274e-18,-1.46269209097031e-15,-0.707106781186548,-2.28735275876956e-15,3.50560927208346e-16,2.33259693389389e-16
"t94",-0.134475868915472,-0.195182544267738,0.0429974980213392,0.000268554354624154,0.0146746743795099,0.0279805531380376,-0.0038262554221101,1.92490024921443e-05,-0.00604579931506255,0.0044453611022893,-0.00563164377768528,0.260435427771911,-0.106372772812607,-0.00835802361312394,0.00282870248015583,-0.00377249045521282,0.0048404825740748,0.126705741631549,0.000133264502080909,-2.73474421243133e-05,9.36961877412851e-05,0.411031249126644,0.00011442833113906,1.08761489359607e-05,-2.84896392694772e-05,3.84351925861377e-06,-5.98068046759801e-06,0.000343768726391424,-0.000373920471214231,5.31572120297021e-06,-0.000225981862419332,-7.93625898081089e-06,0.000239405183300028,-0.000225388773240832,2.22306083103386e-05,1.8625577582046e-17,-0.000169276657685936,0.0815185800211337,-9.18550577972014e-17,-7.93668029951279e-06,6.58273355263229e-06,1.20356366336851e-05,-3.36320420414542e-05,3.93495906728723e-05,-6.24500451351651e-16,-9.61911492085506e-06,-0.000563463937275428,-4.21675651026471e-05,1.71705271262317e-16,2.25207090246478e-16,0.000531949049008659,-1.34074381258694e-16,-2.1107348191457e-05,-4.10795708787579e-17,-1.73610173626945e-05,-2.90710749666303e-05,-1.82304289609381e-16,1.72656576343891e-05,1.08419256005896e-05,-2.4571904662832e-16,2.19720297449001e-16,-6.63820786947577e-05,-9.45017227662455e-06,1.55295141264392e-05,1.90300885396561e-05,-0.00264196917272328,2.11633073880069e-16,1.43570668496232e-16,3.94422977380031e-16,9.4082665375703e-17,8.08560704030446e-16,5.83757767672069e-06,3.61867026254972e-06,1.2815652705902e-05,-0.399948172764851,-1.34677653944642e-15,9.69433063869384e-16,-5.24885191785649e-16,-8.61358844843542e-16,-1.10154805557326e-15,4.33032909911217e-08,1.0326026287658e-16,2.82397941894944e-11,1.85536630637595e-16,-1.48331676930921e-06,3.86046959709072e-16,-9.7481403121738e-17,-1.83968458753719e-16,8.98885677233819e-17,2.30990320344154e-16,-7.61691161295016e-17,4.71368475056054e-17,-3.75479372032636e-16,-1.0910705280077e-16,2.10013578179821e-15,0.707106781186548,2.04118479253165e-15,-3.48052560281976e-16,4.80294850096878e-17
"t65",-0.134090381898484,-0.194514432061418,0.0428350112133807,0.000267231864040263,0.0145905831768402,0.0277006031599867,-0.00377678496901773,1.89908293882315e-05,-0.00594732719197444,0.00436138319345331,-0.00551440080165927,0.254522164915792,-0.103382474941088,-0.00811323734596329,0.00273937348117109,-0.00365044504926576,0.00468262391324234,0.122142603394327,0.000128289971762608,-2.63035182318525e-05,8.99384772801923e-05,0.394356097191862,0.000109719218092316,1.03635328545142e-05,-2.71128726226548e-05,3.65337478706981e-06,-5.67281599418669e-06,0.000325167025028689,-0.000352571109878512,5.00639180789006e-06,-0.00021141360404444,-7.35719787347091e-06,0.000221028251842986,-0.000207449347791627,2.04318637573955e-05,-1.16507748783426e-17,-0.000151954394947496,0.0724989163778546,-1.15464929932761e-16,-6.92773371467809e-06,5.68167439777959e-06,1.02470561274383e-05,-2.78102621026216e-05,3.18487254960679e-05,1.01654795692241e-15,-7.70012184844576e-06,-0.000449127077245695,-3.33282011792149e-05,-1.05566102802077e-16,-3.69744480920974e-16,0.000398125643147457,1.49987430411938e-16,-1.54665636893554e-05,6.14179864875805e-17,-1.23395485675889e-05,-2.04113866482128e-05,1.23632095589258e-16,1.13767408327687e-05,6.96286403389305e-06,3.90022744231012e-17,2.10173643413379e-16,-3.12414210138898e-05,-4.37659372581904e-06,7.0435567099943e-06,7.66103911495507e-06,-0.000157129737222026,-2.19257508956262e-16,-4.13684042199557e-16,-9.4933784312369e-16,-2.3197634806994e-16,-1.59085282059887e-15,-4.41450527633625e-06,-3.41448619913413e-06,-1.31552485796796e-05,0.824620647915263,3.20136332030874e-15,-1.88896595599191e-15,2.35162932939226e-15,1.31054041723093e-15,2.68583260361714e-15,3.15877625218336e-06,1.93791795239059e-16,1.28655493796126e-10,-1.32412399037087e-16,-5.55178962097875e-06,3.87808717987667e-17,-4.46621988898631e-17,-5.80812578882281e-17,2.03460883538804e-16,6.21340718720479e-17,-1.51146601246941e-16,-3.0926829157488e-17,-1.93122378711477e-16,5.07143586636874e-17,-6.89091992744667e-16,-1.92590008768853e-16,-1.63754062497651e-17,-1.04000219089413e-15,1.00092782422207e-16
"t97",-0.132991253781008,-0.192555553633557,0.0423498481693809,0.000263035971055592,0.0143115661162233,0.0264776106601432,-0.00350141606334214,1.74854895939259e-05,-0.00514508950369537,0.0032823229958612,-0.00283213995071521,-0.386969026980584,-0.132820222038535,-0.00999397904681549,0.00319531168932454,-0.00419773353077013,0.00536011792919178,0.13193468352383,0.000134637339877685,-2.69205116832831e-05,8.30028277476018e-05,-0.00114615263336442,5.4664131333107e-05,1.22924329749477e-05,-3.16000973761025e-05,4.2042688977225e-06,-6.41948846808685e-06,0.000361934703265954,-0.000386568186347823,5.46168141622456e-06,-0.000224509690081122,-7.50930065733545e-06,0.000220765787535274,-0.000203353086931115,1.98350393584232e-05,7.18660785423753e-17,-9.83524780200007e-05,0.0171942559320305,-1.44515228175157e-16,-6.01805909147732e-05,1.60176692754313e-05,2.2353384463049e-05,-5.37837502322395e-05,6.23734803240132e-05,1.94289029309402e-16,-1.55016830255701e-05,-0.00102312152804624,-7.06217061518462e-05,1.72675977415753e-15,4.19909714125981e-15,0.497222293428881,-8.07628067904268e-14,3.29857696983659e-06,8.96559884640273e-16,-9.76199003239851e-06,-1.89832351515706e-05,1.4379166851014e-16,1.42770488533166e-05,9.22364206849303e-06,1.05828023836301e-16,-7.09630515386136e-17,-5.81788916921052e-05,-8.26791736195399e-06,1.35548421517914e-05,1.63724363264109e-05,-0.000487539717033629,3.01257389272228e-16,1.02641766011438e-17,-1.15141171919507e-17,6.73042555158069e-17,-2.00673027021848e-16,2.73229296293454e-06,1.45211695560787e-06,4.76370769839443e-06,-0.000722192884797685,-1.91150401130645e-16,1.95281713768326e-16,8.60543651800199e-16,4.33643549157226e-17,2.55620167312356e-16,1.1635708145994e-06,-9.5598541151611e-17,6.70498469852572e-11,-1.16253705092229e-16,-3.09010866410223e-06,-1.72507496288792e-16,-1.70694910878845e-16,7.90345823845448e-17,2.96932289324679e-16,3.1847594197885e-16,-2.61189387526979e-16,-4.13027600655656e-17,-3.04643061860297e-16,2.04402911836443e-16,-2.68171517671909e-16,7.88082056371009e-17,-9.43916638629128e-16,-0.707106781186548,7.67991309376456e-16
