"","V_1","V_2","V_3","V_4","V_5","V_6","V_7","V_8","V_9","V_10","V_11","V_12","V_13","V_14","V_15","V_16","V_17","V_18","V_19","V_20","V_21","V_22","V_23","V_24","V_25","V_26","V_27","V_28","V_29","V_30","V_31","V_32","V_33","V_34","V_35","V_36","V_37","V_38","V_39","V_40","V_41","V_42","V_43","V_44","V_45","V_46","V_47","V_48","V_49","V_50","V_51","V_52","V_53","V_54","V_55","V_56","V_57","V_58","V_59","V_60","V_61","V_62","V_63","V_64","V_65","V_66","V_67","V_68","V_69","V_70","V_71","V_72","V_73","V_74","V_75","V_76","V_77","V_78","V_79","V_80","V_81","V_82","V_83","V_84","V_85","V_86","V_87","V_88","V_89","V_90","V_91","V_92","V_93","V_94","V_95","V_96","V_97"
"t13",-0.139814637366158,-0.0227140656993117,0.00281833201261809,0.0722410898729465,-0.00174670349447247,0.000535524888051262,-0.182591767687569,0.0101979476531655,-0.0169103958695565,0.00898688945978048,-0.00849938750864281,2.5559377347979e-05,-4.86675391213437e-05,-0.000586311304092071,0.00035428689052852,0.000108997047005375,-0.000527719850712414,0.0337819003512582,-1.05463010263967e-06,-7.49187295633798e-05,-0.241777550336041,-9.70055012784077e-05,5.97192152144687e-05,-0.00647974380301271,0.00019875166617459,-0.000259416595274191,3.74863254015829e-06,-0.0961141305810759,0.000946180872436345,-0.0623508183300533,0.0157788701336387,-0.020505582459807,0.0018214956990229,-0.0110274874271895,0.000107274318047821,-0.456557797605056,0.109582510807556,-0.438852438975742,-8.31408527282373e-05,-0.000223334118010763,-0.000534223324601157,0.0320266919549065,0.0143421417909429,-0.624727829835826,-0.000645952846947663,-0.00382234244910126,0.204272821119487,4.54538946642689e-06,0.00161626142279354,-0.0124651303635164,-8.98195854404251e-05,-0.000461281988367844,-0.000477757509836595,0.00833918896748836,0.000151286815163816,6.53485368173246e-05,0.000112032648401338,0.0284167867490866,-0.00067787654229515,-7.51434222084703e-05,-0.000213587644021484,0.0595611782281681,1.3671224330015e-06,1.03344491077186e-05,-0.0775513083344495,0.0124946922247089,-3.35612471228552e-07,-2.1562305222667e-05,0.000190157994768206,-1.14237884180126e-17,1.85371472374632e-15,1.45363720281274e-16,1.63200379008933e-16,1.4966466725728e-15,1.16318521646316e-16,-7.07334191428783e-06,-3.11132479632439e-16,2.0142306724082e-17,-2.90744686431152e-16,5.50868865196812e-18,-1.77940555236462e-16,-2.96255801731059e-17,-4.11835544134054e-17,-2.98516170921816e-17,-8.82403001195865e-17,-2.96372740235041e-16,4.02020967268155e-17,-3.36820726629175e-16,-1.54835966034572e-16,5.69093044662727e-19,-5.48947789317311e-17,-1.24647454478643e-16,-4.66930926546626e-19,-9.70347099802948e-16,-8.43116066739919e-17,-7.22130009361244e-18,-6.78050685846125e-17
"t92",-0.14681536221134,-0.0246612151978648,0.00318449152013214,0.0848408527757438,-0.00213578131464956,0.000701869671964259,-0.260448624460266,0.0171780553462653,-0.034091176013854,0.0198964780531938,-0.0293655382828043,-5.72960221290205e-05,4.76256417649591e-05,0.000226630058670858,-6.41982300470696e-05,1.90038261370145e-05,-0.000230800233353915,0.0242452025127015,-1.08077614366742e-06,-0.000118050593252558,-0.542052071196445,-0.00124722001218682,-0.00668798164760357,0.0640540831842987,-0.00115138762182087,0.00145321780880416,-4.9488553746047e-06,0.114117992864482,-0.000954952103937466,0.0560005184102733,-0.0118474185673032,0.0130769222699496,-0.00106347129637625,0.00622836490106181,-4.82367339899771e-05,0.191262220609338,-0.0456613487247003,0.183059514307612,3.59697015392541e-05,-5.08082350203756e-05,-8.88487862337602e-05,-0.00201362570246553,-0.000971832005285711,0.0434691829277735,5.59466849125014e-05,0.000338201006944461,-0.0192346083225447,-4.32653096135872e-07,-0.00015581254324147,0.0011922026611102,8.31907283357914e-06,4.23377723002624e-05,4.19327426020677e-05,-0.000724173251331626,-1.16715310859492e-05,-4.76344449515607e-06,-7.12703790064848e-06,-0.0017190586468976,3.68540563583156e-05,4.02097297945919e-06,1.12588361605583e-05,-0.00298397747633693,-6.35061086191538e-08,-4.63287059033969e-07,-0.0185221570279647,-0.000231935559365782,5.57060740380453e-09,2.0954791462221e-07,-1.53937181743566e-06,-5.21688627069435e-16,1.92186888814319e-16,-2.38532288288208e-17,-8.91399857658762e-16,-1.56760112262562e-15,3.35849772502609e-16,-2.75182001381496e-07,-7.3381284548385e-16,-1.52872942024258e-16,-4.95454892026892e-16,-1.90581608830162e-16,2.60026487403789e-15,-5.03210524493151e-17,-2.0863551568376e-16,9.31506157165473e-16,3.56159339881373e-15,2.62074221259113e-15,4.05587580277074e-15,2.4111852246829e-15,0.707106781186548,-1.38735656048875e-12,-1.92886230073279e-14,-7.1110167464111e-14,1.68670132531904e-14,8.26495660839128e-15,-1.83567010131536e-15,-4.59676718876773e-16,4.03824118297433e-16
"t93",-0.14681536221134,-0.0246612151978648,0.0031844915201321,0.0848408527757437,-0.00213578131464951,0.000701869671964207,-0.260448624460266,0.0171780553462649,-0.0340911760138543,0.0198964780531935,-0.0293655382828042,-5.7296022129125e-05,4.76256417649053e-05,0.000226630058670864,-6.41982300473164e-05,1.90038261370946e-05,-0.00023080023335397,0.0242452025127012,-1.08077614350377e-06,-0.000118050593252283,-0.542052071196445,-0.00124722001218649,-0.00668798164760367,0.0640540831842987,-0.00115138762182136,0.00145321780880446,-4.94885537456013e-06,0.114117992864481,-0.000954952103937721,0.0560005184102744,-0.0118474185673033,0.01307692226995,-0.00106347129637617,0.00622836490106182,-4.82367339890807e-05,0.191262220609338,-0.0456613487247003,0.183059514307613,3.59697015402174e-05,-5.08082350203852e-05,-8.88487862346876e-05,-0.00201362570246637,-0.000971832005286314,0.0434691829277732,5.59466849120597e-05,0.000338201006943696,-0.0192346083225469,-4.32653095751808e-07,-0.000155812543241692,0.00119220266111006,8.31907283451073e-06,4.23377723010428e-05,4.1932742601597e-05,-0.000724173251331216,-1.16715310864869e-05,-4.76344449610702e-06,-7.12703790107706e-06,-0.0017190586468969,3.68540563587215e-05,4.02097297962794e-06,1.12588361603262e-05,-0.00298397747633888,-6.35061093802983e-08,-4.63287060496248e-07,-0.0185221570279668,-0.000231935559367006,5.57060669192527e-09,2.09547913897991e-07,-1.53937181845767e-06,2.44297722559318e-16,1.90862979037021e-16,-2.28564556373266e-17,8.23525745661922e-16,1.6831981783525e-15,-1.01081999758476e-16,-2.75182001113809e-07,7.69539838013543e-16,1.89821541125819e-16,5.37617661060778e-16,1.97159910030628e-16,-2.6244098316349e-15,2.89118382437986e-17,2.0995942368404e-16,-9.44942874822688e-16,-3.51042953222483e-15,-2.61627734401799e-15,-3.9973037016079e-15,-2.2043424437847e-15,-0.707106781186547,1.38764981875538e-12,1.91808146601135e-14,7.11462130914338e-14,-1.6815198576973e-14,-8.99951967660566e-15,1.80410915145305e-15,5.87255783429787e-16,-3.84020255426083e-16
"t102",-0.155124510519012,-0.0270383402234705,0.00364627317337056,0.101218202366236,-0.00265701142199778,0.00093583419165347,-0.376016600808129,0.028505975613402,-0.0641434038700236,0.0395958519690109,-0.0711576353108613,-0.000275120053839678,0.000326243371237413,0.00285605274468163,-0.00151045828472378,-0.000357478948534816,0.00139852184319121,-0.0719385176161812,1.86968536121427e-06,0.000115144369566361,0.371901956507945,0.000408612562262223,0.00180531962505212,-0.0138289416166694,0.000205281909638837,-0.000254800133124198,-2.39458129435057e-07,0.00854223873945154,-0.000114462304184774,0.00875972993224468,-0.00263615362035905,0.00391497315509177,-0.000374337244411318,0.00233419463627104,-3.0587031723973e-05,0.168368373019226,-0.0495998102862931,0.20198115789449,4.87482540643952e-05,-0.000354829065899095,-0.000725803344012761,0.0138169554446541,0.00583171477163287,-0.248093040700014,-0.000191542622090756,-0.00108184180906415,0.0475043259697583,9.99345754801547e-07,0.000321893065447672,-0.00176533990467807,-1.06030483084527e-05,-5.23951684120006e-05,-4.64464398639486e-05,0.00078556298290225,1.08300072107262e-05,4.235762406197e-06,6.0714309919565e-06,0.00147011623407042,-3.30536478631225e-05,-3.65169212578419e-06,-1.03627421399799e-05,0.00291299849996381,7.19610907953268e-08,9.15023676444816e-07,0.149212075633958,-0.000359083143415075,3.59646012276533e-09,4.84481788768539e-08,-2.95211312265872e-07,3.9069694207214e-17,-5.36027135427411e-16,2.59968875340325e-16,7.0544177818474e-16,-1.78699655698776e-15,-3.26971657484579e-16,-2.19647680572154e-10,1.60517462458471e-15,3.07036010223066e-16,1.81212724677622e-17,-3.02670875257347e-16,-3.99704567824536e-16,5.67491342434674e-16,1.08771866515912e-15,-2.28037128406674e-15,-2.99045276505072e-15,-9.40687260728329e-15,-5.10806946909825e-16,7.95055060135481e-15,-8.67465157672523e-15,-7.73103885778186e-15,5.8534219365558e-15,2.01493318309463e-15,-3.34632731952126e-15,0.707106781186548,1.8721225270077e-15,-2.25860137209703e-15,-2.10130280546595e-16
"t103",-0.155124510519012,-0.0270383402234703,0.00364627317337061,0.101218202366236,-0.00265701142199777,0.000935834191653429,-0.376016600808129,0.0285059756134021,-0.0641434038700237,0.0395958519690112,-0.0711576353108618,-0.000275120053839797,0.000326243371237527,0.00285605274468157,-0.0015104582847238,-0.000357478948534895,0.00139852184319115,-0.0719385176161812,1.86968536123472e-06,0.000115144369566615,0.371901956507947,0.000408612562262014,0.00180531962505222,-0.0138289416166693,0.000205281909639259,-0.000254800133125006,-2.39458129648886e-07,0.00854223873945132,-0.000114462304184859,0.0087597299322438,-0.00263615362035903,0.00391497315509137,-0.000374337244411455,0.00233419463627103,-3.05870317245418e-05,0.168368373019227,-0.0495998102862928,0.20198115789449,4.87482540646175e-05,-0.000354829065898376,-0.000725803344011965,0.0138169554446547,0.00583171477163347,-0.248093040700013,-0.000191542622090962,-0.00108184180906484,0.0475043259697568,9.99345754053873e-07,0.000321893065446608,-0.00176533990467832,-1.06030483085081e-05,-5.23951684124768e-05,-4.64464398636448e-05,0.000785562982904935,1.08300072114094e-05,4.23576240596475e-06,6.07143099172638e-06,0.00147011623406914,-3.3053647862834e-05,-3.65169212603026e-06,-1.03627421413873e-05,0.00291299849996309,7.19610913463564e-08,9.15023676456557e-07,0.14921207563396,-0.000359083143415733,3.59646096254721e-09,4.8448178776583e-08,-2.9521131379457e-07,-2.71982751989256e-17,6.94085206067833e-16,-3.89606655627021e-16,-8.80438380809087e-16,2.1079772970151e-15,2.53202080038781e-16,-2.19648466566002e-10,-1.91432078612043e-15,4.50800745827133e-18,-2.76181151404445e-16,2.54235614895979e-16,6.67885813279844e-16,-5.18519286142118e-16,-9.76612666082185e-16,2.09742264908062e-15,3.17929108191352e-15,9.35848945528056e-15,5.00212968837249e-16,-8.31110023729287e-15,8.60296984066447e-15,8.41802189306583e-15,-5.99446243099806e-15,-2.07376113809081e-15,3.41982952904359e-15,-0.707106781186547,-1.93515817684918e-15,2.39087371674774e-15,2.85462286342691e-16
"t47",-0.152840612625794,-0.0263882226036467,0.00352070153561082,0.0967880552123997,-0.00251674531510356,0.000873388281174528,-0.345443906170916,0.0255515236375276,-0.0563945433129052,0.0345403153509497,-0.0605896178450393,-0.000221908318929572,0.000258907635069488,0.00222790303502098,-0.00116717911109438,-0.000269613266743798,0.00102576319197074,-0.0506041856026006,1.24328704676018e-06,6.9507572404253e-05,0.2063912557828,0.000178240363598088,0.000731516537492855,-0.00513573965373022,7.07552498187431e-05,-8.7257456496085e-05,-2.76666068900808e-08,0.00069348205382648,-2.32669063277659e-06,-0.000267441716777809,0.000323987830505892,-0.000885554061403587,0.000109320684808405,-0.000744760264730625,1.72450703557432e-05,-0.120141397304914,0.0397404787671028,-0.163081939511064,-4.31067709818186e-05,0.000433530827124765,0.000896957902130556,-0.0198100992410952,-0.00845990084345156,0.361638302999342,0.000298318438203017,0.00170483094432988,-0.0789632712422113,-1.68863550395315e-06,-0.000560601657696056,0.0034580575983519,2.23200843035212e-05,0.000112089419096194,0.000106430052367647,-0.00182667211956264,-2.90024040899805e-05,-1.2036397258405e-05,-1.96550171015348e-05,-0.00497956313552638,0.000122887052502883,1.37633176072936e-05,3.95666449198952e-05,-0.0116255188123233,-3.08130545803473e-07,-4.40053078026396e-06,-0.776436719256618,0.00208939887525189,-2.29718746080772e-08,-3.72520024373954e-07,2.36998008082854e-06,-4.47773323579599e-16,-6.15966185216843e-16,4.46101917672249e-16,1.08400217428743e-15,3.91325506373883e-16,3.53488673302347e-16,-2.31051532588653e-08,5.16869672710633e-16,-2.43211273836152e-16,-6.08237337431038e-16,1.763074913237e-16,-4.19129456797076e-16,-1.88698930423956e-16,-4.0260677587175e-16,3.74982077856251e-16,-4.8510567331925e-16,-2.1828492510663e-16,1.23867291577294e-16,2.77785921122935e-16,7.50185316726615e-16,-6.15665439372425e-16,5.15348582867285e-17,-2.95630846602868e-17,-4.87509664848883e-17,-9.3247708923366e-16,-1.44656029298311e-16,-1.21830678916104e-16,-2.4292180001657e-16
"t51",-0.149828497947624,-0.0255333511010583,0.00335612735103619,0.0909992027855084,-0.00233399002388884,0.000792390756818145,-0.305975281359395,0.0217650493876009,-0.0465192286277702,0.0281120022479571,-0.0472443444128092,-0.000155715608271534,0.000175512687894796,0.00145351694495234,-0.000745040795171934,-0.000162247195987084,0.000573529665709155,-0.0249908517054116,5.01402936909494e-07,1.66371493422392e-05,0.0180500221273131,-7.23329504071888e-05,-0.00042233251953263,0.00408074786493875,-7.03441652711528e-05,8.83131905637344e-05,1.73807123243594e-07,-0.00665771951202612,9.97818847027823e-05,-0.0082908075303192,0.00283767167651131,-0.00474883585146381,0.000484829782722184,-0.00309934843207686,4.87581241630006e-05,-0.291432536341267,0.0893677299075324,-0.364882895433275,-9.07975636783078e-05,0.000725979844943515,0.0014889065092254,-0.0291332181376298,-0.0123150598709209,0.524220076130335,0.000407232490006103,0.00230159883105579,-0.101182516651442,-2.12792108198133e-06,-0.000684407044727453,0.00368262089230943,2.15704986261439e-05,0.000105805274409713,9.00800480463037e-05,-0.0015072580484417,-1.77400232573279e-05,-6.21614237198424e-06,-5.75922607729034e-06,-0.0010470329502559,3.72702723821022e-06,3.72860431004369e-08,-9.39134041011064e-07,0.00135237728999926,8.35794693170685e-08,2.41966887102124e-06,0.588095107735678,-0.00225916313159648,3.17424661226712e-08,7.74194384467514e-07,-5.36136031344257e-06,6.62398380333161e-16,2.68635318677725e-16,-3.61854173088322e-16,-7.89298792251437e-16,-2.27954022858649e-15,-2.47734106596445e-16,-5.00176755973865e-07,1.1061644537346e-16,5.77125839825881e-17,8.86835722947342e-16,-6.46263122708818e-18,5.3611196539185e-16,6.20732223991858e-17,2.3856038792751e-16,-3.78474930099568e-16,2.65197804095667e-16,7.13032803999801e-17,-1.249285657559e-16,1.69611842488673e-16,-1.08474144349292e-15,-8.19844962997591e-17,8.17074112478021e-17,1.31748916106203e-16,2.1151265680423e-17,1.326853509867e-15,7.26330765320918e-17,1.13862660069101e-16,1.45629151174219e-16
"t75",-0.158105219518465,-0.0285031140244103,0.00415508859620589,0.133625301911725,-0.00488656084826117,-0.00352648149762027,0.0946789134067644,0.000629258889290496,0.00540050433127726,-0.00826977583924365,0.303429105595948,-0.000189439938237678,0.000191446667996948,0.00146224249395819,-0.000722983664213006,-0.000145587976559644,0.000475540063513685,-0.0183576629823682,2.97804478495291e-07,4.00652620621278e-06,-0.00586075680966336,0.000447556837500448,0.00638129120786799,-0.553106851735868,-0.0037739131860167,0.00437193726029306,-5.84576589383892e-06,0.170875314311317,-0.0299332126705175,-0.046036655413094,0.000466524903648126,0.00134198967004998,-0.000138881429665228,0.000848189702072942,-5.68557365280401e-06,0.0141950689915953,-0.00179916900558487,0.00670764124682673,-6.35059840134791e-08,2.833428595343e-05,5.85735666119429e-05,-0.00100523375673546,-0.000409632645215514,0.0171445903829598,8.53912581592875e-06,4.02407060842514e-05,0.0270492399626721,-1.04442623330028e-07,-1.17094248321036e-05,-0.000125533424847538,-1.59960275723508e-06,-8.97501084715265e-06,-1.25553857417198e-05,0.000231102172028149,6.33388135018024e-06,3.18431292646798e-06,9.12682628809491e-06,0.014642626676481,-3.22628428586514e-05,-3.84272771621307e-06,-1.15483673495946e-05,0.00372389112685124,1.02432456660906e-07,1.07856981529673e-06,0.000459333573272172,0.0696296488659473,1.77802768717032e-08,-5.82669228651513e-07,5.9236436291414e-05,2.71532141699219e-15,-3.33120202442479e-15,1.79211188230875e-15,-2.0194917486789e-14,-0.707106781186547,7.61707795541846e-15,-6.43343369907262e-07,1.88252767933604e-15,8.62490093957446e-17,6.27071964072974e-16,-2.88107142249101e-16,-5.24869428996e-16,-6.70589562341075e-16,9.79118511129493e-16,-1.83251649927827e-15,-2.43743998338344e-15,3.07714172813539e-15,-3.43784694168524e-16,-1.45893576621141e-15,-1.92540376331443e-15,1.14173737345788e-15,1.20590380672533e-15,3.81109963780975e-16,3.33465654350978e-16,-2.18462524285233e-15,-1.46096887210806e-16,2.33731375593304e-16,2.12894805586105e-17
"t49",-0.158105219518465,-0.0285031140244103,0.00415508859620603,0.133625301911725,-0.00488656084826111,-0.00352648149762033,0.0946789134067646,0.00062925888929044,0.00540050433127726,-0.00826977583924367,0.303429105595948,-0.00018943993823781,0.000191446667996918,0.00146224249395808,-0.000722983664212917,-0.000145587976559653,0.00047554006351368,-0.018357662982368,2.97804478279053e-07,4.0065262064777e-06,-0.00586075680966282,0.000447556837500183,0.00638129120786797,-0.553106851735866,-0.00377391318601681,0.0043719372602927,-5.8457658937363e-06,0.170875314311317,-0.0299332126705173,-0.0460366554130933,0.00046652490364843,0.00134198967005022,-0.000138881429665079,0.000848189702073563,-5.6855736529481e-06,0.0141950689915954,-0.00179916900558384,0.00670764124682641,-6.35059840986167e-08,2.83342859533184e-05,5.85735666122659e-05,-0.00100523375673482,-0.000409632645216021,0.0171445903829621,8.53912581458272e-06,4.02407060843863e-05,0.0270492399626702,-1.04442623495889e-07,-1.17094248327228e-05,-0.000125533424847024,-1.59960275794726e-06,-8.97501084719471e-06,-1.25553857429178e-05,0.000231102172028669,6.33388135108239e-06,3.18431292561857e-06,9.12682628950785e-06,0.0146426266764836,-3.22628428587311e-05,-3.84272771786333e-06,-1.15483673483908e-05,0.00372389112684934,1.02432461772067e-07,1.07856981534607e-06,0.00045933357327449,0.0696296488659508,1.77802785872202e-08,-5.82669228218735e-07,5.92364362963735e-05,-2.51575643200005e-15,3.49086846430413e-15,-1.85308995649118e-15,2.03352549206287e-14,0.707106781186548,-7.66674740698157e-15,-6.43343369116388e-07,-2.03031171817176e-15,-2.07123659577476e-16,-3.57392539561852e-16,3.19213364259022e-16,6.24751782987076e-16,6.69834267991241e-16,-1.06793993464807e-15,1.80916545052446e-15,2.44872319069554e-15,-2.49841845792813e-15,3.97265479956377e-16,2.01541520197624e-15,1.24789937424789e-15,-9.69637134900638e-16,-1.15020444258285e-15,-4.47978215718061e-16,-2.95151975964266e-16,1.72638787901428e-15,1.73109173883728e-16,-2.05537143363271e-16,1.22282382126701e-16
"t81",-0.159721096647857,-0.0289940168030589,0.00426129849198531,0.138109700143332,-0.00509078157126486,-0.00372241288550219,0.101446587698585,0.000691786438874312,0.00607117998902995,-0.00938691019423388,0.355628375093283,-0.000242096888653524,0.000252280850482457,0.0019962417213585,-0.00100772848273508,-0.000215123891481647,0.000759249886086009,-0.0338150022919733,7.18630946419727e-07,2.79003250186378e-05,0.0385521514518776,-0.000316153121177603,-0.00324479991488482,0.20110975291672,0.00106072235777665,-0.00120288195236851,3.78710278292412e-08,0.00112339426308988,-0.000658309663482673,-0.00133807954251935,1.49784835224015e-05,3.32345103091561e-05,-2.18675355301767e-06,9.53738032514681e-06,2.6001199491266e-07,-0.00130153770140512,0.000218957553489649,-0.000831065038179063,9.65610518091311e-09,-8.30215426166069e-06,-1.7539638789535e-05,0.000397440296813736,0.000165493325391763,-0.00698808277684737,-3.9288883724219e-06,-1.89155407611446e-05,-0.0140092128418789,5.5726075299925e-08,6.59907145014304e-06,8.75371973772434e-05,1.27169853211615e-06,7.34914341122726e-06,1.16689248034613e-05,-0.000220717234071799,-7.90776550552781e-06,-4.46687545905672e-06,-1.67442607966811e-05,-0.0296397064715605,8.08682640812766e-05,9.95457600242731e-06,3.08767738092967e-05,-0.0111295483989621,-3.70200443526495e-07,-5.60203233538674e-06,-0.00322495993110339,-0.873535883805958,-5.25476445332754e-07,-1.35760696370777e-05,0.0010142860597078,-1.25582583468287e-15,2.21247156062991e-15,3.82585356111184e-16,-6.59157181660644e-16,1.89460081667761e-15,-9.93956955401882e-18,-1.63377872040792e-06,6.43703643514605e-18,1.42501687140502e-16,-2.22539247057204e-16,-1.26730369295962e-17,-3.04148787467157e-16,-4.01210513597342e-17,2.67767026147838e-16,5.57770273070622e-16,5.23256080688249e-16,3.28871260827261e-17,4.65169615600247e-16,8.21651054495634e-16,6.69302453487183e-16,-4.75584758450639e-16,-1.39375012083126e-17,-4.84776635864313e-17,-2.38926751345924e-16,4.2466309594976e-16,-5.02833821845985e-16,1.92530910685194e-16,-2.8959684446485e-17
