,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
t1,2.9310308,5.5064235,3.0432503,6.0345173,3.5507295,2.5767922,4.556774,7.912625,6.268837,4.3677526,4.1497307,6.9742613,5.656785,3.5536294,5.0906725,1.9143169,5.3784237,2.9711635,3.8703687
t2,2.8042495,5.433085,2.9968965,6.140442,3.5051222,2.5292451,4.514397,7.9195657,6.300037,4.3356857,4.1281285,7.052626,5.5562735,3.5285838,5.1684284,1.8827788,5.4246545,2.9131994,3.8911386
t3,3.0931633,5.5005536,3.0487225,5.9695225,3.5788689,2.6148558,4.560879,7.9175153,6.242343,4.3721266,4.1519885,6.9030104,5.7488494,3.5696263,5.025254,1.9228085,5.383809,3.0145152,3.8415525
t4,2.7927785,5.394271,2.9775105,6.1633887,3.4978976,2.5231156,4.5017333,7.921074,6.3057246,4.327872,4.1218934,7.060255,5.5408225,3.5238905,5.178231,1.8749858,5.4430223,2.9033968,3.8940275
t5,2.8343532,5.2830596,2.8949218,6.1667156,3.4857714,2.4817107,4.463469,7.944415,6.325961,4.280315,4.0747185,7.09846,5.582796,3.5097194,5.17223,1.8585377,5.505354,2.8987684,3.883127
t6,2.8922546,5.193793,2.814051,6.143336,3.5188923,2.4826093,4.465366,7.93673,6.327106,4.286052,4.0704117,7.0666647,5.620731,3.5189028,5.120042,1.8681237,5.561508,2.9192095,3.88199
t7,2.878227,5.1806083,2.8098805,6.1505466,3.514551,2.4941108,4.475326,7.9234076,6.314271,4.297897,4.0844536,7.0693526,5.6009727,3.5314214,5.1344934,1.8788226,5.561729,2.9266748,3.8890123
t8,2.3727973,6.0401134,3.4288504,6.266849,3.5114143,2.633913,4.6281495,7.8549013,6.2991667,4.5610886,4.2637386,7.0752134,5.2780547,3.6541152,5.2405105,2.0127254,5.133156,3.0013745,4.0660677
t9,11.830317,9.330871,5.002245,2.7037873,4.5580297,4.228299,4.881733,7.635406,4.7727785,5.273923,4.242317,5.3769617,8.430313,4.455885,2.7007878,2.5308547,3.5545387,5.6373777,3.1868265
t10,11.910054,9.405219,4.908998,2.7695065,4.5454774,4.2738876,4.8634515,7.7250237,4.6901293,5.352934,4.1750817,5.4786854,8.406554,4.48945,2.788239,2.5962753,3.4554906,5.7194405,3.264452
t11,2.8668447,5.3081203,2.902592,6.1924725,3.4877489,2.4472022,4.424285,7.97988,6.3647337,4.2435627,4.0451374,7.066979,5.587336,3.4626257,5.1457286,1.8106033,5.5413103,2.8537853,3.8638532
t12,11.854,9.355597,4.9805965,2.7305136,4.5305285,4.254787,4.8569093,7.6313963,4.7438545,5.2979465,4.220269,5.401049,8.426643,4.458978,2.712933,2.5613692,3.5328434,5.6561937,3.2133765
t13,2.2694945,6.1600976,3.5468354,6.3384924,3.4560776,2.698585,4.6063538,7.8231606,6.298227,4.6350446,4.280114,7.0463324,5.168628,3.6904356,5.2951984,2.0209577,5.098087,3.047115,4.1194754
t14,2.3952043,6.116265,3.3478155,5.9378843,3.6017804,2.6291478,4.7668896,7.8067784,6.251826,4.628807,4.275906,7.0729165,5.4683285,3.6981015,5.1196737,2.1235414,5.069658,3.1210604,4.0451646
t15,2.447089,5.928872,3.4170063,6.1155477,3.4549625,2.701262,4.5666533,7.808773,6.208688,4.570684,4.2501783,6.981506,5.293058,3.6936786,5.2885447,1.9785386,5.2267385,3.0535164,3.9986527
t16,2.2772553,6.405363,3.372702,5.6697006,3.6817875,2.6399965,4.9319987,7.754616,6.239913,4.7438107,4.3168483,7.074769,5.547062,3.7242622,5.033085,2.2309725,4.9366465,3.2317944,4.079224
t17,2.3313375,6.203191,3.5120106,6.0035634,3.523565,2.6951103,4.707897,7.825521,6.186617,4.6037784,4.375676,6.989246,5.2800565,3.6673474,5.2913165,2.0149014,5.07224,3.039948,4.006343
t18,2.4670932,5.9060984,3.3011131,6.1377325,3.5611136,2.5723364,4.6572423,7.8704786,6.3141413,4.519264,4.218113,7.1218457,5.4112954,3.6457844,5.1650486,2.0269566,5.1656404,3.0032609,4.0422544
t19,1.968845,6.6349835,3.740789,6.230135,3.4035158,2.7908175,4.733592,7.756447,6.3180475,4.843005,4.336857,7.0334964,5.067008,3.7383127,5.299892,2.113797,4.8939996,3.2021737,4.2373695
t20,2.9785185,3.1745799,1.142652,6.7827954,3.6239915,1.3792511,3.6614585,8.109328,7.0668077,3.9126277,3.3164809,7.8892026,6.2736697,3.3185043,4.5747967,1.5473965,7.1188617,2.7406347,3.9241872
t21,11.975891,9.389556,5.096674,2.5921726,4.584832,4.2586246,4.928323,7.642975,4.72036,5.3331275,4.33827,5.3030257,8.341651,4.510801,2.750313,2.4965224,3.5857322,5.73387,3.0776734
t22,11.866283,9.361199,4.978184,2.7293425,4.507964,4.2713914,4.861826,7.6707053,4.7210927,5.313798,4.2352242,5.410692,8.398738,4.477268,2.736497,2.5659585,3.5316503,5.6731076,3.2216249
t23,2.1061146,6.4125495,3.6946337,6.330473,3.4336212,2.755607,4.665559,7.7888775,6.2914295,4.7378187,4.341321,7.0279036,5.0661244,3.7212546,5.3370414,2.0564585,4.9848213,3.1088853,4.1813884
t24,2.3075595,6.391383,3.5140157,5.897555,3.5914068,2.68392,4.8112645,7.782037,6.189945,4.672533,4.3925757,6.9674363,5.321906,3.6966062,5.238711,2.0754776,4.984811,3.0951424,4.039959
t25,2.2727666,6.435893,3.5312688,5.841718,3.5976639,2.693147,4.8392544,7.8105254,6.152371,4.648816,4.455055,6.982358,5.333705,3.6611376,5.2433543,2.052526,4.9697943,3.075796,3.987333
t26,11.821997,9.326759,5.0052323,2.7083893,4.554381,4.2245154,4.869917,7.601486,4.783586,5.264686,4.2393017,5.369105,8.447436,4.439783,2.6883059,2.5420823,3.556227,5.6257396,3.188394
t27,11.919201,9.370806,5.0955205,2.603983,4.585138,4.255554,4.917768,7.627105,4.7319384,5.332767,4.3385906,5.303679,8.347099,4.4995914,2.752844,2.4966683,3.5948086,5.703569,3.0894287
t28,2.4308276,6.1826844,3.372093,5.85488,3.6858792,2.5670934,4.8530574,7.851255,6.173166,4.5555124,4.377487,7.062313,5.4727497,3.655053,5.129018,2.0828125,4.994663,3.0190194,3.9379702
t29,1.9409586,6.5848246,3.8649578,6.458141,3.3714414,2.8107634,4.6644,7.761185,6.295969,4.8268814,4.404525,7.00623,4.9030657,3.75935,5.430031,2.0564556,4.9237695,3.1330538,4.264517
t30,1.9355098,6.6113954,3.8258913,6.4404716,3.3583975,2.8071184,4.6609387,7.7675686,6.320748,4.831463,4.366465,7.0255413,4.9320827,3.7485998,5.3944564,2.0713327,4.9110136,3.1550605,4.2667847
t31,2.0266228,6.490704,3.7706883,6.434471,3.384899,2.781133,4.6405044,7.785541,6.30636,4.773088,4.358449,7.0276093,4.9758053,3.733111,5.3888016,2.0458577,4.968628,3.1112854,4.2261477
t32,12.439153,9.526778,4.7003813,2.668525,4.552078,4.3887486,4.8810964,8.011998,4.531466,5.5210485,4.2551637,5.5704474,8.293626,4.5262055,3.0745583,2.678107,3.2350411,6.044131,3.3045084
