,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t1,0.2530027,0.29270613,-0.0522258,-0.0006378054,-0.2207456,0.11459922,-1.5776528,2.0198727,-0.40153444,4.4644303,0.57084817,-0.0025915275,-1.8239447,-0.035480753,-0.5587076,3.2589064,-0.014781546,2.2250931,0.6117841,9.218408,-1.8803191,0.6158294,-0.6218587,-0.035711527,0.8552478,0.8909063,-0.17560436
t2,0.18939003,0.8029399,0.91578287,-0.19306636,0.5419443,0.08071216,-1.6862284,-0.6813953,-0.44868118,4.0976267,0.036463287,-0.31009838,-2.0276349,-0.009180795,-0.61365205,-0.017000783,0.20161176,0.060529623,1.0576488,5.854906,-2.1664324,0.47266185,-0.78280544,0.4714335,2.6228948,2.0617745,-0.5309337
t3,0.1932357,0.8097249,0.8771797,-0.19244535,0.52304536,0.08331942,-1.6975733,-0.680784,-0.45612925,4.117156,0.03711946,-0.30575332,-2.0423443,-0.009483327,-0.61661375,-0.009819924,0.14592482,0.05778203,1.0894141,5.942385,-2.1803625,0.47912475,-0.7865713,0.46344817,2.6456,2.042353,-0.53298575
t4,0.17762533,0.83088094,1.1014742,-0.18852021,1.0538273,0.10844349,-1.6690382,-0.7694456,-0.42643476,4.1726537,0.01735091,-0.38192305,-2.0186813,-0.006834089,-0.61021894,-0.120525785,0.7313195,0.1191053,0.9139745,5.00951,-2.0815034,0.45892462,-0.75469965,0.8377036,2.6410801,2.0227726,-0.5538667
t5,0.22903076,0.46989083,-0.023582239,-0.10571378,-0.12587473,0.059433967,-1.624975,-0.03428493,-0.43375537,3.9540422,5.6800458e-05,-0.073796935,-1.9041519,-0.025100736,-0.6108222,1.715384,-0.0076357345,1.2113016,0.9292684,8.293074,-2.0592217,0.5704548,-0.708757,-0.029978728,1.6585933,1.2895488,-0.31702837
t6,0.25198078,0.3602882,-0.04117391,-0.051148437,-0.18072371,0.07199889,-1.6175748,1.0481222,-0.43574008,4.276583,0.30134767,-0.01677709,-1.8923424,-0.031077301,-0.64188695,2.5849535,-0.011045275,1.8406069,0.7654473,8.979006,-1.9980153,0.6207678,-0.6735928,-0.037996493,1.0602868,0.9099723,-0.22769873
t7,0.18130974,0.64126635,0.364837,-0.16058439,-0.016929174,0.04234584,-1.6319914,-0.47163188,-0.42465174,4.0421534,0.034976207,-0.18793549,-1.8360409,-0.013066202,-0.5576437,0.18354379,-0.0009082238,0.034804296,1.0143433,6.220486,-1.9465367,0.4508597,-0.7047076,0.19165485,2.1661377,1.6786332,-0.42039758
t8,0.17850366,0.83775413,1.194487,-0.17584682,1.4186479,0.15894568,-1.7591513,-0.87691677,-0.42043054,4.46134,0.05823872,-0.41749358,-2.0452805,-0.0059952573,-0.6334249,-0.2060733,1.3795948,0.18273428,0.84992224,4.2975473,-1.9780209,0.45165104,-0.7480304,1.1887205,2.5891645,1.9252002,-0.56526536
t9,0.20884115,1.3500116,3.094034,-0.084349036,10.452963,0.9730849,-3.368224,-3.0212493,-0.9384239,5.7304273,2.5430365,-1.2515596,-2.837033,1.0903648,-0.99536806,-1.7966698,7.6023746,1.1246127,0.0395945,-0.30412605,-0.8259393,0.7542413,-0.84042376,6.656505,3.259427,1.0916286,-1.0900424
t10,0.15340717,0.9841808,2.0175369,-0.076736614,6.3136854,0.62978023,-2.329477,-1.9651468,-0.5928486,4.729004,1.485218,-0.8869462,-2.226492,0.3178912,-0.67952764,-1.0898683,5.52255,0.7592322,0.016566625,-0.16581921,-0.9018674,0.48756975,-0.65569186,4.424129,2.2437959,1.490903,-0.7775337
