,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t1,2.0190418,5.457129,1.9619336,4.1260357,6.1650395,7.0707755,5.628842,6.1288137,2.4077792,5.103904,4.438844,6.029536,6.0067368,4.879375,5.648987,6.0098724,6.104204,4.1077733,3.9535635,7.180802,5.202895,5.3679547,4.927765,4.6545196,4.8085003,4.2628126,4.483253
t2,2.0984032,5.461084,2.0356817,4.0348635,6.1391506,7.1007533,5.6291842,6.0727944,2.4083889,5.114045,4.418604,6.0464807,6.1037655,4.8211255,5.6110277,6.0173445,6.1636825,4.1166825,3.9771008,7.170869,5.172382,5.313284,4.8958564,4.6248937,4.803577,4.2616625,4.4960885
t3,2.0900764,5.4027224,2.0830965,4.069151,6.1606913,7.0867634,5.5910387,6.049114,2.4161177,5.0682163,4.410043,6.0401845,6.070456,4.8230796,5.5898423,5.991595,6.2240868,4.1054697,4.027554,7.1209397,5.2212343,5.3171854,4.9420657,4.5710416,4.7393584,4.316094,4.4683166
t4,2.10913,5.462467,2.0610495,4.014901,6.1243653,7.0995736,5.6169977,6.070099,2.4123921,5.111199,4.419513,6.039397,6.126483,4.8192058,5.592843,6.027371,6.1918406,4.1113534,3.9967766,7.1554384,5.1669426,5.310396,4.9026127,4.603598,4.8021884,4.25438,4.507552
t5,2.0734923,5.4073915,2.0172493,4.056445,6.1490874,7.0961685,5.6419063,6.0771694,2.3940585,5.0964813,4.4099607,6.0492377,6.0812955,4.8229504,5.6201344,6.0081105,6.144404,4.1229153,3.9652798,7.1828413,5.18319,5.321298,4.8907504,4.63605,4.7976775,4.2749467,4.486323
t6,2.0800362,5.5226674,1.9685946,4.0471573,6.1142864,7.151841,5.676145,6.120692,2.38398,5.1520767,4.4685817,6.068379,6.096297,4.816367,5.6688104,6.0295987,6.0985527,4.0794106,3.929082,7.2169833,5.120806,5.333471,4.8717923,4.681384,4.8621607,4.202246,4.5076427
t7,2.1025927,5.4717674,2.0658858,4.090294,6.167834,7.0484843,5.5771675,6.0560217,2.4098735,5.046154,4.380447,6.044742,6.046266,4.83539,5.558131,6.002064,6.192571,4.120916,4.0095496,7.128825,5.235433,5.268594,4.9540524,4.5904226,4.742027,4.32682,4.467816
t8,2.158273,5.5429163,2.0131397,4.0154095,6.1590614,7.1153812,5.657266,6.068168,2.4301674,5.1496315,4.422945,6.0939727,6.1276894,4.7905917,5.6262517,6.0083003,6.150934,4.1266155,3.940305,7.2050323,5.163806,5.250994,4.8719125,4.652568,4.812091,4.2543488,4.485009
t9,2.2878633,6.4006696,2.0759432,3.6726072,5.96097,6.98817,5.4361763,6.22854,2.6769211,5.32448,4.5522666,5.8703985,6.470251,4.9957013,5.4440136,6.241708,6.4620547,4.0168605,4.1848354,6.9726863,5.1064076,5.382843,5.064449,4.4029737,4.87674,4.042463,4.764379
t10,2.3128848,6.1923785,2.0747395,3.7654846,5.995194,6.9567337,5.424153,6.214577,2.662581,5.3325205,4.566667,5.8536687,6.3678017,5.005291,5.484698,6.234996,6.3756275,4.0158877,4.186857,6.9616933,5.1105127,5.4023943,5.0754414,4.405688,4.911046,4.0906835,4.691689
