,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
t1,7.9480324,5.299787,5.7856746,3.9322577,5.0773034,4.693594,4.810547,5.4328065,5.1120925,6.0163174,4.8690314,5.012824,5.1272736,5.5500665,5.128501,4.4604816,5.8152003,4.449466,4.79951,4.782597,4.910732,4.5639224,5.213466,4.863495,4.059004,5.4351945,4.629422,4.0738063,4.4728622,4.781479,5.4658146,4.957286
t2,7.9253635,5.3180375,5.793305,3.9477947,5.0530686,4.697738,4.826495,5.422123,5.099936,6.0310397,4.901824,5.009079,5.130332,5.538879,5.1062093,4.4573903,5.8268104,4.4379377,4.795143,4.778148,4.9066334,4.574473,5.2143316,4.8349767,4.0665016,5.4159923,4.631349,4.09933,4.466904,4.7881837,5.4553943,4.956805
t3,7.7963033,5.5610127,5.7200584,3.903558,4.9982853,4.694694,4.8048983,5.487414,5.0389347,5.9864516,4.9959874,4.919008,5.1657925,5.6032968,5.096171,4.478856,5.924084,4.451298,4.8146205,4.6924624,4.8373165,4.5641656,5.2219114,4.731808,3.9798436,5.3997674,4.6338625,4.1029677,4.3648267,4.762778,5.405543,4.931651
t4,7.86955,5.526554,5.7927814,3.8440511,4.9619317,4.7015834,4.70436,5.527652,5.1174335,5.923257,4.959755,4.9172463,5.184647,5.5922704,5.156466,4.4183607,5.9321585,4.5805507,4.938992,4.7403398,4.871779,4.436202,5.1167445,4.7934184,3.8942738,5.481072,4.550409,4.024422,4.425204,4.696507,5.4683003,4.898915
t5,7.8458195,5.4908953,5.756235,3.9173717,5.0112476,4.705254,4.7993865,5.46676,5.0758843,5.998828,4.959305,4.9520793,5.157683,5.579449,5.1043406,4.4631386,5.887566,4.46626,4.8294697,4.734594,4.8681192,4.547786,5.207809,4.7790446,4.0095015,5.4174585,4.619913,4.0947895,4.4160333,4.757583,5.424808,4.9420853
t6,7.9042225,5.3889894,5.7770505,3.9272985,5.039967,4.7039523,4.805529,5.4433002,5.1005564,6.0149226,4.916411,4.9852996,5.1449385,5.562671,5.1116486,4.460997,5.848198,4.4606833,4.81707,4.7650685,4.8916874,4.551927,5.210701,4.8232746,4.0408254,5.4256573,4.62299,4.085677,4.453693,4.764649,5.441002,4.955234
t7,8.249724,4.8786845,5.9530025,3.8997068,5.139666,4.700967,4.693657,5.3937845,5.295875,5.9582186,4.725218,5.0992064,5.11716,5.4845214,5.1908765,4.3588085,5.723503,4.610942,4.933469,4.89254,4.9986405,4.417143,5.0821824,5.0537977,4.0442944,5.5450816,4.5333505,3.9827325,4.6470995,4.7165155,5.5565076,4.918774
t8,8.266006,4.801504,5.9255557,3.9411373,5.129477,4.694329,4.7327404,5.343424,5.262213,5.9173636,4.6894975,5.1440287,5.1319113,5.4894104,5.2085915,4.382896,5.661841,4.571054,4.896795,4.9389825,5.0011363,4.442242,5.09898,5.068939,4.052417,5.527422,4.57798,3.9644227,4.643647,4.7538037,5.585442,4.9331193
t9,8.046816,5.2048197,5.866357,3.9113767,5.0293884,4.7173986,4.7348084,5.4277234,5.1929646,5.9570694,4.85985,5.0221786,5.159292,5.534294,5.149433,4.4015603,5.8079586,4.5637603,4.9155397,4.8341093,4.934397,4.4489202,5.123422,4.905441,4.007094,5.48633,4.5631347,4.0292077,4.539706,4.718629,5.495072,4.931893
t10,8.250306,4.8220167,5.922419,3.9740603,5.100922,4.6928673,4.736137,5.3037586,5.2431607,5.8824787,4.705013,5.1624417,5.1620417,5.4918976,5.1877723,4.3752093,5.6369834,4.5718517,4.91376,4.9490943,4.981197,4.435602,5.0808825,5.0529184,4.0550547,5.5155797,4.595761,3.9843948,4.6301913,4.7608595,5.5682697,4.914542
t11,8.292983,4.681399,5.960469,3.9021134,5.157426,4.7063875,4.700336,5.365373,5.3101497,5.9334054,4.690421,5.1359534,5.0977235,5.4650836,5.1995516,4.3602114,5.672979,4.623391,4.887755,4.9262304,5.027503,4.4007063,5.063555,5.072591,4.0513678,5.5271187,4.5351443,3.9818697,4.654985,4.71465,5.566664,4.9135656
t12,7.9183755,5.3974257,5.805422,3.924371,5.029156,4.7141843,4.7818465,5.458828,5.1295414,6.004275,4.9204497,4.9795475,5.1440687,5.550208,5.1212955,4.4333444,5.859402,4.491842,4.8504167,4.7691655,4.9062815,4.521792,5.1894636,4.8293643,4.0294604,5.4440346,4.5923667,4.08013,4.468322,4.754008,5.4517674,4.9419117
t13,8.324247,4.7016935,5.940972,3.9232774,5.164445,4.6897035,4.726067,5.3580666,5.290168,5.9267645,4.643005,5.157192,5.110025,5.4796147,5.2350655,4.381136,5.6487594,4.5759683,4.8877664,4.954018,5.026473,4.4402747,5.1031055,5.115586,4.055362,5.547501,4.565317,3.934425,4.6748786,4.752964,5.615781,4.943806
t14,8.354496,4.567682,5.947708,3.903061,5.2144194,4.6791563,4.7230105,5.379921,5.313937,5.943959,4.581412,5.177629,5.0773363,5.463578,5.2835803,4.38444,5.638782,4.5780907,4.8476133,4.9841003,5.0692997,4.438161,5.1088943,5.1725917,4.0586658,5.5666656,4.555612,3.8891644,4.707152,4.767876,5.6671762,4.95418
t15,8.302833,4.710548,5.953677,3.9517558,5.135696,4.6922083,4.71102,5.311506,5.2826004,5.8813787,4.6715426,5.177861,5.1455917,5.4752293,5.2078676,4.357768,5.625906,4.609648,4.9201784,4.969807,5.0068336,4.4032745,5.0530014,5.09109,4.0499663,5.532539,4.575918,3.9652526,4.6596894,4.747773,5.5886106,4.900518
t16,8.281965,4.72193,5.9099083,3.947326,5.126473,4.69586,4.7545543,5.335532,5.2503242,5.917881,4.6743126,5.149895,5.1282825,5.4935374,5.2297072,4.4032893,5.653015,4.5514603,4.870014,4.9617524,5.0126762,4.4558744,5.117271,5.0748124,4.0512753,5.518521,4.595775,3.943361,4.6453815,4.7702484,5.6110783,4.953902
t17,8.2331085,4.8792543,5.931475,3.9204795,5.1173058,4.7057443,4.7168694,5.3700695,5.2732825,5.93796,4.7272053,5.1066103,5.127555,5.4962716,5.199016,4.3784666,5.7023435,4.587879,4.919675,4.9082847,4.993648,4.431328,5.099731,5.0411506,4.035867,5.533476,4.5563097,3.97076,4.636841,4.726145,5.5667357,4.9359117
t18,7.951724,5.4077387,5.845073,3.8754125,4.941946,4.7416844,4.7040434,5.4704785,5.170419,5.9323525,4.955719,4.9556336,5.2024794,5.5742817,5.134683,4.4048376,5.885895,4.608299,4.976398,4.8061337,4.891693,4.401906,5.0994716,4.822976,3.9348538,5.482232,4.537704,4.030177,4.502698,4.6657357,5.460536,4.927025
t19,7.719419,5.704181,5.6803336,3.9198372,4.972116,4.7195606,4.838341,5.4364457,5.0011854,5.9509406,5.059639,4.9212813,5.2078085,5.6487956,5.045872,4.5171866,5.9079776,4.433746,4.8175697,4.699075,4.782695,4.578919,5.2345552,4.6689672,3.9793136,5.3612447,4.6739683,4.132502,4.3478565,4.739597,5.3570194,4.9580736
