,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
t1,-0.18630296,2.072711,-0.008644314,2.5256693,5.611679,-0.14788124,5.1051383,-2.1982343,0.40776116,7.267198,9.906404,-0.24043101,0.040609207,0.026943563,1.6577932,-0.19241764,-0.04303515,-0.22203325,-0.28824174,-0.07351873,9.351677,1.5106628,3.7472067,3.5511582,0.38089472,0.016615385,0.496252,7.4359994,3.4614584,0.39191398,2.749966,-0.07092187
t2,-0.19201742,2.603783,-0.007078507,2.6683424,5.587944,-0.15237558,5.6588116,-2.3206022,0.39811206,7.5819993,10.197906,-0.24164316,0.038482238,0.026477862,1.5440271,-0.18333551,-0.038376614,-0.2116059,-0.29797134,-0.08501575,9.369079,1.4314904,3.466627,3.7063289,0.666692,0.016583176,0.5148065,7.3675585,3.6365635,0.38575065,3.2830641,-0.06158669
t3,-0.1541344,1.6571945,-0.008904858,2.038374,4.527791,-0.114089265,4.268782,-1.7064556,0.32285112,5.8189497,8.012225,-0.19944619,0.025674619,0.023607805,1.2161897,-0.15672068,-0.037274502,-0.17734884,-0.19886088,-0.050715595,7.5583086,1.0922146,3.0177364,2.9151902,-0.0004608158,0.012414231,0.3969288,6.2479873,2.8272042,0.31424868,2.1743462,-0.06262982
t4,-0.13319126,0.4590316,-0.012340742,1.5753498,4.2995644,-0.09693174,2.6354125,-1.2981371,0.3252335,4.5347185,6.738926,-0.1846749,0.029281905,0.024480904,1.4254473,-0.17656565,-0.04667866,-0.170944,-0.1554058,-0.0362553,7.1745014,1.2364086,3.565052,2.3247855,-0.02108177,0.011454172,0.33495602,6.079406,2.1748154,0.31874487,0.7160819,-0.084688514
t5,-0.16056897,1.7003468,-0.008944936,2.1612744,4.6886144,-0.12108099,4.4785466,-1.8166516,0.33391094,6.131535,8.39035,-0.20579551,0.024507627,0.024409026,1.3142905,-0.16339634,-0.038043875,-0.18207023,-0.20682116,-0.05858459,7.885163,1.1430044,3.1892292,3.0442567,0.08403273,0.013050059,0.41698295,6.4251223,2.9498744,0.32848677,2.2886484,-0.06676878
t6,-0.16914132,1.7568831,-0.008647468,2.2753682,4.999182,-0.13082008,4.680818,-1.9395545,0.35990688,6.513358,8.925976,-0.22027972,0.03110895,0.025953487,1.4841249,-0.17554875,-0.040003523,-0.20107481,-0.23411046,-0.060719144,8.415651,1.3233514,3.410577,3.2292464,0.17139088,0.014290274,0.44576228,6.802078,3.125227,0.35331076,2.3914409,-0.06846533
t7,-0.18391162,0.15843163,-0.019538859,1.7860231,6.0977983,-0.15913093,2.6787684,-1.8266157,0.49734175,6.005609,9.358487,-0.26852652,0.057515215,0.033548262,2.4757652,-0.25756258,-0.0666748,-0.28558412,-0.28417572,0.10945712,10.299725,2.4547312,5.2331233,3.1040921,-0.019478777,0.018451797,0.46866715,8.262513,2.7351072,0.44494775,0.25613648,-0.107767954
t8,-0.19713198,0.74198884,-0.01788684,2.1681216,6.3961735,-0.16525657,3.6818328,-2.1424758,0.5171144,7.179019,10.2503805,-0.28078166,0.057420436,0.033943143,2.4429986,-0.26000443,-0.06420288,-0.28961208,-0.32772693,-0.03106808,11.00357,2.4178035,5.2977924,3.4503124,-0.0033513731,0.020341428,0.51930416,8.68811,3.224606,0.47109112,1.1149763,-0.10737713
t9,-0.17054288,0.5350088,-0.016786352,1.8109491,5.512357,-0.13658383,3.0500946,-1.7532011,0.44442946,6.020619,8.606033,-0.24093042,0.04365831,0.029844034,2.027153,-0.22663876,-0.05817857,-0.24392259,-0.24822298,-0.023424909,9.417665,1.9734461,4.642899,2.9311056,-0.015269754,0.016649054,0.43737894,7.599042,2.738615,0.40505314,0.78946304,-0.09925237
t10,-0.2016607,0.36395618,-0.021197792,2.078576,6.673725,-0.17751299,3.1264634,-2.0731082,0.5448776,6.7804933,10.417571,-0.29539406,0.060016755,0.036773242,2.6761284,-0.28731006,-0.07130456,-0.30841002,-0.3384782,0.05634683,11.498362,2.7219102,5.723548,3.398197,-0.010242754,0.019798763,0.52409136,8.980283,2.948315,0.4853656,0.5001714,-0.115108244
