,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
t1,5.32704,-0.23414698,-0.19752167,-3.1099072,0.021519048,0.09989178,2.2162995,-0.34873837,3.186675,-2.5581064,-0.6235144,-0.03834712,-0.014733914,-1.5624685,1.7942499,-0.14991508,-0.40606967,-1.4641094,2.4985564,0.019042987,-0.30307412,6.0691586
t2,2.8325946,-0.09428433,-0.14688422,-2.582864,1.1622312,0.43833148,1.6551632,-0.28514904,2.8602927,-1.8044002,-0.39377406,0.52983403,0.10107374,-1.0608436,1.6786629,-0.18244977,-0.3430482,-1.0158952,2.8139973,-0.07364947,0.6600053,5.235574
t3,11.237803,-0.5347819,-0.3577797,-4.8900514,0.21445262,-0.16345166,4.6752076,-0.43614167,3.3177972,-4.8012505,-1.0694543,-0.234071,-0.06446301,-2.344987,1.5832582,-0.0785289,-0.44106686,-2.3772435,1.1062378,0.14907016,-1.4686372,7.6125093
t4,8.342282,-0.30622894,-0.27316174,-4.168724,0.16627909,-0.09413895,3.1860645,-0.4493183,3.404958,-3.7610695,-0.7574153,-0.17230736,-0.035824765,-2.1255767,1.8692955,-0.1313606,-0.38154224,-2.1087556,2.7571945,-0.052636925,-0.8575837,7.2102365
t5,9.992204,-0.40501451,-0.3096493,-4.892168,0.22592536,-0.16934526,3.628627,-0.45079994,3.3811064,-4.314931,-0.87148005,-0.22517174,-0.03164997,-2.2974153,2.2324455,-0.09652213,-0.39495182,-2.4887445,2.9730902,-0.09622689,-1.1057657,7.501629
t6,8.69128,-0.35329536,-0.28041816,-4.553243,0.18400027,-0.1367747,3.166618,-0.43211633,3.4558115,-3.9030306,-0.6833882,-0.19940683,-0.018014355,-2.176853,2.31451,-0.12712443,-0.38111788,-2.2857256,3.3958585,-0.12091869,-0.88920015,7.4167557
t7,10.397583,-0.3147312,-0.27538204,-4.0273514,0.07165345,-0.048999913,2.9107206,-0.35308218,2.404871,-3.5401719,-1.3555168,-0.11756549,-0.030124003,-1.783327,0.8556126,-0.018547885,-0.30274674,-2.1407776,0.29879087,0.75850177,-0.7999776,5.6269317
t8,6.7997804,-0.2491977,-0.24198447,-3.8017251,0.13769042,-0.03707791,2.5165904,-0.44900823,3.487294,-3.2547164,-0.61290073,-0.14534038,-0.030362807,-1.9357005,2.0851388,-0.13929173,-0.41722962,-1.8962278,3.2469642,-0.057365492,-0.5745674,7.194795
t9,13.107321,-0.3912437,-0.3440857,-4.9084444,0.16806339,-0.12389487,3.7042184,-0.38285387,2.5947871,-4.4680943,-1.5344114,-0.19374447,-0.04868436,-2.1556528,1.036677,0.3241637,-0.28443322,-2.6145422,0.10908025,0.9247521,-1.1993852,6.341895
t10,6.162444,-0.2883999,-0.2359443,-3.9259484,0.07548347,-0.07364104,2.3007712,-0.3875568,3.527114,-3.0736005,-0.38705307,-0.15452142,0.21007743,-1.8624651,2.404154,-0.16085461,-0.41808847,-1.8744754,4.2525287,-0.14736952,-0.43964034,7.199236
t11,18.11572,-0.37001163,-0.40305734,-6.1692014,0.48577294,-0.49319032,4.2955656,-0.23181273,1.0909753,-5.7122793,-1.7920479,-0.34877944,-0.11023131,-2.0175538,1.6162977,3.3756073,1.102512,-3.2254858,-0.10579975,0.9736382,-1.8287845,4.386998
t12,18.437864,-0.35923967,-0.39737532,-6.2138267,0.49141634,-0.5276392,4.0946517,-0.19340205,0.7735114,-5.682282,-1.8531362,-0.3349673,-0.10989456,-1.8694714,1.5874596,3.838256,1.5101252,-3.2531593,-0.11926382,0.9845294,-1.7871453,3.8708007
t13,5.753133,-0.20028852,-0.22803642,-3.6594527,0.11629036,-0.00788472,2.129482,-0.4576934,3.5805671,-3.038107,-0.49016494,-0.10733678,-0.031347964,-1.8489386,2.2937295,-0.13869098,-0.44539157,-1.7534808,3.572594,-0.053063426,-0.3890039,7.1719403
t14,5.8738894,-0.20433015,-0.22987317,-3.6873531,0.12187474,-0.011833029,2.1647518,-0.46085125,3.581157,-3.071882,-0.50036603,-0.112196796,-0.031997614,-1.8663656,2.293041,-0.13735484,-0.44474941,-1.7747864,3.5539348,-0.05198964,-0.40732804,7.1974907
t15,13.3393755,-0.19660781,-0.27833873,-4.432413,0.36950475,-0.36594057,2.8848581,-0.17072473,0.6170664,-4.06385,-1.3112468,-0.24697906,-0.083985426,-1.4282618,1.2799811,2.6692753,1.3170961,-2.324789,-0.0844047,0.7832093,-1.1672897,2.8946824
t16,8.369588,0.07453423,-0.13095514,-2.5904355,0.23561482,-0.23475246,1.6396409,-0.1314253,0.27270484,-2.3203342,-0.8701168,-0.12371878,-0.05086945,-0.85610706,1.0153639,1.9665426,1.564432,-1.4323802,-0.052939508,0.2923104,-0.4639662,1.3410091
t17,8.74043,-0.15247491,-0.24086173,-3.4972162,1.1089728,1.3666463,1.7834932,-0.33448982,2.4770222,-2.6034205,-1.4380275,0.51422894,0.1268956,-1.4993227,0.41306314,-0.09475271,-0.33910906,-1.7914184,0.16300434,1.4363844,-0.08228082,5.580171
t18,9.573366,-0.19415997,-0.25698546,-3.8195717,0.8026328,1.0368582,2.1921465,-0.3476798,2.5293326,-2.96878,-1.5384408,0.33601618,-0.0023298792,-1.6004362,0.36456978,-0.08874406,-0.32973254,-1.9754188,0.13323396,1.2484038,-0.28412184,5.7315197
t19,0.32991192,-0.061079144,-0.16140477,-2.8748348,2.651967,1.0176418,0.4723583,-0.22757295,4.2392035,-1.5380436,2.0465605,-0.0016112591,1.7773482,-1.0293044,2.6924906,-0.30904973,-0.38705915,-0.8390338,6.45441,-0.13710591,2.5632305,5.7543616
t20,4.568156,-0.47459847,-0.29018864,-3.6222696,1.4479995,-0.34146193,7.1409583,-0.53320295,6.270355,-3.8535228,-0.7964976,-0.110603034,-0.027154876,-1.394429,3.521892,-0.079465315,-0.5615015,-0.96617043,1.0917724,1.8937151,-0.16997851,6.393882
t21,10.3563,-0.23071833,-0.27470794,-4.0529013,0.49473357,0.8648278,2.4009464,-0.35969806,2.6174457,-3.2297115,-1.6010826,0.13517572,-0.008060127,-1.7206221,0.37276378,-0.070273034,-0.33153027,-2.1209047,0.054263286,1.3247957,-0.41906467,5.8972287
t22,0.09595265,0.12748,-0.14514798,-2.31044,2.5078778,1.718052,0.13086146,-0.25639322,3.3180964,-1.2083663,0.2741386,1.1375324,0.0199625,-0.8826318,2.2696166,-0.23859848,-0.40598872,-0.5843192,3.4174232,-0.013545954,2.43991,5.5762305
