"accepted_species","traits"
"t64",1
"t72",1
"t83",1
"t97",0
"t102",1
"t114",1
"t119",1
"t121",0
"t123",1
"t125",0
"t126",1
"t127",1
"t129",1
"t132",1
"t133",1
"t134",1
"t146",1
"t147",1
"t150",0
"t152",0
"t157",1
"t160",0
"t161",0
"t164",1
"t165",0
"t167",0
"t168",1
"t169",1
"t173",0
"t174",0
"t175",1
"t176",1
"t179",1
"t180",1
"t181",1
"t187",1
"t188",1
"t189",1
"t191",0
"t193",0
"t194",0
"t195",1
"t196",1
"t197",1
"t198",1
"t199",1
"t200",0
"t201",0
"t202",1
"t203",1
"t205",0
"t206",1
"t207",1
"t208",1
"t209",1
"t210",1
"t211",1
"t212",1
"t213",1
"t214",0
"t215",0
"t216",1
"t217",1
"t218",0
"t219",0
"t222",0
"t223",1
"t224",0
"t225",0
"t226",0
"t227",0
"t228",0
"t229",0
"t231",1
"t232",0
"t234",0
"t236",1
"t237",1
"t238",1
"t239",1
"t240",0
"t241",0
"t242",0
"t243",0
"t244",0
"t245",0
"t246",1
"t247",1
"t248",0
"t249",0
"t250",1
"t251",1
"t252",1
"t253",1
"t254",0
"t255",0
"t256",1
"t257",1
"t258",0
"t259",0
