"accepted_species","traits"
"t30",0
"t102",0
"t108",1
"t119",0
"t120",0
"t123",1
"t129",1
"t131",0
"t138",1
"t141",0
"t145",1
"t155",1
"t157",0
"t158",0
"t159",0
"t161",0
"t167",1
"t168",1
"t169",0
"t171",0
"t172",1
"t173",1
"t177",0
"t180",1
"t181",1
"t182",1
"t184",1
"t185",0
"t187",0
"t188",0
"t190",0
"t191",1
"t192",1
"t194",0
"t196",1
"t197",0
"t198",1
"t199",0
"t203",0
"t204",1
"t205",0
"t206",1
"t207",0
"t208",1
"t209",1
"t211",1
"t212",0
"t213",0
"t215",0
"t216",1
"t218",1
"t220",1
"t221",0
"t223",1
"t224",0
"t227",1
"t228",1
"t229",1
"t232",1
"t233",0
"t234",0
"t235",1
"t236",1
"t238",0
"t239",1
"t240",1
"t241",1
"t242",1
"t243",1
"t244",1
"t245",1
"t246",1
"t247",0
"t248",1
"t250",1
"t251",0
"t252",0
"t253",0
"t254",0
"t255",1
"t256",1
"t257",1
"t258",1
"t259",1
"t260",1
"t261",1
"t262",1
"t263",1
"t264",1
"t265",1
"t266",1
"t267",1
"t268",1
"t269",1
"t270",1
"t271",1
"t272",1
"t273",1
"t274",1
"t275",1
