,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
t2,12.508072,4.897136,2.2122438,4.1062922,5.3370523,4.733682,3.7447886,5.1345143,5.3516836,4.9581723,4.7381134,5.3083234,4.7856817,5.1684804,5.9817076,5.620957,5.299763,4.1761303,5.5696855,5.534857,6.1451616,4.192505,4.961054,4.0029926,6.284757,5.315376,5.3064704,5.7418175,5.0702944,5.0866833,5.548818,3.882807,4.878151,4.1767354,4.2033277,5.7809005,4.3165927,5.171564,5.509227,4.3254223,3.4444172,5.3441715,6.167259
t7,12.530099,4.872888,2.2825997,4.0835347,5.313534,4.7449183,3.6973088,5.1718917,5.391329,4.90628,4.716526,5.2570853,4.8440056,5.1510816,5.9898458,5.5721836,5.305735,4.1624494,5.570513,5.5536923,6.175927,4.2172594,4.916368,4.0269885,6.268162,5.3005967,5.348384,5.7299643,5.0175614,5.1038413,5.60349,3.9324043,4.868097,4.168418,4.1754313,5.7272587,4.2895756,5.20815,5.4985795,4.375527,3.4495442,5.39359,6.1145887
t8,12.504335,4.8736467,2.265047,4.0870275,5.33622,4.744664,3.7293508,5.148821,5.3696065,4.872483,4.7284417,5.2904143,4.858326,5.1791453,5.946626,5.607986,5.3162847,4.1337733,5.586388,5.5745654,6.137086,4.211967,4.945909,4.029228,6.288307,5.29696,5.356861,5.6952076,5.019016,5.1019983,5.570176,3.9687386,4.8667126,4.1921372,4.1519866,5.7115016,4.31195,5.2184057,5.5182014,4.3488245,3.4504645,5.361675,6.148405
t1,12.4719,4.93066,2.1443136,4.138368,5.366138,4.748712,3.8047936,5.0850325,5.311082,5.008718,4.7671375,5.3705764,4.726937,5.1971145,5.9897637,5.680999,5.2815375,4.1672506,5.5385103,5.536695,6.140748,4.146394,5.0153255,3.9679165,6.308286,5.354428,5.258191,5.723401,5.125953,5.0569105,5.4850326,3.8334553,4.9061737,4.211642,4.2357955,5.8354683,4.350357,5.126058,5.5305014,4.26549,3.426821,5.282693,6.233683
t4,12.494048,4.9090033,2.1622765,4.1160717,5.3456945,4.736262,3.7802382,5.1057568,5.329988,4.9908657,4.7455006,5.346999,4.7498207,5.175774,5.97774,5.657424,5.2994266,4.184121,5.5597696,5.529248,6.1321735,4.1706405,4.992795,3.9811232,6.288984,5.331309,5.276442,5.743204,5.103148,5.078985,5.5075183,3.8514411,4.890625,4.186943,4.2253437,5.815883,4.328697,5.1440926,5.5106897,4.2893314,3.4456894,5.3069625,6.207918
t5,12.544139,4.874072,2.2785604,4.082506,5.302215,4.740445,3.685192,5.180056,5.3980203,4.9365416,4.710864,5.245481,4.824384,5.1347456,6.0107746,5.559019,5.3019676,4.186214,5.562606,5.5349164,6.1898384,4.217222,4.905959,4.021413,6.256608,5.3038383,5.336355,5.7569404,5.0255094,5.1056747,5.613599,3.9012609,4.8703666,4.1537433,4.1944766,5.746665,4.2781477,5.1957493,5.4855714,4.383373,3.4514573,5.4050703,6.103156
t6,12.540107,4.852991,2.2648563,4.062404,5.295931,4.752455,3.6899943,5.177547,5.4090934,4.898199,4.696805,5.2514644,4.84998,5.138784,5.9724045,5.5686374,5.3213625,4.158702,5.573339,5.5680485,6.172192,4.2261305,4.9085693,4.0277405,6.252222,5.2941756,5.362355,5.719539,5.0060267,5.122667,5.605087,3.9421713,4.869149,4.1667933,4.165598,5.7208834,4.269999,5.2200003,5.4842606,4.3844495,3.4647427,5.4007854,6.109231
t14,12.430119,4.945608,2.0025458,4.148704,5.3821,4.788421,3.9008412,5.0025935,5.2612886,5.0727034,4.771626,5.473537,4.6583242,5.2137547,5.9793715,5.779513,5.2959366,4.1860633,5.474681,5.5395303,6.121811,4.0604696,5.1005106,3.8942242,6.312516,5.426375,5.1804476,5.703268,5.1882515,5.0488424,5.3746576,3.7727652,4.9594707,4.273496,4.296383,5.905715,4.3745995,5.048757,5.52651,4.17095,3.4464507,5.1824536,6.351463
t40,12.667266,4.765644,2.8190708,3.9934525,5.1962733,4.8329163,3.3461652,5.4427986,5.6407275,4.625097,4.614968,4.858063,5.180285,5.0615,6.1945615,5.1820054,5.2549763,4.0359907,5.563893,5.683395,6.476209,4.4097104,4.5811315,4.2172933,6.2161345,5.1888866,5.608956,5.646627,4.709803,5.141802,6.0661244,4.197215,4.7612057,4.0619645,4.003255,5.4134626,4.175985,5.4550977,5.4926505,4.7457886,3.4024205,5.767163,5.648923
t41,12.675409,4.784864,2.8561785,3.9989564,5.1826415,4.8185587,3.3539672,5.435948,5.6380777,4.6280675,4.623201,4.878482,5.1733294,5.0404625,6.1743193,5.201915,5.2575145,4.0541472,5.5846357,5.6651187,6.455945,4.4195642,4.58347,4.2074704,6.194923,5.1683598,5.5956693,5.6661024,4.6928287,5.1286626,6.0625243,4.1894264,4.7523847,4.0427938,4.0209584,5.4135127,4.1596622,5.454414,5.4725156,4.7273774,3.4131687,5.750649,5.637543
