"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101"
"t1",-0.0664111819701395,0.0257910705419567,-0.0630587556115225,0.0133247837744515,0.00526116832970422,-0.000120859832895731,0.0154933255489866,0.0948369162599565,0.00235716329730907,-0.00808865877544395,-0.0207957381358034,0.00411906592318328,0.00255275372957663,0.0481008494243656,0.0376979551623941,3.05087751753719e-05,-0.0436833670395354,-0.549651985405997,0.246337486908582,-0.00703212516733281,0.0196531361988449,0.00290674601151471,0.428111069955876,0.010847206228591,0.640699082967654,0.0694843923651987,-0.0538165923532243,-0.0162858394372805,-0.00451005197772754,0.00624769694531547,0.00141650714001662,0.00316947431718516,-0.00392936439378332,0.00751364508366056,0.00501586290169673,-0.000491263245126345,0.00229319880531858,0.00360064276370305,0.00373566235618961,-0.000619620397649772,-0.00234598599191327,0.000806862441724378,0.00206905374120004,-0.000844027227243146,0.000310776135279455,-4.98695873685842e-05,0.00144782571957481,-7.10335168936505e-05,0.000387209462966412,2.65843472618811e-05,0.000129899260425231,2.07891098228474e-17,-0.00132249670460872,-0.000179816576601297,0.00885878913464749,-6.50426475044673e-05,0.000817376016691416,2.54438865602983e-17,0.000272917451591993,-2.44138712071908e-07,-1.82879263831745e-17,3.00574060743753e-05,0.000344785983452319,-0.00402492239984562,-2.91171603755094e-16,-1.01396075355738e-16,6.61683813548946e-05,-0.000113682095454682,0.000464351055606653,-2.02984759290659e-17,0.000191823867509832,4.56361354218108e-17,-5.20961899678773e-17,4.92544849464995e-16,-2.18443352011019e-17,5.95624302306439e-17,-3.85983420374129e-08,0.000181382564456632,8.61920096990159e-17,-1.94927631871959e-05,3.09838728783347e-05,7.64112219205286e-18,-8.86165270461156e-17,-0.000135116217761595,-3.74912248501326e-17,-6.32195807189208e-17,-2.86727472495379e-05,1.05938275038782e-16,-1.19701861467744e-16,-1.24811960993073e-17,-2.88975743140442e-16,-8.14568070450488e-16,4.31080283902868e-16,-5.80964481289589e-17,1.64102779710207e-16,4.38416718280259e-16,-1.84162702528433e-15,-1.22457116194516e-15,1.99186782962964e-15,-1.96207598037231e-15,-0.0995037190210007
"t2",-0.08169716379476,0.0337517726229928,-0.141955879176158,-0.00473173317268404,-0.000598336943254025,-1.5586490954031e-05,0.00565616574488925,0.0421515365697187,0.00131410690164523,-0.00525361356364749,-0.0141865998411188,0.00284042692456676,0.00189731140791722,0.0380510574444358,0.0299445064113065,2.43749494579845e-05,-0.0353722199357777,-0.483783874846704,0.228848474553628,-0.00679866830974878,0.021195250380226,0.00405311265428568,-0.409750039431315,-0.00742330313637843,-0.29611676185919,0.0323181880572367,-0.0331702911104887,-0.0103237954992478,-0.0033373927128736,0.641393151258461,0.000529515527524094,0.00186505433550872,-0.00241875745855935,0.0049055169155376,0.00329582347961786,-0.000327257886764621,0.00155589115204684,0.0024462668577006,0.00253849276926168,-0.000424171027379639,-0.00161796546116953,0.000557388507388725,0.00143013744834452,-0.000585626533736692,0.000217094789180518,-3.49516073503847e-05,0.00102108826484224,-5.01052961230307e-05,0.000273469762202563,1.8812914582668e-05,9.21669386356954e-05,8.22334685435665e-17,-0.000941740868831756,-0.00012814525554701,0.00631827742266572,-4.64309377194944e-05,0.000584127261127082,9.19679498373871e-17,0.00019725434320579,-1.76609074846946e-07,-6.81801948373917e-17,2.17604337331097e-05,0.000254544909830522,-0.0119106098194336,-1.67761475127499e-15,-1.04490311421996e-16,4.79826317637777e-05,-8.2983282082728e-05,0.00132680302884832,-9.71894631011912e-17,0.000140677137077866,5.54053678945493e-17,3.55297920073473e-16,5.44697648783326e-16,-4.42588226190717e-16,3.22108839250819e-17,-1.08183371320781e-07,0.000133539606497026,2.45294537870802e-16,-1.43631553037486e-05,2.2866299229355e-05,9.86862633381737e-17,9.54200071845631e-17,-9.9955517384423e-05,1.29047695175264e-16,-3.53656675662029e-17,-2.12387281352814e-05,-6.94482034734031e-17,1.67614347341279e-17,-2.49217613556306e-16,-2.51406737384522e-16,-7.57676539036754e-16,3.90032636294947e-16,7.83753420291089e-17,4.39891990765836e-16,4.78803988381229e-16,-1.62823315656928e-15,-2.09800564132608e-15,1.92257169949775e-15,-1.7447326573481e-15,-0.0995037190209976
"t5",-0.0874473460547774,0.0367613443201245,-0.172382246850396,-0.0119021091673567,-0.00293641826100278,2.67847225356788e-05,0.00162140402237543,0.0202646390572888,0.000865393797064512,-0.0039438532167318,-0.0109778171737119,0.00221072321572333,0.00152246836512077,0.0309343639581978,0.0243573841287495,1.98413911328954e-05,-0.0288354558895288,-0.396203547137484,0.187570576271745,-0.0055731031239974,0.0173665007017857,0.00331479645436496,-0.332447119076831,-0.00601855488942197,-0.239873358963238,0.0251707840462006,-0.0216750812186213,-0.00641022381695194,-0.00134575283642703,-0.765575588302791,0.00110649463087998,0.00187028511339448,-0.00231375221440914,0.00451446832571262,0.00302461069525734,-0.000298778745129735,0.00141303632629134,0.00222095948131297,0.00230458793244172,-0.00038448888235352,-0.00146472809089947,0.000504475061095952,0.00129426783797593,-0.000529723805426045,0.000196234219420838,-3.15852196632535e-05,0.000922461947087426,-4.52654335598009e-05,0.00024704672368379,1.69947176010093e-05,8.32598608952207e-05,-6.0935078739143e-17,-0.000850811044414793,-0.000115776201431959,0.00570865477072357,-4.19532638406482e-05,0.000527836354097163,-9.48884131156424e-17,0.000178564799356046,-1.59915000855571e-07,-4.83902654359526e-17,1.97081923659198e-05,0.000233302106214129,-0.0186542343762163,-2.09053670867174e-15,-1.26293541767595e-16,4.29203866745374e-05,-7.45176690299696e-05,0.0020282669160244,-2.25871334881549e-16,0.000126508398908981,5.24095833667377e-17,-2.14976147951907e-16,4.63419143905253e-16,2.78151434876785e-16,2.96802107117584e-17,-1.6328018588335e-07,0.000120240985260903,-1.27261625805014e-16,-1.29357825286318e-05,2.06024201959322e-05,-2.91248543830263e-17,-3.34316165639647e-16,-9.01119708526048e-05,2.20897879078236e-16,5.39222246593161e-18,-1.91528580413712e-05,-1.11698505357503e-16,-5.23101123999324e-18,2.25193757363497e-16,-1.62756734458244e-16,-5.74836873498203e-16,3.41058117910047e-16,-2.37115134630001e-16,-8.72545347218088e-17,4.61132329671981e-16,-1.75770709436264e-15,-1.57717947749731e-15,2.08248310245638e-15,-1.96348521004233e-15,-0.0995037190209997
"t44",-0.122771549758724,0.0552360295110143,-0.358599143006133,-0.0555862567263201,-0.0171698644551029,0.000284371782727344,-0.0228332227066717,-0.112120554498606,-0.00183362942318266,0.00384793760697155,0.00797275210702677,-0.00150069847396188,-0.00064484651649509,-0.00934089855547847,-0.00721488978064284,-5.72387998319418e-06,0.00784930342581798,0.0818850535364786,-0.034411838760054,0.000955070772109923,-0.0026088154593477,-0.000425824169311352,0.0319274671062089,0.000567924149143829,0.0221756628058365,-0.00141495780408703,0.000700525946359642,0.000195069045102449,3.3434301433977e-05,0.0154605187410702,-1.8477723618985e-05,-6.90617925575483e-07,-1.9684235659559e-05,0.000114985337013647,8.3076091013588e-05,-9.38977749509961e-06,4.92244221596415e-05,7.75613719167093e-05,8.05044745013869e-05,-1.33447673725641e-05,-4.81643579447764e-05,1.62335636788198e-05,4.12932454787903e-05,-1.56808458553198e-05,4.50681616903231e-06,-5.72092918424458e-07,4.16705979543122e-06,-1.83247464924524e-07,9.13408250028262e-08,-1.07514198809451e-07,-1.41177034383688e-06,2.40412765387434e-16,3.06421233176564e-05,4.73865893453687e-06,-0.000265127104423199,2.22165425507846e-06,-3.26059394340294e-05,9.4730297078253e-16,-4.2109478594352e-05,4.150069856581e-08,-2.11349715101593e-15,-5.56708541934033e-06,-0.00035213457887168,0.853242477864042,9.0347114205536e-14,6.85125798954917e-15,5.287676459398e-05,-7.33325193080153e-05,0.298238419456301,-7.61175451605381e-15,7.02449497640042e-05,-1.39951002471424e-15,2.55387715372159e-15,-2.50985297488368e-15,8.18411483015212e-16,-3.0248495701215e-15,-7.25129706772722e-06,6.2787887808947e-05,-8.87787499800605e-17,-6.63180399802118e-06,1.02093223817177e-05,4.98567109287031e-16,7.93099623139175e-16,-4.2591609362115e-05,-9.65779189274339e-16,5.1184780218568e-16,-8.84869174867034e-06,-3.12410042381497e-16,2.01921837931303e-16,-9.44517482445962e-16,7.81240088690298e-16,-3.61074815871308e-16,1.27893224585845e-15,-5.79043030564376e-16,4.26381059942856e-17,-6.61000491846887e-17,-1.6905962672527e-15,2.31329469963648e-16,2.26776970289353e-15,-1.9868568334474e-15,-0.0995037190209954
"t59",-0.125165770914884,0.0564756882038773,-0.370626239655701,-0.0582668414715549,-0.0180363991173178,0.000299838189276222,-0.0242599034314411,-0.11970282706499,-0.00198118157723241,0.00424097872896581,0.00888501540290964,-0.00167718585065089,-0.000737696869881097,-0.0109058378810699,-0.00843411440129876,-6.70267434876506e-06,0.00922688320738121,0.0981158503821173,-0.041592305405256,0.00116020741333288,-0.00320071188517473,-0.000528711036636126,0.0405361323959557,0.000722023239633382,0.0282368018022223,-0.00186863177700464,0.000958142832331839,0.000267701322707309,4.63710584668792e-05,0.0216505503899649,-2.60794278321854e-05,-1.0203763055525e-06,-3.01070215980983e-05,0.000197057044843172,0.000145720924603381,-1.75763880995345e-05,0.000106385676916736,0.000170144700893196,0.000176992780169569,-3.24143460516378e-05,-0.000135243147293047,4.7508976619213e-05,0.000122720353891919,-5.25489472658851e-05,2.10495037079743e-05,-3.51636575868881e-06,0.000110027593406052,-5.40897140829509e-06,2.9922042853009e-05,2.10281387507951e-06,1.05911176744947e-05,7.63457667458185e-17,-0.000112353527556646,-1.54101227744903e-05,0.000766116116319804,-5.68092809585566e-06,7.226706369277e-05,-6.61202437190391e-16,2.73114706714516e-05,-2.46719409890834e-08,-1.17509995910865e-17,3.06441678335017e-06,4.62457310724696e-05,-0.031263842688144,-6.35543953802722e-15,-1.71216036803816e-16,2.77725449616599e-06,9.04041426335326e-06,-0.550598211705051,1.61864861895245e-14,4.33637854451145e-05,5.88373829757418e-15,-5.06870305983062e-15,1.47208110873977e-14,2.22372028851709e-14,-4.08695785258184e-14,-0.704586899537946,3.15115920180992e-05,-2.40817425932698e-14,-3.31902660236222e-06,5.12802127839359e-06,-3.15809292343104e-15,6.34739332141726e-15,-2.18959161003819e-05,-2.71415873237266e-17,-3.68203285696799e-16,-4.62610551458744e-06,-1.93446921497584e-15,8.30341419214425e-17,4.41176351175381e-15,1.32752672715013e-15,1.41708593814975e-15,5.11454310019315e-16,-6.94986276604625e-16,9.92532994340548e-16,-8.44571552603377e-16,-4.13737695524742e-16,2.85698185495923e-15,1.48734734914155e-15,-1.09449722785376e-15,-0.0995037190210245
"t60",-0.12517534372632,0.056480642749822,-0.370674237384387,-0.0582775189722895,-0.0180398497883698,0.000299899748760159,-0.0242655762820301,-0.11973295746171,-0.0019817670337527,0.00424253443479827,0.00888862147591869,-0.00167788325041528,-0.000738062786295889,-0.0109119912364919,-0.00843890775352521,-6.70652173388777e-06,0.00923229586278778,0.0981794932886638,-0.0416204355010045,0.00116101063679707,-0.00320302715919767,-0.000529113012578077,0.0405696935594354,0.000722623923323538,0.0282604248376115,-0.00187039402716906,0.000959140471620288,0.000267982516640836,4.6421098558909e-05,0.0216744747837419,-2.61087896361112e-05,-1.02164547116915e-06,-3.01470347875033e-05,0.000197369761831282,0.000145959287589591,-1.76074241803025e-05,0.000106600857091099,0.000170492996226796,0.000177355730769321,-3.24857860842586e-05,-0.000135567710513368,4.76253964197487e-05,0.000123023317665764,-5.26856617883301e-05,2.11104089560662e-05,-3.5271601535364e-06,0.000110411938644198,-5.42793859835997e-06,3.00300665121568e-05,2.11078629702178e-06,1.06341599516494e-05,-3.66867070738347e-16,-0.000112861536734317,-1.5481543676654e-05,0.00076976262567713,-5.70879384953219e-06,7.2635515384177e-05,-5.17023720929298e-16,2.75427354545085e-05,-2.48911794437067e-08,-2.97624559945696e-16,3.09287046960572e-06,4.74147283368408e-05,-0.0336270038600313,-5.01077684081673e-15,-1.37467503451174e-15,2.70409910921187e-06,8.90890900492997e-06,-0.543907399630733,1.28694523593596e-14,4.29595470152336e-05,2.84241383099469e-15,-3.09154002417183e-15,-7.33960975471741e-15,-3.63412821709704e-15,4.90591339112947e-14,0.709608856991269,3.14519405686784e-05,2.60967538036786e-14,-3.29826317174799e-06,5.09780389970312e-06,2.90337672807544e-15,-8.14085728344588e-15,-2.17825183453218e-05,6.64833129256262e-16,-1.50302514906733e-15,-4.60373103026997e-06,1.54644231116539e-15,-4.20320696243987e-16,-1.14080616263428e-15,-4.40131825614976e-15,-4.91413054650541e-15,7.62748965908105e-16,1.98729355589991e-16,5.71606220974842e-15,2.02921050627668e-15,-4.33233493736908e-15,-9.23140363722979e-15,2.95420301676496e-15,-2.91230626266888e-15,-0.0995037190210045
"t96",-0.126530005377922,0.0571817634771681,-0.377466286787756,-0.0597884289618097,-0.0185281319761626,0.000308610576374939,-0.0250682886774912,-0.123996394448185,-0.00206460717602202,0.00446265445737357,0.00939884322926941,-0.00177655761144129,-0.000789834085541426,-0.0117825666009316,-0.00911706897560391,-7.25084664881238e-06,0.009998069831115,0.107183355679314,-0.0456000869506969,0.00127464438525702,-0.00353056975236271,-0.000585979825318322,0.0453174013825132,0.000807599108474862,0.031602230357312,-0.00211967826984839,0.00110025913549651,0.000307757989296548,5.34992981244611e-05,0.0250585611147074,-3.02619610893992e-05,-1.20115886652782e-06,-3.58064081368032e-05,0.000241595822478415,0.000179669275153208,-2.19964521587648e-05,0.000137028559349948,0.000219743579102604,0.000228678581102555,-4.25872726834185e-05,-0.000181457792915471,6.40857939572215e-05,0.000165858635365526,-7.20147055673521e-05,2.97206977310388e-05,-5.05311751325656e-06,0.000164739842757692,-8.10897764722041e-06,4.52990150087885e-05,3.23762988773913e-06,1.67175304487375e-05,2.57317373871858e-17,-0.000184654574572957,-2.55747023003797e-05,0.00128507355969304,-9.64657663006563e-06,0.000124700673075274,7.48093572284242e-17,6.02078346647648e-05,-5.58563856413056e-08,7.47024086145135e-16,7.11150359275153e-06,0.00021239337567983,-0.366980519874901,-3.61190197698169e-14,-2.13097966045178e-15,-7.59901680422299e-06,-9.57434774848635e-06,0.395002483389866,-1.03364518205168e-14,-1.33966928864398e-05,-3.57119118924659e-15,3.16562350520359e-15,-1.71818317776258e-15,-1.19929706889808e-14,-1.44100650142646e-15,-0.00250709258032725,4.07854074764313e-08,-7.44694505925887e-16,-1.79220808472893e-07,7.31333964773196e-07,-5.71608503753354e-16,9.57536987773359e-16,-5.56980311916869e-06,-1.18494085452813e-15,-3.72485298811724e-17,-1.41208287362796e-06,9.960440142183e-17,-2.06734789859218e-15,-1.03388262448064e-14,-8.56055929132688e-16,6.81391308860828e-15,-1.04182332707245e-15,5.93289973886419e-15,1.14133058581804e-14,-1.0648458057271e-15,5.15618640242318e-14,0.707106781186547,8.53396326549433e-14,-1.24010759770783e-14,-0.0995037190209958
"t97",-0.126530005377921,0.0571817634771684,-0.377466286787756,-0.0597884289618102,-0.0185281319761626,0.000308610576374858,-0.0250682886774915,-0.123996394448185,-0.00206460717602198,0.00446265445737365,0.00939884322926946,-0.00177655761144123,-0.000789834085541671,-0.0117825666009317,-0.00911706897560425,-7.25084664840711e-06,0.00999806983111508,0.107183355679315,-0.0456000869506974,0.00127464438525721,-0.00353056975236281,-0.000585979825318037,0.0453174013825139,0.00080759910847424,0.0316022303573125,-0.00211967826984806,0.00110025913549617,0.000307757989296399,5.34992981243727e-05,0.025058561114707,-3.02619610892431e-05,-1.20115886622393e-06,-3.58064081367571e-05,0.00024159582247855,0.000179669275153395,-2.1996452160115e-05,0.000137028559350213,0.000219743579103329,0.000228678581102602,-4.2587272683668e-05,-0.000181457792915198,6.40857939573773e-05,0.000165858635365377,-7.20147055681529e-05,2.97206977304934e-05,-5.05311751336321e-06,0.000164739842758157,-8.10897764701202e-06,4.52990150093152e-05,3.23762988829357e-06,1.67175304492458e-05,2.17935820415899e-16,-0.000184654574572617,-2.55747023000145e-05,0.00128507355969132,-9.6465766303399e-06,0.000124700673075191,3.03599581362709e-16,6.02078346647415e-05,-5.5856386154256e-08,1.56995425951461e-15,7.11150359207076e-06,0.000212393375679727,-0.366980519874901,-3.67177081422376e-14,-2.69956236591789e-15,-7.59901680472402e-06,-9.57434774794701e-06,0.395002483389871,-1.1010830179669e-14,-1.33966928871614e-05,-3.46207152837038e-15,2.53338149978141e-15,-7.30540336225258e-16,-7.03280302104621e-15,-3.4382731394418e-15,-0.00250709258033937,4.07854076285821e-08,-7.94895506138054e-16,-1.79220811831602e-07,7.31333964889353e-07,4.36939355559057e-16,-2.60278701651748e-16,-5.56980312748429e-06,1.20554852538599e-15,1.16558193331216e-15,-1.41208287734885e-06,8.69757768564183e-16,1.60829835513871e-15,8.11302239831981e-15,1.69838512323411e-15,-6.79810771863597e-15,7.11381700461572e-16,-5.06626208140466e-15,-1.72439971682542e-14,2.06545176417402e-15,-5.41302403778731e-14,-0.707106781186547,-8.20469275054945e-14,8.82915504290209e-15,-0.0995037190209766
"t3",-0.00357076509770609,-0.02972506007174,-0.00166877638677491,0.0242666347030033,0.00420107236019069,-0.000342593007056789,0.0154308673018181,0.0126763556013354,0.0278021584749495,-0.018318016762403,-0.0292905825241992,0.0110914200606313,0.00316977156654954,0.0335080332664232,0.0204951833270937,2.85591666240904e-05,-0.0221758597202357,-0.0881808294904826,-0.0277308385260658,0.00106149591846932,-0.00923104956734557,-0.00434664060099423,0.0185926108227557,-0.0220245611611657,0.012821568812552,-0.323984597708428,0.862181233573352,0.307058416985564,-0.00704507961948582,0.00560907198967555,0.16627659973027,0.00165746390632167,-0.0385208891495961,0.0326151192769495,0.0306799618191326,-0.00265956712889957,0.00772644507061379,0.0140376313147557,0.0113603739962128,-0.00281654814103029,-0.0100810547737836,0.00238966938815104,0.000635899740744519,-0.0024828747559438,0.000883191989310699,-0.000139365746261796,0.00541249869095107,-0.000183263081688659,0.00143449615279229,9.71850027273348e-05,0.000338249677053693,-4.23617822721185e-16,-0.00450537548249342,-0.000424889110904155,0.00272049631015411,-0.000181510057613259,0.00297070563428419,3.01405146165924e-16,0.0006685946703654,-8.11193424068055e-07,-6.90355472245026e-16,9.95267162533324e-05,0.000807064489190974,-0.00113966154131641,-7.59782002840739e-17,1.05647508045997e-16,0.000150623802777517,-0.000342058809355547,0.000131467243485463,-1.22348807824894e-16,0.000566533794529354,-7.40466439168964e-17,-6.90114901654264e-17,4.27235560408888e-16,-2.19737835109996e-16,1.89605732209453e-17,-1.09852715657179e-08,0.000527670068743745,5.18390601914995e-17,-4.23921533443109e-05,8.92381517839624e-05,7.81386365833553e-17,-3.92096562595078e-16,-0.00038518531199413,-2.58295461900276e-16,-1.7059397774509e-16,-6.11855393240172e-05,9.1111984699507e-17,-1.21906305652533e-16,1.15992372107978e-16,-2.55984061715215e-16,-7.98497612919049e-16,4.71854969483983e-16,1.19421355296585e-16,-5.70123364765781e-17,4.17022336392546e-16,-1.68247310770477e-15,-1.5807855994473e-15,2.00918097892107e-15,-2.02070120113417e-15,-0.0995037190209976
"t74",-0.00841511205670812,-0.089890602127635,0.023002928406382,0.117864265223251,-0.263894380135932,0.0173648375723561,-0.133866196351392,-0.00406899233988814,-0.0449396385781131,0.0180523736501825,0.0101155950310982,-0.0124731436946605,-0.00144037008913391,-0.00723012500306467,-0.00116567953639698,0.446906352300386,0.00298279536523364,0.0127144175509179,0.012730912313616,4.20729871110635e-05,0.000377814153445262,0.000558662752015237,-0.00077374664275218,0.000906144072093497,-0.000520453667084662,0.012398601426884,-0.00510969150053773,-0.00101964874899391,2.17046620221309e-05,-4.85481584453287e-06,0.00216399953813625,1.74268776446712e-05,-0.00214641530212502,0.00120318018165465,0.00401038548378892,-0.010808756210954,0.000348622241006641,0.0011380869415741,0.000247032812235743,-0.00036352304592802,-0.00137720446920328,0.000118461394992845,3.23845917371603e-05,-0.000136972129745165,5.33040870769432e-05,-8.77171368613789e-06,0.000900685812611647,-9.41692600185205e-06,0.000242210825020664,1.67742869055663e-05,2.4928907757809e-05,1.8916563039787e-16,-0.000786889143977949,-3.48551993590721e-05,0.000242656863795281,-1.91106350765921e-05,0.0131570877898297,5.22203404697457e-16,5.02281855492903e-05,-1.43893105680118e-07,-2.69603417304477e-16,1.77366113754274e-05,6.50729915469157e-05,-9.255199329411e-05,-1.11831646801354e-16,9.46189267559418e-16,1.19798266696319e-05,-7.11891854330901e-05,9.45680531051812e-06,1.07110226802373e-15,7.68407369895881e-05,8.27320617800304e-16,2.71764751355509e-16,1.2457352391178e-16,3.39316876449257e-15,3.53144714524439e-15,-2.92656099662688e-10,2.92693439264452e-05,-1.77218542172371e-15,-3.01089712329976e-07,-1.23970688356365e-05,1.37554067229526e-15,4.37756712252705e-14,0.822451436864013,-1.71871054986232e-13,3.64812783376853e-14,-2.8325189404796e-05,-7.22352918225915e-15,-3.93819530329688e-15,-1.18053537247228e-14,3.21588813190048e-15,-1.71409403803044e-15,-3.67869334985429e-16,-1.8679791406493e-15,1.02164261835277e-15,-1.37242426779141e-16,-2.11295718630034e-15,-6.12082160971772e-15,1.12931210892112e-15,-1.82271779457036e-15,-0.0995037190210339
