,models,stat,p value,hochberg_adjusted_p_value
0,phylopars_phylnn_fill_means,-24.64775668127814,3.4819591790545717e-82,1.5668816305745574e-80
1,phylnn_fill_means_linear_PEM,24.557395895209723,8.434040224524913e-82,3.7109776987909614e-80
2,phylnn_fill_means_xgb_PEM,21.914648594372444,1.884092661620887e-70,8.101598444969814e-69
3,phylnn_fill_means_xgb_eigenvecs,20.237361954133494,3.5835587002044213e-63,1.505094654085857e-61
4,phylnn_fill_means_xgb_umap,19.68270989012004,9.247552616537168e-61,3.791496572780239e-59
5,phylnn_fill_means_xgb_autoencoded,15.844885252588444,3.28014905256767e-44,1.312059621027068e-42
6,phylopars_xgb_umap,-15.205018345691835,1.645331846876015e-41,6.4167942028164585e-40
7,linear_PEM_xgb_umap,-13.767081477449864,1.478621237776757e-35,5.6187607035516765e-34
8,phylopars_xgb_PEM,-6.5639266204065905,1.6327673342893624e-10,6.0412391368706405e-09
9,phylopars_linear_PEM,-6.149126843431151,1.8929010667826185e-09,6.814443840417427e-08
10,linear_PEM_xgb_PEM,-5.829906605283491,1.145656645569389e-08,4.0097982594928616e-07
11,phylopars_xgb_eigenvecs,-5.279442470740236,2.1331645116290423e-07,7.252759339538744e-06
12,linear_PEM_xgb_eigenvecs,-4.544057644474683,7.32352375622562e-06,0.00024167628395544547
13,phylopars_xgb_autoencoded,-4.448130123134905,1.1247916352079907e-05,0.000359933323266557
14,phylopars_linear_autoencoded,-4.257162746562126,2.5838579226677068e-05,0.0008009959560269891
15,linear_PEM_linear_autoencoded,-4.130022298735646,4.420498411379491e-05,0.0013261495234138472
16,xgb_eigenvecs_xgb_umap,-4.098361903992424,5.042364666658502e-05,0.0014622857533309656
17,linear_PEM_xgb_autoencoded,-4.019443023748623,6.974925195555366e-05,0.0019529790547555023
18,linear_autoencoded_xgb_autoencoded,3.7072145040454427,0.00023917835013951105,0.006457815453766798
19,phylnn_fill_means_linear_autoencoded,3.629243738177943,0.00032120692214388126,0.008351379975740912
20,linear_autoencoded_xgb_eigenvecs,3.6079679799516917,0.00034780819826001264,0.008695204956500316
21,linear_autoencoded_xgb_PEM,3.268512408552088,0.0011748514954646615,0.028196435891151873
22,xgb_PEM_xgb_umap,-2.9327975158760857,0.0035529010573019156,0.08171672431794406
23,linear_autoencoded_xgb_umap,2.8109163755705655,0.0051835757857482245,0.11403866728646093
24,phylnn_fill_means_linear_eigenvecs,2.524967484575154,0.011957561179295455,0.25110878476520454
25,phylopars_linear_eigenvecs,-2.336667063118609,0.019950638642172357,0.39901277284344716
26,linear_eigenvecs_linear_PEM,2.2616943346283542,0.02425380581156764,0.46082231041978516
27,phylopars_linear_umap,-2.1619185224466313,0.03121835462198843,0.5619303831957917
28,linear_PEM_linear_umap,-2.109633185683133,0.03551220506540253,0.603707486111843
44,linear_eigenvecs_linear_autoencoded,-0.3645170740746164,0.715665034804429,0.715665034804429
35,linear_eigenvecs_xgb_PEM,1.7593976919017718,0.07927635125633854,0.7927635125633854
33,linear_umap_xgb_autoencoded,1.8335103037844198,0.06747146566107542,0.8096575879329051
31,linear_umap_xgb_eigenvecs,1.8811624629090766,0.06067773575256419,0.8494883005358986
34,linear_umap_xgb_PEM,1.7663763281139773,0.07809731724565908,0.8590704897022499
32,linear_eigenvecs_xgb_autoencoded,1.8421998201436922,0.06618776809546562,0.8604409852410531
29,linear_eigenvecs_xgb_eigenvecs,1.9204670454088686,0.05551139474973063,0.8881823159956901
30,xgb_eigenvecs_xgb_autoencoded,-1.885496353708031,0.060089133110994224,0.9013369966649134
37,linear_eigenvecs_linear_umap,-1.5380322104867745,0.12483335637213391,0.9986668509770713
38,linear_eigenvecs_xgb_umap,1.4688228608950418,0.14266878639394381,0.9986815047576068
36,linear_umap_xgb_umap,1.5721186236136384,0.11671564792014173,1.0504408312812756
43,xgb_umap_xgb_autoencoded,0.499382408895461,0.6177852512682098,1.2355705025364196
41,xgb_eigenvecs_xgb_PEM,-0.9687829258199832,0.33324037557635666,1.3329615023054266
40,xgb_PEM_xgb_autoencoded,-1.0878815783238578,0.27730408309453497,1.386520415472675
39,phylnn_fill_means_linear_umap,1.1727829082174699,0.24158256123988703,1.4494953674393223
42,linear_umap_linear_autoencoded,0.584656450084729,0.5591091836386871,1.6773275509160612
