"accepted_species","traits"
"t14",0
"t16",0
"t17",0
"t25",0
"t28",0
"t30",0
"t33",0
"t34",0
"t35",0
"t36",0
"t41",0
"t42",NA
"t44",0
"t47",0
"t48",0
"t49",0
"t50",0
"t51",0
"t52",0
"t53",0
"t57",0
"t58",1
"t60",0
"t62",0
"t63",0
"t64",0
"t66",1
"t67",0
"t68",0
"t69",0
"t70",0
"t71",0
"t72",0
"t73",0
"t74",0
"t75",0
"t76",0
"t77",NA
"t78",NA
"t79",0
"t80",0
"t82",0
"t83",NA
"t84",0
"t85",0
"t86",0
"t87",1
"t88",1
"t89",0
"t90",0
"t91",0
"t92",1
"t93",0
"t94",0
"t95",0
"t96",0
"t97",0
"t98",0
"t99",0
"t101",NA
"t102",NA
"t103",NA
"t104",NA
"t105",0
"t106",0
"t107",1
"t109",1
"t110",1
"t113",NA
"t114",NA
"t115",0
"t116",0
"t117",1
"t118",0
"t119",0
"t120",0
"t121",1
"t122",0
"t123",0
"t124",0
"t125",0
"t127",0
"t128",0
"t129",0
"t130",0
"t131",1
"t132",0
"t133",0
"t134",1
"t135",1
"t136",0
"t137",0
"t138",1
"t139",1
"t140",0
"t141",0
"t142",1
"t143",1
"t144",0
"t145",0
