,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
t1,0.7432028,2.5344784,4.4851155,5.763118,7.413577,5.094288,3.7507548,6.050679,4.4756417,1.2283995,7.1762004,5.198265,5.321618,5.1608644,8.051151,5.341058,3.1398516,6.1169896,5.0219626,3.6551588,4.843655,5.3411565,6.390333,3.9415605,5.6409597,5.469996,4.945558,7.152767,5.5825143,6.421857,3.8712018,4.147343,2.409476
t2,0.74210525,2.5017233,4.437458,5.8190217,7.4979334,5.104601,3.6867492,6.0015235,4.4681015,1.1599602,7.1923385,5.24811,5.350087,5.12838,8.078285,5.3694534,3.151474,6.1226716,5.0316863,3.6523843,4.8128533,5.3450494,6.4268823,3.9271865,5.6585603,5.4978223,4.893488,7.1663604,5.5333767,6.388037,3.8732393,4.0968757,2.3208401
t3,0.7696389,2.6590931,4.6035795,5.6097183,7.1549854,5.0282617,3.91113,6.1458244,4.461105,1.3563282,7.1018696,5.123867,5.2568474,5.2803392,7.9714513,5.2396593,3.150112,6.071041,4.96976,3.7075434,4.950089,5.328526,6.287978,4.007538,5.6115894,5.4126177,5.0592747,7.1290436,5.6570024,6.4595327,3.8616648,4.2450347,2.6736255
t4,0.729209,2.4968932,4.449008,5.8113,7.486944,5.1068416,3.7017994,6.014828,4.4682217,1.1750317,7.194104,5.2370462,5.349053,5.1275396,8.076135,5.370707,3.137973,6.123422,5.0330553,3.6469612,4.8137465,5.340664,6.42382,3.9264176,5.646052,5.4941015,4.9005346,7.1641526,5.543888,6.398086,3.872504,4.107469,2.332646
t5,0.84256244,2.7791348,4.720474,5.453635,6.919938,4.959742,4.060695,6.2362,4.4317923,1.4770881,7.0219436,5.0543385,5.206873,5.396533,7.875715,5.127684,3.1780868,6.021349,4.8959203,3.7717519,5.0695224,5.313513,6.1644406,4.0962124,5.5690227,5.359001,5.154528,7.1043324,5.7213616,6.471277,3.846168,4.329089,2.9116018
t6,0.7243353,2.4904761,4.446408,5.81727,7.4982553,5.1112475,3.6979532,6.012027,4.468387,1.1706502,7.198563,5.2401237,5.3523307,5.1216173,8.080621,5.3762217,3.1336958,6.1270833,5.035809,3.6425402,4.808569,5.339704,6.427496,3.9235868,5.6440105,5.494968,4.895339,7.1642056,5.540711,6.397728,3.8729615,4.103695,2.3208282
t7,0.72557616,2.487951,4.4420567,5.821076,7.502789,5.1087728,3.6931667,6.0066857,4.464452,1.1649193,7.1973867,5.246797,5.3561916,5.120386,8.079872,5.37549,3.1375976,6.1238065,5.033317,3.6464722,4.808325,5.339946,6.429081,3.9253998,5.6456065,5.5008554,4.8893943,7.167445,5.5341487,6.391535,3.871827,4.0977297,2.315757
t8,0.7294837,2.4679227,4.4321213,5.836933,7.5257297,5.104763,3.6885855,5.9845095,4.4430285,1.1564044,7.197157,5.269404,5.376259,5.109947,8.076271,5.368547,3.1490703,6.1176233,5.0139017,3.66008,4.8070607,5.335103,6.4206834,3.9433055,5.6416106,5.522248,4.864947,7.180592,5.5113764,6.370178,3.866143,4.074252,2.2909837
t9,1.406224,3.1977642,4.9300113,4.768656,5.9701858,4.79197,4.4110184,6.4651785,4.2894406,1.6958877,6.691976,4.912089,4.9914327,5.940172,7.604423,4.749711,3.417741,5.851435,4.7111077,4.1207643,5.4146705,5.3249984,5.8878503,4.300386,5.5423226,5.2866654,5.3371205,7.055414,5.849024,6.5190845,3.8540506,4.509926,3.8212402
t10,1.3990862,3.206562,4.9403152,4.787917,5.98952,4.799975,4.405741,6.471396,4.276597,1.6776503,6.709237,4.905906,4.983926,5.929945,7.596484,4.752018,3.397268,5.86513,4.7002926,4.103867,5.4082727,5.3151155,5.8847466,4.3077807,5.553448,5.3008237,5.339286,7.0779195,5.84646,6.512298,3.8513958,4.496294,3.8036652
