,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
t1,-0.42024922,8.745728,2.9373343,-0.2797718,-0.071595915,6.4797606,5.945916,6.708626,9.630578,14.561133,0.6181237,0.5282569,-0.37789464,1.56493,0.4772836,-1.4210248,8.007742,13.286684,7.3588357,6.7494884,12.146546,0.14552036,0.082403205,4.5254283,0.020810803,-0.8947285,0.29874575,7.8407784,-0.5945872,-0.07695909,8.167953,-0.8081225,-0.38556042
t2,-0.5508023,13.275086,3.4211082,-0.25806805,-0.0679679,8.70983,9.458001,10.585913,12.141047,16.990229,0.7899199,0.4384787,-0.2180603,2.3911402,0.5510688,-1.2039753,10.849712,17.02422,10.741703,9.366752,13.016314,0.13930675,0.112154335,2.1804485,0.028224392,-1.1023407,0.27516958,10.528132,-0.7810486,-0.09712072,11.538422,-0.8688134,-0.31499732
t3,-0.2658356,4.6457696,2.4278736,-0.21634464,-0.060485773,4.538045,3.150865,3.2664785,7.3653316,12.953504,0.39300242,0.57621396,-0.5875333,0.5023735,0.41916716,-1.4266038,5.3196425,9.664142,4.0032916,4.1790347,11.538421,0.12161811,0.07679316,6.286897,0.015364461,-0.71584153,0.32892036,5.445403,-0.43869936,-0.06059234,5.128648,-0.7074569,-0.35719326
t4,-0.5378175,12.530211,3.4730103,-0.26195964,-0.070377864,8.298917,8.803054,10.031733,11.514769,16.639261,0.7472351,0.47539625,-0.24671903,2.263038,0.55530876,-1.2913891,10.4468,16.418108,10.15814,9.116205,13.029758,0.1359942,0.10594359,2.841253,0.02712772,-1.0566527,0.2852559,10.126633,-0.74685985,-0.093381695,10.95101,-0.89074945,-0.33911943
t5,-0.14913441,2.1996982,2.2801821,-0.09000936,-0.036901124,3.4235063,1.8979218,0.83840847,5.1518054,11.483238,0.24028659,0.55188775,-0.6951144,-0.0035836834,0.40336022,-1.0844625,2.8123398,6.583814,1.750868,1.9831074,10.913122,0.07510353,0.083945125,7.312059,0.012996822,-0.6034608,0.36788127,3.8157997,-0.32823583,-0.04900775,2.3934262,-0.4692652,-0.2526222
t6,-0.62688506,14.807223,3.7535684,-0.25176036,-0.068359464,9.507863,10.754782,12.29126,12.949105,18.255054,0.8354818,0.43603295,-0.22525139,2.6185434,0.58644384,-1.216123,12.052619,18.449219,11.7352085,10.577799,13.6382065,0.13472565,0.12863708,1.6904594,0.03170768,-1.1704557,0.26889983,11.631503,-0.8663727,-0.10565932,12.972668,-0.9721563,-0.30393532
t7,-0.71986824,18.91598,3.941055,-0.22090095,-0.06928476,11.666148,14.755851,16.438665,15.567829,21.26431,1.0148721,0.34597018,-0.17119475,2.8675146,0.6558617,-1.0065045,14.82641,22.271568,14.565486,13.106866,14.383686,0.09524965,0.17266135,0.023155464,0.039818812,-1.3580344,0.29000333,14.854635,-1.0637298,-0.12741,16.591856,-1.045876,-0.20086269
t8,-0.64254344,15.306643,3.8174443,-0.24872291,-0.06787447,9.739737,11.176939,12.76602,13.268087,18.591646,0.8574369,0.42574525,-0.2163498,2.695415,0.593222,-1.1921366,12.380016,18.881836,12.098344,10.875626,13.738772,0.13373546,0.13330926,1.3905822,0.03263947,-1.1947016,0.2639101,11.977239,-0.89001,-0.10825457,13.377686,-0.98857325,-0.29483795
t9,-0.109103985,-0.113943785,5.3159266,5.3996572,-0.026678307,5.788392,-0.50864303,-0.020411165,-0.050597522,10.630993,0.35160244,0.022688208,-0.54875433,-0.0021568292,0.6535476,-0.2641766,-0.7713264,-0.0854701,-1.1411431,-0.30391327,14.504509,4.024423,0.10904549,12.165181,0.0132532595,-0.41765666,0.5799296,0.36627877,-0.09897403,-0.027803358,-0.23157986,-0.5615301,-0.2684906
t10,-0.0933813,-0.1044097,5.215609,5.0760665,-0.026197573,5.573781,-0.49692348,-0.018616933,-0.051287305,9.839398,0.34539798,0.008605336,-0.4921773,-0.0018199404,0.62006295,-0.23611714,-0.74383146,-0.09492632,-1.0757977,-0.2975005,13.699868,3.8504574,0.10399278,11.413419,0.012671771,-0.38175038,0.5470266,0.31113213,-0.0904276,-0.026238827,-0.21632576,-0.5390487,-0.262487
