,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t1,3.71019,-0.0066863266,-0.2651898,5.062951,5.93811,0.3370483,4.8952885,0.32567033,0.393467,-0.20306644,9.987962,1.5213963,-1.0669672,-0.05741732,5.053924,-0.5345875,4.565784,-0.04863185
t3,0.6072461,-0.0035013624,-0.1367224,1.0826571,6.3023076,-0.1613742,0.79383314,-0.65918213,-0.020485785,1.3046626,8.292095,2.9933615,-1.0071839,0.6506285,5.8347955,-0.5623754,5.5058694,-0.04324798
t7,0.12542306,-0.003992423,-0.04258342,-0.0147715295,5.2141113,-0.009885893,-0.09453092,-0.8825825,-0.026441272,3.846615,6.0302515,3.0014715,-0.8856398,1.5315752,6.431491,-0.62770784,6.211534,-0.051345307
t9,-0.09582535,-0.0022811089,0.019083168,-0.16226968,4.562129,2.0786893,-0.5936693,-1.3156061,-0.06278706,9.613326,3.6154473,3.941441,-0.9203674,3.2151809,8.716005,-1.2000958,10.001504,-0.07528202
t12,-0.12921582,-0.0011128943,-0.021079637,-0.19956198,4.4423466,2.6430926,-0.7678189,-1.3149608,-0.07185504,10.677316,3.2429848,4.070156,-0.9249956,3.4359725,8.930156,-1.346553,10.435982,-0.08467847
t13,-0.119824335,-0.0014313724,-0.02637154,-0.19954318,4.401186,2.5882156,-0.773702,-1.3144205,-0.07359618,10.780507,3.1706858,4.115377,-0.91350484,3.5447137,8.854295,-1.3585533,10.474402,-0.08371632
t14,-0.095516264,-0.0018312121,-0.03149524,-0.17156161,4.303427,2.0951262,-0.67868716,-1.2620299,-0.06687562,9.658293,3.2902534,3.928304,-0.88234794,3.226942,8.372387,-1.2244091,9.794835,-0.06878247
t18,-0.13663007,-0.0005462784,-0.045633834,-0.2213445,3.737565,3.0452342,-1.0059587,-1.1955526,-0.07603712,11.130498,2.1233852,3.8490908,-0.8282334,3.5505805,8.47537,-1.4457761,10.059944,-0.08293197
t19,-0.09481759,-0.0011712599,-0.049849637,-0.1766839,3.4723334,2.3516598,-0.88357484,-1.0673636,-0.06420451,9.303122,2.1220803,3.4547484,-0.73808414,3.09732,7.5467253,-1.2394134,8.764172,-0.06352083
t78,22.187578,-0.022048924,-1.3130256,15.581088,-0.1449975,3.0199583,7.5853357,4.748936,1.6732323,-0.7325958,-0.029750274,4.6922507,-0.8531382,-0.07004585,17.295786,-0.7166729,-0.15171325,-0.08359536
t144,26.612492,-0.025478767,-1.5760058,21.256586,-0.13720205,7.401406,14.341767,8.935889,1.9731765,-1.0458132,-0.0035201744,2.03794,-0.7626215,-0.21540101,19.534159,-0.6844603,-0.20890504,-0.07529444
t145,26.614246,-0.025389146,-1.5785708,21.257402,-0.13761881,7.389226,14.309472,8.963584,1.9774795,-1.0441122,-0.003170666,2.0333416,-0.7562691,-0.21577647,19.534151,-0.683002,-0.20861436,-0.075557455
t130,26.665268,-0.025029175,-1.5895187,21.438633,-0.12677565,7.368155,14.384614,8.859419,2.019678,-1.0527248,-0.0047845673,2.1205623,-0.7389353,-0.21501282,19.6399,-0.66967314,-0.2146234,-0.07232028
t131,26.633661,-0.025219884,-1.5841515,21.395035,-0.12894346,7.385951,14.393252,8.8861,1.9949533,-1.0504636,-0.004976921,2.100021,-0.74430084,-0.21416965,19.580404,-0.67362905,-0.21271098,-0.07115119
