"accepted_species","trait_ARD"
"t86","0"
"t87","0"
"t27","1"
"t51","0"
"t52","0"
"t47","0"
"t48","0"
"t53","0"
"t54","0"
"t80","0"
"t81","0"
"t9","1"
"t99","0"
"t100","0"
"t13","0"
"t26","1"
"t4","1"
"t55","0"
"t69","0"
"t17","0"
"t12","0"
"t93","0"
"t94","0"
"t18","0"
"t50","0"
"t59","0"
"t60","0"
"t67","0"
"t14","0"
"t58","1"
"t82","1"
"t83","1"
"t49","1"
"t23","1"
"t84","0"
"t85","0"
"t68","0"
"t76","0"
"t77","0"
"t46","0"
"t75","1"
"t91","1"
"t92","1"
"t32","1"
"t40","0"
"t41","1"
"t7","1"
"t34","1"
"t35","0"
"t8","0"
"t2","0"
"t16","1"
"t44","1"
"t45","1"
"t3","0"
"t11","0"
"t39","0"
"t71","0"
"t72","0"
"t28","0"
"t19","0"
"t15","0"
"t89","0"
"t90","0"
"t70","1"
"t61","1"
"t62","1"
"t10","0"
"t78","1"
"t79","1"
"t56","1"
"t57","1"
"t38","0"
"t95","1"
"t96","1"
"t29","1"
"t30","1"
"t73",NA
"t74","1"
"t64",NA
"t65","1"
"t97",NA
"t98",NA
"t88",NA
"t31","0"
"t36",NA
"t37",NA
"t42",NA
"t43","1"
"t33",NA
"t66",NA
"t1","1"
"t6","0"
"t21","0"
"t22","0"
"t20","0"
"t24","0"
"t25","0"
"t5","1"
"t63","0"
