,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t1,14.933965,1.1333967,9.213735,6.063543,3.7633848,3.6920254,3.603834,8.201051,4.6059704,4.464595,8.358662,7.2007394,4.037954,5.331972,4.9739513,3.637514
t2,14.925262,1.1349778,9.293751,6.062306,3.7176013,3.6356826,3.5888767,8.195221,4.5590377,4.390231,8.437375,7.252254,4.111105,5.3536367,4.8922772,3.641404
t3,14.868749,1.1711745,9.239793,6.079641,3.6946301,3.6962852,3.5242362,8.145809,4.5336537,4.4408836,8.383015,7.2200737,4.0615664,5.4146805,4.945297,3.6494255
t4,3.1456592,6.6349816,9.295586,4.707213,4.6911225,4.448347,4.7092032,5.495162,7.234176,4.737168,5.2013183,4.73027,2.860716,6.4728637,3.4986274,3.0317826
t5,14.930229,1.1420537,9.252055,6.017264,3.798564,3.6592185,3.6070528,8.197922,4.640686,4.4206133,8.402473,7.2000046,4.0813694,5.304796,4.93254,3.6060696
t6,14.928125,1.1282101,9.260959,6.0752354,3.729526,3.6553578,3.591344,8.199734,4.572128,4.42339,8.405665,7.2341466,4.0774503,5.3546314,4.9248896,3.644078
t7,10.081083,7.360118,1.0350999,6.769774,5.615909,5.0021577,2.8534296,4.69876,5.680669,7.043188,9.24236,3.657012,3.1305616,4.722573,5.6145654,3.5586035
t8,15.164267,0.9272584,9.352422,6.012617,3.96702,3.5693655,3.840026,8.425278,4.81848,4.290397,8.508384,7.352727,4.2078576,5.1260576,4.875131,3.8039815
t9,10.123551,7.364226,1.0310894,6.79001,5.595117,4.98869,2.8474479,4.678085,5.699564,7.032214,9.247305,3.6388083,3.1151607,4.7282,5.6002584,3.57702
t10,9.990163,7.4792686,0.9075147,6.839226,5.536738,5.0062633,2.7781265,4.5773373,5.784975,6.983149,9.328087,3.5387754,3.0735514,4.7909904,5.6379914,3.5279071
t11,3.123916,6.5126004,9.286682,4.833109,4.584538,4.3930893,4.5995097,5.616162,7.2542353,4.847069,5.2190266,4.721383,2.9073925,6.389475,3.3713777,3.042735
t12,3.1123934,6.5857587,9.276679,4.7297435,4.6587825,4.454568,4.6938787,5.5453734,7.2401943,4.7825384,5.1931067,4.720052,2.8704863,6.4411564,3.4760401,3.0113156
t13,10.015504,7.499387,0.8947272,6.847433,5.6009555,5.0989738,2.7391427,4.6086516,5.7870483,7.064608,9.245327,3.543352,3.0442898,4.8271437,5.548494,3.4565926
t14,-2.516171,1.5501308,2.6434872,6.770022,3.7103117,6.0097365,4.968436,8.573406,7.8003845,3.357699,5.7107244,5.43813,2.562426,5.606131,4.993702,5.982185
t15,-2.5320685,1.6374142,2.586979,6.704527,3.7906349,6.0895424,5.0095706,8.615668,7.836445,3.278753,5.719491,5.455546,2.6203413,5.597072,5.0397916,5.947102
t16,-2.6644359,1.4145486,2.5735197,6.7209754,3.7262518,6.061688,5.04147,8.625421,7.8182616,3.4894395,5.812044,5.5644126,2.4272406,5.5655007,5.051012,6.1253014
t17,10.095333,7.4638805,0.92801404,6.8530855,5.6543603,5.081839,2.7567015,4.6886616,5.717047,7.083797,9.205126,3.6169508,3.0385058,4.8139033,5.5413322,3.4857118
