"accepted_species","traits"
"t1",1
"t2",0
"t3",1
"t4",1
"t5",0
"t6",1
"t7",0
"t8",0
"t9",1
"t10",0
"t11",1
"t12",0
"t13",1
"t14",1
"t15",1
"t16",1
"t17",1
"t18",0
"t19",1
"t20",1
"t21",1
"t22",1
"t23",1
"t24",0
"t25",1
"t26",1
"t27",0
"t28",1
"t29",1
"t30",0
"t31",0
"t32",1
"t33",1
"t34",1
"t35",0
"t36",0
"t37",1
"t38",0
"t39",0
"t40",1
"t41",0
"t42",0
"t43",1
"t44",0
"t45",1
"t46",0
"t47",0
"t48",1
"t49",1
"t50",1
"t51",0
"t52",0
"t53",1
"t54",0
"t55",0
"t56",1
"t57",0
"t58",0
"t59",0
"t60",1
"t61",0
"t62",0
"t63",1
"t64",1
"t65",0
"t66",0
"t67",0
"t68",0
"t69",1
"t70",0
"t71",0
"t72",1
"t73",0
"t74",0
"t75",1
"t76",0
"t77",1
"t78",0
"t79",1
"t80",0
"t81",0
"t82",0
"t83",1
"t84",1
"t85",1
"t86",0
"t87",0
"t88",0
"t89",1
"t90",1
"t91",0
"t92",1
"t93",0
"t94",0
"t95",1
"t96",1
"t97",0
"t98",0
"t99",0
"t100",1
"t101",1
"t102",0
"t103",1
"t104",0
"t105",1
"t106",0
"t107",1
"t108",1
"t109",0
"t110",1
"t111",1
"t112",1
"t113",1
"t114",0
"t115",0
"t116",0
"t117",0
"t118",0
"t119",0
"t120",0
"t121",0
"t122",0
"t123",0
"t124",0
"t125",0
"t126",0
"t127",0
"t128",1
"t129",0
"t130",0
"t131",0
"t132",0
"t133",0
"t134",0
"t135",1
"t136",1
"t137",1
"t138",1
"t139",0
"t140",0
