,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
t9,0.69392914,3.1290135,5.94068,0.3961317,2.7361557,5.298867,3.256112,6.2881694,3.5117762,3.49547,6.5957823,5.2687254,2.8192744,2.6507738,4.635572,7.8611317,3.6276875,6.5435944,8.214588,3.7904363,4.848255,5.1277447,7.2957034,4.4811597,5.527818,4.870335
t11,0.67104656,3.1119294,5.9137526,0.43544245,2.7208023,5.280155,3.249439,6.3071895,3.5211523,3.4964204,6.567836,5.283919,2.8330567,2.6325185,4.639034,7.8813143,3.6436837,6.544321,8.224904,3.7851806,4.824966,5.1181426,7.267402,4.478272,5.5501003,4.876024
t19,0.6721277,3.0622976,6.120174,0.5604749,2.6774313,5.250792,3.2568,6.3730626,3.5321145,3.4540906,6.577434,5.3125577,2.9385695,2.664848,4.799013,7.912757,3.7524507,6.425639,8.042332,3.9115698,4.8479943,5.0188403,7.0795627,4.6560445,5.367459,4.990878
t130,1.5409063,-1.1132171,0.2643762,5.5786963,2.6588442,4.282381,5.518065,5.710999,2.7203276,2.6450248,7.265925,2.9595275,2.6662898,4.477679,6.3348737,6.361176,5.4908423,5.478317,5.4042234,4.9652743,4.677367,5.4836636,5.176645,3.992667,4.8074183,6.039097
t192,1.7607728,-1.3153049,0.30400515,5.6451592,2.3536506,4.0758924,5.28248,5.7943068,2.735759,2.2976696,7.0715594,2.6211648,2.4626896,4.586771,6.1601486,6.183812,5.995927,5.5714936,5.3624945,5.074777,4.5185366,5.0883923,5.1869297,3.9391205,4.5262275,5.7877603
t229,1.7782274,-1.3386978,0.26777244,5.5999794,2.4052696,4.078245,5.3086724,5.7938323,2.7019975,2.339319,7.0669475,2.6412165,2.5070598,4.536327,6.1603727,6.1602592,5.9822683,5.5385923,5.333994,5.0664573,4.5708547,5.095083,5.216403,3.9148724,4.572655,5.804435
t230,1.7188818,-1.2837689,0.265325,5.659432,2.3459864,4.1250343,5.3354044,5.831062,2.7040787,2.3196359,7.1171756,2.6539087,2.4960117,4.5740376,6.20739,6.2175426,5.9550114,5.536115,5.323482,5.102861,4.511304,5.1416183,5.223121,3.9712574,4.552328,5.840935
t228,1.7535903,-1.3135895,0.29923996,5.6649284,2.3579,4.0898376,5.29562,5.808626,2.7285092,2.2850013,7.076416,2.6423316,2.4596534,4.611042,6.1719823,6.186858,5.975436,5.5618134,5.3565335,5.089298,4.5107565,5.104413,5.1954317,3.935576,4.5107937,5.8030457
t242,1.7625178,-1.3202984,0.28618604,5.6154404,2.3828251,4.0765734,5.2997417,5.7894583,2.7182736,2.338654,7.070233,2.6435046,2.498789,4.553377,6.1627245,6.1783037,5.9733453,5.553385,5.3469133,5.061975,4.547714,5.094649,5.2017627,3.9299843,4.5660224,5.79845
t243,1.6926184,-1.2472509,0.30030066,5.6979527,2.3004646,4.1278048,5.3185472,5.8300924,2.735317,2.2997172,7.1309423,2.6573465,2.4658854,4.6218295,6.224882,6.252055,5.937825,5.5650554,5.3586464,5.106648,4.4582486,5.158357,5.194186,4.0012045,4.52393,5.8346624
t238,1.7718219,-1.3105348,0.3723057,5.645049,2.3506246,4.0409026,5.229437,5.7545643,2.799538,2.2932737,7.0486646,2.6130838,2.4179056,4.6113796,6.1403394,6.1832213,5.9837,5.630491,5.4299383,5.0391426,4.506621,5.065658,5.123227,3.9334106,4.508867,5.743883
t123,1.5920812,-1.1675602,0.21938184,5.578819,2.6330109,4.2685494,5.5157714,5.743974,2.6772852,2.5905864,7.23975,2.901478,2.666131,4.4679985,6.3122225,6.311371,5.5561666,5.454091,5.3636584,4.9970417,4.6898456,5.4245014,5.2186384,3.9735038,4.781715,6.031137
t216,1.8306546,-1.3582445,-0.25769025,5.4117355,2.8725798,4.389253,5.7314796,5.771184,2.362772,2.6863108,7.3743296,2.8519611,2.8591585,4.265843,6.4107447,6.052829,5.4463987,5.072008,5.1393676,4.9898133,5.0017505,5.5826936,5.533164,3.8149586,4.957473,6.231298
t217,1.8277246,-1.3809713,-0.23380479,5.3906465,2.872209,4.408444,5.7470536,5.8142877,2.353673,2.6865535,7.375974,2.8643606,2.8808455,4.218484,6.3932714,6.0671887,5.4941173,5.0864725,5.095895,5.0315266,5.0176225,5.541361,5.545804,3.8483987,4.970861,6.236275
t142,1.8017865,-1.4022554,-0.14607236,5.402681,2.8315527,4.380364,5.740291,5.834561,2.346978,2.6692343,7.3333645,2.8222136,2.8742619,4.190484,6.3582354,6.047404,5.5776887,5.178186,5.049477,5.051045,5.0037603,5.4756594,5.550626,3.8313348,4.9582906,6.1921463
t181,1.9385008,-1.4185003,-0.17866778,5.346031,2.7723708,4.3713636,5.7028775,5.7462926,2.368636,2.6097305,7.4372735,2.8020036,2.794658,4.2844386,6.463434,6.047444,5.5526166,5.1549935,5.1293073,4.9723206,4.9270144,5.490137,5.5315886,3.833503,4.9540715,6.2624435
