,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,400.0,400,400,400,400,394.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ARD,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,400,200,200,400,,,,,,,,,,,,,
mean,199.5,,,,,0.29822086637849704,0.11679297620229173,0.1534437026494772,0.16629770374059927,0.1710377837064332,0.17478513205641547,0.17406400168018338,0.1738760072675872,0.14289129127375777,0.16271200947293657,0.19724539530509794,0.15601764452510955,0.1527899578112169
std,115.61430130683084,,,,,0.5901478845427133,0.08267792808102743,0.08967280077169712,0.09338555184756815,0.09986076884212818,0.11131142381046441,0.09919966893554333,0.10278635524296831,0.10254579083696992,0.10396836582530224,0.1336819068532575,0.10895819037883481,0.10326587682939942
min,0.0,,,,,-2.19252390637731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,99.75,,,,,0.107987249795648,0.057836917573731925,0.09009259259259256,0.10360679321687855,0.10375487725879451,0.10005351824194489,0.11291135528082305,0.11003180879514635,0.0692241305044854,0.0938768390380442,0.10022004939439595,0.0803868525164586,0.0829424816739837
50%,199.5,,,,,0.286271468762057,0.1089257988697792,0.15446742545481246,0.17062985025110705,0.1756913429227526,0.170264178869245,0.18144135668339514,0.17599431146073163,0.13926491783072764,0.1636674039131852,0.18989440359814955,0.1520324928488348,0.14528969738451056
75%,299.25,,,,,0.458367881113337,0.1652052579874997,0.21401732872430462,0.23313462580202507,0.23316963342908947,0.24120233172323624,0.23620993222356942,0.23540442026735284,0.19817773223851592,0.21948188400352103,0.2766424197054956,0.21643831404186112,0.2091446670193447
max,399.0,,,,,7.12894767384982,0.4005364665925096,0.6223456790123457,0.4937452399075711,0.6649985347123388,0.7261739178262274,0.7980373816621219,0.933671781748092,0.542354507836132,0.7872545988707584,0.7534333492156753,0.8843692413460056,0.7396554158669479
