,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,400.0,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,,1,2,2,1,,,,,,,,,,,,,,,
top,,bBMT,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,,400,200,200,400,,,,,,,,,,,,,,,
mean,199.5,,,,,-0.007735700645749688,0.04412877424865213,0.09072259279523964,0.08069972913860174,0.06193756700135742,0.07424609205629226,0.06980670924291585,0.07302917627375387,0.0722908646842665,0.054901280068885686,0.05536288683565803,0.05426263930091167,0.06504590104404126,0.049051950768351754,0.04895803552000446
std,115.61430130683084,,,,,2.712910801229992,0.06468664345506174,0.11009565045752345,0.0847770220976637,0.07550192841994065,0.08267810960931388,0.0843811130386041,0.0840956323376753,0.08452842213344759,0.0745685393678641,0.07829298016493699,0.0733273686434287,0.08972346247526992,0.07247559841477534,0.07127175299506039
min,0.0,,,,,-4.65218350580921,4.182121351996924e-07,0.0,2.5878816693469888e-11,1.4752803995678031e-09,2.638025683406594e-13,1.4557269837801806e-08,2.1385590595895137e-23,1.9083420635475696e-33,2.644462001600132e-07,1.3565299323998916e-07,7.681188803754994e-08,6.648995649999979e-07,3.622817170000593e-09,5.379850362998804e-08
25%,99.75,,,,,-0.4564829272693935,0.000303178720682625,0.001367673816987825,0.003592122760678675,0.0007748578799314,0.004864521813585625,0.00276456874978565,0.00322581778181055,0.003602521598915625,0.00045130543919575,0.00042391194546825004,0.00065126332106495,0.00040539296870739996,0.0005213507830004499,0.00048432945970812495
50%,199.5,,,,,-0.1727460107948285,0.009087638018584601,0.05122510067033175,0.0516965427157013,0.03367106991356215,0.0424634799390224,0.03338702668481385,0.036009019897021544,0.03139243050267885,0.022359273885415053,0.02055487783443405,0.0217652477803824,0.025189397872131203,0.0138407473722971,0.01302769313586815
75%,299.25,,,,,0.07441979041979807,0.0697116949775263,0.1525729737773083,0.13492749084596584,0.09740588217034771,0.11576927920676056,0.10460463624315468,0.11807304600422974,0.11311884569362048,0.0883721247347556,0.08466633546951788,0.0944095295685129,0.0971133913918274,0.07872769864937187,0.08174429387649643
max,399.0,,,,,35.4844691069326,0.4161214880125022,0.549820379643392,0.3812876433934808,0.3830861518729204,0.3864408291616402,0.4141374212529607,0.3711444985498641,0.3722323393395244,0.3721834818324082,0.4351995166500488,0.4380693570915813,0.5515869698873672,0.3685437054771339,0.4843472759713997
