,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,200.0,200,200,200,200,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
unique,,1,2,1,1,,,,,,,,,,,,,,,
top,,Clonality,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,,200,100,200,200,,,,,,,,,,,,,,,
mean,99.5,,,,,0.648023466001554,0.23271491370933828,0.24502485339202265,0.24577931122047555,0.2553207035516888,0.25090044554808033,0.24159433026033,0.2323460502203191,0.22702155809828287,0.23269933810020668,0.25405246686341226,0.24567491926010476,0.27712259428062586,0.24121952460811585,0.23674578295727447
std,57.879184513951124,,,,,0.03497659777731908,0.08259027752270238,0.08246347768940757,0.0718916149371913,0.05195614220187933,0.08123360904238898,0.10147412375898182,0.07494522350556808,0.07522673616234456,0.07981251569920184,0.0680581317189234,0.08161864340802541,0.12159060596208703,0.08195348336063361,0.08370421818959203
min,0.0,,,,,0.532670327324356,0.0807118893108402,0.0515802469135802,0.0893366568725045,0.1165195519737099,0.0870037790438544,0.0679506002325615,0.0920097392626554,0.0784362784301567,0.090319448061072,0.1028574395074225,0.0981117221428473,0.00111844762624,0.062223087663858,0.0505473731270317
25%,49.75,,,,,0.6258332135152298,0.17669623799101353,0.18781801922970148,0.20924924182246354,0.22611800091025838,0.20391226631659304,0.1755483942198931,0.17826367663917575,0.17273262998539296,0.1793664673883392,0.21361348512917955,0.19380631976155197,0.19594499750001598,0.1920558110963897,0.18589836996439096
50%,99.5,,,,,0.6496008848667705,0.22270383510727534,0.2406728395061728,0.24138815356132395,0.24537006588573756,0.23988368997139103,0.2268617546751675,0.23257008955757044,0.2219727474342377,0.2278826369908064,0.24254701740107298,0.23184507358977605,0.2616510102039805,0.2342820287532026,0.22838613116524495
75%,149.25,,,,,0.6716366033368952,0.2627400049649733,0.2830098120946028,0.27603600659867245,0.27184866591167245,0.2883801781653924,0.2946350602421933,0.2709065350091973,0.27322910092015784,0.27284145328022447,0.27872371347919433,0.28798241581997397,0.3528970529127141,0.2839004958080126,0.2759707849318322
max,199.0,,,,,0.728414335939813,0.5517360305912471,0.5404517882512151,0.5948648292461787,0.4185775451352944,0.5549613366785926,0.8161889450850408,0.5206474188461621,0.5298267260886202,0.5963147651388,0.5507604021319945,0.5552640437938183,0.86846440701969,0.5282624148067934,0.6886771584709064
