,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,400.0,400,400,400,400,398.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,400,200,200,400,,,,,,,,,,,,,
mean,199.5,,,,,0.2594053847480612,0.14701092453131223,0.1940652941806828,0.20400625343366247,0.21156009487578536,0.2155632515593708,0.2126816650837448,0.2109978603269075,0.18848846838456873,0.20153074587818892,0.24374246987476306,0.19326789728665125,0.1886223653916057
std,115.61430130683084,,,,,0.3866143712177486,0.08508487641047792,0.0794586479830486,0.08077766217221,0.09106054292094586,0.10312409133467,0.08198503331244236,0.0790653777968001,0.10205840907632906,0.09597558926783291,0.12755624461611312,0.10006309541302645,0.10015711696169688
min,0.0,,,,,-3.277310654388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,99.75,,,,,0.03701098013248015,0.08002720847097322,0.1464086558078943,0.1557828809955123,0.1554916754251628,0.14283701302983276,0.16023040552131962,0.15988024439030665,0.11936782399539744,0.13891794546469938,0.15653627531105924,0.1243734343994553,0.11458739957742373
50%,199.5,,,,,0.310781550438909,0.14707349031007494,0.20467652420720184,0.2234819650607313,0.2212103277430218,0.2175174051445766,0.23208113152214954,0.2268473673679769,0.1896592552191546,0.21360579649991673,0.24667366660681445,0.19947204873786475,0.200725520963688
75%,299.25,,,,,0.5156105674714777,0.20756913911931746,0.24264188241195778,0.2501969525448467,0.2563461617771181,0.2704907153482698,0.2596991350785114,0.2598333454202406,0.24666608773337242,0.2559506633600268,0.3224009585793295,0.2541972089241974,0.253570755145117
max,399.0,,,,,0.919505694940795,0.447214775142278,0.5169204400510204,0.5471540575144738,0.7703138554588769,0.7706240221063357,0.6129561839612354,0.4908236509919688,0.6565564285356489,0.6201201331329601,0.7566442458336535,0.6622989332028313,0.5645335473848723
