,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,960.0,960,960,960,960,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0
unique,,6,2,2,1,,,,,,,,,,,,,,,
top,,HiSSE,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,,270,480,602,960,,,,,,,,,,,,,,,
mean,180.2375,,,,,0.8504396026973541,0.17997943661416757,0.18844286926202317,0.2083698890790862,0.20367487295661643,0.21142516468495376,0.22200635679205888,0.20520834152688625,0.2043423107882448,0.1975348347776528,0.20054328404010813,0.20239530251070967,0.2536828972194432,0.20001137324122323,0.19765660786098577
std,113.25215183706098,,,,,1.7558968043147594,0.08885210609472421,0.0939905049643017,0.08643025769763632,0.08539449868289155,0.09267508452415835,0.11148252043876322,0.08724388868573091,0.08753649909246682,0.0966146585365549,0.0980913107231048,0.09766972152130166,0.13620023711502718,0.09907886657031616,0.09776293310598815
min,0.0,,,,,0.500345786308601,8.203966901536434e-06,0.0,9.517641300927944e-09,6.69499308871873e-05,1.7771269021251852e-08,5.3692003882529055e-11,8.080407917891961e-11,3.6645873456266974e-06,1.825326810026662e-07,3.010277955999765e-07,3.3043307595838566e-05,1.973182090000103e-06,3.27514221801316e-06,5.251074774490038e-05
25%,86.75,,,,,0.5994784478450594,0.13024438881602085,0.1353680467285584,0.16932272022324668,0.16281285431913284,0.16795272801379446,0.1606833365428835,0.16363476252526665,0.1590776268350852,0.14714528791307926,0.15298983524493975,0.15676475008921106,0.17034295733459617,0.1483243716687171,0.14537787822831938
50%,164.0,,,,,0.6564949047757529,0.18778790006389262,0.2015012384936294,0.2276040903935559,0.2177055507416753,0.2254012269629024,0.2252699544355729,0.22404616330192614,0.22287692318674424,0.21070740366482676,0.21408500533611213,0.21665853248050435,0.25934297343979296,0.2111520794777875,0.2095562820573102
75%,269.25,,,,,0.7503818403971773,0.23742210955607534,0.24592840080664727,0.2549311552104299,0.25318531570504943,0.2577528871647113,0.28019999349489433,0.2557966469749593,0.25490602494650977,0.25448862239012093,0.25654374210852154,0.2589706702924408,0.34385494477068473,0.2601897061801552,0.2552764993957233
max,399.0,,,,,35.4844691069326,0.5517360305912471,0.5404517882512151,0.5999924646771604,0.4749805339197969,0.5946460388966976,0.8161889450850408,0.5206474188461621,0.5298267260886202,0.5963147651388,0.6103079460020793,0.5808728153359121,0.86846440701969,0.5282624148067934,0.6886771584709064
