,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,284.0,284,284,284,284,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0,284.0
unique,,3,2,2,1,,,,,,,,,
top,,OU,mcar,ultrametric,continuous,,,,,,,,,
freq,,138,142,212,284,,,,,,,,,
mean,178.09154929577466,,,,,0.253528444772008,0.6953047826143427,0.7038554415496056,0.7840760643107113,0.778904971159166,0.8023300059745909,0.7140615330295754,0.723904914357102,0.7475870830573661
std,119.73846086201934,,,,,0.21112144197748903,0.29136570360343783,0.29843841159867496,0.5345345290520943,0.30085219276140823,0.30754007784256576,0.3012076474938332,0.2809045098955504,0.3146908112855553
min,0.0,,,,,7.33137435857406e-05,0.0103969052339308,0.0164615511941419,0.0139109625698684,0.1015692590417979,0.1221678872728257,0.0059446657644316,0.0077771558550608,0.06275355177772
25%,74.75,,,,,7.34414554417897e-05,0.5150192773728446,0.5282410887317472,0.5861851694529232,0.5877464685537269,0.6055146089313893,0.5482774703266553,0.5461766811926676,0.5594408091615238
50%,160.5,,,,,0.2833292370505155,0.6895980103486128,0.6916609628425321,0.7560796489661055,0.7845527667553208,0.7992861683277195,0.7209740196325319,0.7400116702163204,0.7469629151821641
75%,282.25,,,,,0.448659077267747,0.8565299006614913,0.8558156169312503,0.931447782361755,0.9260927855080919,0.9430977953621063,0.8803503430437547,0.9262057922512295,0.895910242604872
max,397.0,,,,,0.595123978263772,1.6953554321023794,2.323869584722714,7.723249526510616,1.993424081953987,2.3313755402134686,2.1345151887037592,1.524332166282052,2.0957077081566737
