,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
t1,-0.17084841,-2.993074,2.5346317,1.9770064,5.6763783,3.3233502,3.682835,6.983549,2.9480822,5.9212804,4.0267215,5.754467,5.097994,5.2450533,6.065422,4.6037183,6.8043237,4.6425815,2.6951535,5.3571568,5.8003235,4.452858,5.361955,4.2879853,5.733289,3.0486252,8.295518,6.392795,6.1425147,5.33185,6.4458437,5.2947154,4.6113515
t2,-0.1585753,-2.9852092,2.4850702,1.9791929,5.6916513,3.2539797,3.694572,6.999082,2.9772794,5.9018526,3.9900715,5.7311044,5.1339774,5.288966,6.039998,4.5840187,6.77472,4.6755986,2.7353623,5.384916,5.8008275,4.4061866,5.3825607,4.245021,5.6991277,3.0204024,8.264279,6.3618917,6.108521,5.362515,6.4856853,5.323601,4.6164556
t3,-0.1785453,-2.9926283,2.5057669,1.9526932,5.6861324,3.3515997,3.667396,7.013408,2.9160776,5.947022,4.0567656,5.7769504,5.0904818,5.2761645,6.0920935,4.5773416,6.789372,4.6601467,2.6655102,5.3468814,5.823492,4.4291916,5.3616076,4.310907,5.708617,3.0480185,8.303106,6.418064,6.1680694,5.33232,6.469855,5.311631,4.6141853
t10,-0.15456738,-3.0031545,2.4652119,1.9360765,5.6671777,3.2690098,3.658986,7.034301,2.9501126,5.937561,3.9922352,5.767714,5.1496205,5.3091598,6.0714397,4.5456467,6.7655277,4.69359,2.7275603,5.365315,5.825695,4.3962164,5.4070916,4.2508464,5.669848,3.0325367,8.27883,6.372433,6.101803,5.3511834,6.4964275,5.3190565,4.5994353
t11,-0.21489108,-2.9580305,2.4617603,1.9321749,5.6997633,3.2885237,3.6617534,7.0487742,2.9180915,5.981492,4.0572505,5.8082294,5.1364155,5.331159,6.123771,4.550232,6.7551293,4.6952915,2.6574397,5.3912525,5.8635373,4.3762317,5.3693686,4.2406983,5.67955,2.9757047,8.252231,6.3833942,6.1456933,5.384117,6.511994,5.365451,4.632791
t7,-0.14008117,-3.0214171,2.50664,1.9494562,5.6504517,3.3065076,3.6587474,7.004015,2.9554677,5.922412,3.9894376,5.757812,5.1267056,5.2623153,6.0597467,4.5680633,6.7925076,4.6661,2.729192,5.3406568,5.802098,4.4414926,5.399818,4.277813,5.698106,3.0678046,8.307523,6.381693,6.106293,5.3200808,6.4588456,5.28312,4.587111
t8,-0.1350065,-3.033292,2.5154712,1.9348346,5.6313534,3.3317537,3.6406953,7.004052,2.9543228,5.9342456,3.9851394,5.7738485,5.127682,5.2495284,6.0715294,4.5596247,6.799072,4.665991,2.727262,5.3240814,5.8046274,4.45679,5.404676,4.2786098,5.7002187,3.0800345,8.322761,6.380044,6.0992846,5.306036,6.4505053,5.270011,4.5763226
t21,11.014147,6.1309037,8.883852,3.170766,-0.8863323,6.309116,-1.4457581,8.289574,5.890969,4.4121194,5.6221204,4.892847,4.206324,6.107063,5.0634227,3.9318397,6.896633,4.994051,1.9165895,7.0406804,6.0002365,6.2135744,4.704393,6.4539886,4.316702,4.3503575,6.912883,6.485396,3.9121373,6.5208373,6.1407695,6.9643774,2.2470353
t36,11.4293375,6.2434964,8.865296,3.198577,-0.8486395,6.2536387,-1.4122066,8.138757,5.8105464,4.392412,5.617323,4.8476405,4.2427406,6.174377,5.0859165,3.9917936,6.885644,4.992385,1.9122032,7.078653,6.031081,6.2253633,4.7926607,6.5154138,4.3913174,4.3280644,6.8529835,6.520986,3.9916296,6.5574603,6.2453494,6.964586,2.189786
t41,11.532156,6.253277,8.8591,3.2066362,-0.84120476,6.253274,-1.337438,8.085878,5.801365,4.379434,5.6153936,4.8348117,4.2547827,6.1944695,5.0969048,4.011288,6.8862057,4.997591,1.9079108,7.0806394,6.035904,6.2378926,4.799971,6.514815,4.408696,4.322123,6.8399825,6.532979,4.006346,6.5708604,6.265244,6.970537,2.1758037
