"accepted_species","trait_ARD"
"t3","0"
"t4","1"
"t6","0"
"t10","1"
"t125","0"
"t126","0"
"t51","0"
"t109","0"
"t164","0"
"t165","0"
"t62","0"
"t68","1"
"t69","1"
"t38","0"
"t26","0"
"t23","0"
"t11","1"
"t9","0"
"t15","1"
"t16",NA
"t20","0"
"t156","0"
"t157","1"
"t133","1"
"t79","1"
"t80","1"
"t41","1"
"t180","0"
"t181","0"
"t148","1"
"t88",NA
"t98",NA
"t99","0"
"t96","0"
"t182",NA
"t183","1"
"t179","1"
"t110","1"
"t111","1"
"t90","0"
"t123","0"
"t124","1"
"t85","1"
"t86",NA
"t87","0"
"t60","1"
"t61","1"
"t55","1"
"t81","0"
"t91","1"
"t173","1"
"t174","1"
"t36","0"
"t37","0"
"t83","0"
"t154","1"
"t155","1"
"t73","1"
"t162","0"
"t163","1"
"t92","0"
"t108","1"
"t129","1"
"t138","0"
"t139","0"
"t94","1"
"t117","1"
"t118","1"
"t65","1"
"t114","1"
"t115","1"
"t104","0"
"t120","1"
"t121","1"
"t45","0"
"t46","0"
"t17","0"
"t8","1"
"t13","0"
"t14","1"
"t52",NA
"t53",NA
"t43","0"
"t97","0"
"t142","0"
"t143","0"
"t150","1"
"t151","1"
"t27","1"
"t71","1"
"t72","0"
"t149","1"
"t177",NA
"t178","1"
"t101","0"
"t135","0"
"t136","0"
"t100","0"
"t78","1"
"t54","1"
"t48","0"
"t44","1"
"t169","0"
"t170",NA
"t140","0"
"t141","0"
"t130",NA
"t82","0"
"t63","1"
"t64","1"
"t21","1"
"t22","1"
"t18",NA
"t19",NA
"t42","0"
"t58","0"
"t59","1"
"t112","1"
"t113","1"
"t146","1"
"t147","1"
"t137",NA
"t89","0"
"t103","0"
"t167","0"
"t168","0"
"t166","0"
"t106","0"
"t107","0"
"t84","1"
"t95","1"
"t184","1"
"t185","1"
"t93","1"
"t175","1"
"t176","1"
"t131","1"
"t132","1"
"t152","0"
"t153","0"
"t134","0"
"t119","1"
"t35","0"
"t160","1"
"t161","1"
"t49","0"
"t50","0"
"t122","0"
"t158","0"
"t159","0"
"t144","1"
"t145",NA
"t105","1"
"t171","0"
"t172","0"
"t116","0"
"t127","1"
"t128",NA
"t102","0"
"t70","1"
"t74","1"
"t75","1"
"t34","0"
"t76","1"
"t77",NA
"t29","1"
"t56","0"
"t57","0"
"t47","0"
"t24","1"
"t28","1"
"t32","0"
"t33","1"
"t31","1"
"t66",NA
"t67","1"
"t39","0"
"t40","0"
"t30",NA
"t25","0"
"t12","1"
"t7","1"
"t5","1"
"t2","0"
"t1","1"
