,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
t52,0.73394215,5.142071,-1.1093805,-1.2326194,0.29399145,7.101078,5.8168607,7.558088,5.255767,3.0112188,5.835921,5.159523,4.473874,4.413198,8.057585,5.5831923,2.763007,4.8504257,4.7656174,1.6365234,2.7910593,6.4623075,2.8708751,6.317281,4.3745317,6.4021387,2.6498697,4.1103015,4.4673996,5.874395,5.574795,4.124457,5.4449735,4.911227,1.3173097,3.9116495,3.3611224
t59,0.7143129,5.100942,-1.130144,-1.1926062,0.2996376,7.10868,5.7864723,7.594767,5.2690005,3.017306,5.8772354,5.1980233,4.465329,4.446743,8.020211,5.572552,2.7757926,4.8938,4.8095427,1.6629187,2.7923646,6.504064,2.849441,6.319987,4.3356295,6.3700647,2.6080837,4.111303,4.48991,5.87115,5.6091995,4.0953007,5.434217,4.917724,1.3068734,3.9034717,3.3493714
t60,0.71363163,5.122156,-1.1287136,-1.2139673,0.29019475,7.0930657,5.7960544,7.561517,5.272924,3.0206892,5.846847,5.164942,4.4726415,4.4340525,8.037859,5.5903616,2.782009,4.869292,4.7845078,1.6566095,2.8002002,6.4775434,2.8485823,6.3243456,4.3586946,6.381503,2.6370292,4.1187596,4.467391,5.893674,5.5860033,4.105432,5.4291115,4.9307,1.2960721,3.8912845,3.3678205
t55,0.6988302,5.094667,-1.1533504,-1.1860737,0.28552267,7.081748,5.7709413,7.5975513,5.2940254,3.010168,5.8804293,5.2001605,4.489802,4.459345,8.035288,5.602151,2.7945802,4.9002533,4.8140407,1.6529441,2.819357,6.509594,2.83295,6.340311,4.3289843,6.3599234,2.6047397,4.1368594,4.4624724,5.8870835,5.61728,4.0814037,5.4088984,4.9454613,1.2764999,3.8722284,3.355083
t73,0.67164576,5.0866127,-1.1858193,-1.1781423,0.26295987,7.0448914,5.7527175,7.598828,5.3279443,3.0071921,5.8809986,5.200107,4.5223017,4.473969,8.0522785,5.642069,2.8218298,4.904723,4.817729,1.6495043,2.8554723,6.5134907,2.8068697,6.364927,4.321899,6.346121,2.6029427,4.1712317,4.425363,5.9170017,5.627902,4.062639,5.3745875,4.9875054,1.2310582,3.827113,3.3663235
t74,0.66967076,5.0759573,-1.188057,-1.1644676,0.26067543,7.045429,5.7468333,7.613691,5.331032,3.0090706,5.896112,5.2156906,4.5262127,4.480875,8.054118,5.649115,2.8280468,4.91755,4.83152,1.6508949,2.8576636,6.5281873,2.8058453,6.366461,4.3078327,6.3365707,2.587921,4.1745358,4.4155765,5.909002,5.6364603,4.053894,5.371117,4.9843583,1.2343845,3.8282661,3.365329
t174,0.53100437,4.772421,-1.5586468,-0.7760882,0.04936236,6.8201957,5.179039,7.722417,5.551332,3.025579,6.042371,5.3563385,4.777227,4.9778953,8.182048,6.021273,3.2623806,5.1697054,5.1724486,1.6724116,3.1056588,6.860532,2.270436,6.5235667,3.9898496,6.078812,2.3334265,4.3853407,3.9704027,5.834347,5.7095394,3.6874318,5.113029,5.063969,1.0254375,3.5464294,3.5461051
t175,0.55256814,4.8284245,-1.5045271,-0.84308535,0.028278895,6.7850385,5.253764,7.745484,5.590268,3.0431118,6.022754,5.3288307,4.7388244,4.899612,8.225305,6.040666,3.2542262,5.121827,5.111477,1.6603167,3.0792344,6.834518,2.3254168,6.5135894,4.020049,6.1315985,2.3344524,4.410022,3.9733946,5.810773,5.6951613,3.7246783,5.109228,5.0487566,0.9967198,3.5512905,3.5665162
t154,0.5771378,4.8843884,-1.4524676,-0.93506044,0.07674606,6.8737593,5.3071313,7.7520213,5.4953175,3.0674555,6.062041,5.351812,4.6699114,4.8570414,8.13567,5.936642,3.1554966,5.133529,5.046837,1.7035155,3.022329,6.772704,2.3937862,6.4971914,4.0734353,6.1072354,2.400357,4.3275266,4.0861263,5.854194,5.6639385,3.78355,5.178691,5.016126,1.0711251,3.6135,3.5418289
t88,0.6267948,4.994074,-1.2797403,-1.0692139,0.22351167,6.9990134,5.651067,7.733235,5.4013743,2.9827142,5.99661,5.322584,4.583667,4.5687,8.063999,5.7159452,2.8829768,5.0095844,4.923346,1.6358413,2.9258957,6.637066,2.739531,6.4108586,4.2075367,6.2726297,2.4848235,4.2334948,4.3743687,5.8808446,5.7254066,3.9673455,5.3033605,5.01702,1.1774722,3.7637064,3.337138
