,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
t52,-0.17063406,4.896513,-0.4092175,2.8319888,1.6527473,0.03195289,13.358261,-0.15793239,-0.17537592,3.4179077,-0.053384807,4.1662693,4.659067,1.0156276,-0.046354014,4.046065,3.737919,1.079416,-0.022071362,-0.19476551,1.2113961,-0.37749368,0.8075394,-0.1330045,-0.31022176,7.863943,-0.0018120949,3.064302,-0.109123915,0.19585136,8.480491,7.622426,1.7789606,3.4844003,-0.42558086,3.1100097,-0.060751453
t59,-0.16366519,3.933136,-0.46057272,2.296497,0.93478435,0.016179126,12.37031,-0.10390886,-0.15746354,2.9839022,-0.05033129,4.4096828,4.9434314,0.66928303,-0.050604977,3.6933684,3.062625,0.6449639,-0.014997971,-0.18827473,1.450326,-0.35956615,0.76512986,-0.11523541,-0.30021623,7.7171664,-0.0024365915,3.0925436,-0.12002122,0.18548588,7.8460264,7.7388597,1.6971289,2.0241997,-0.4263864,2.9058952,-0.024387728
t60,-0.15960997,5.5671306,-0.38302115,3.1949968,2.13895,0.044622585,13.904846,-0.20804559,-0.18567461,3.6583197,-0.06175586,3.9888306,4.3888245,1.1636893,-0.04454341,4.293432,4.15266,1.4492254,-0.029080447,-0.18930207,1.0092529,-0.393363,0.77262044,-0.14092578,-0.32560825,7.891354,-0.0015907147,3.0565932,-0.10340738,0.20251028,9.013652,7.4632053,1.99989,4.5171638,-0.41566545,3.3278089,-0.07733219
t55,-0.16132051,3.8029933,-0.47056976,2.2405097,0.7941558,0.014237447,12.21979,-0.09860927,-0.1551843,2.9314451,-0.04887439,4.443788,5.000023,0.64862,-0.051299077,3.622779,2.9770033,0.6062934,-0.013725893,-0.18772052,1.484293,-0.3590632,0.7429033,-0.11439084,-0.3005665,7.6928735,-0.0025747148,3.1081998,-0.11982681,0.18345961,7.726305,7.778654,1.6796353,1.8296406,-0.4303049,2.8803666,-0.017486818
t73,-0.16303061,5.223183,-0.3945111,3.0138118,1.8870227,0.039012235,13.688218,-0.19185641,-0.18166144,3.5430214,-0.058756083,4.119778,4.538273,1.0794963,-0.04545007,4.212187,3.941716,1.215355,-0.02539672,-0.20045471,1.1231325,-0.39101335,0.83750707,-0.13689014,-0.3108541,7.90624,-0.001550215,3.0032232,-0.10624404,0.19973211,8.751703,7.632726,1.8945938,3.97095,-0.41051173,3.228601,-0.07245365
t74,-0.14105707,6.279867,-0.37670854,3.5563736,2.4753685,0.05635231,14.370361,-0.25315404,-0.20115332,4.0146346,-0.06894568,3.8937564,4.2068295,1.3711245,-0.04014836,4.4358125,4.4945602,1.789611,-0.033165663,-0.18613152,0.8710768,-0.39997497,0.6792112,-0.15048526,-0.33065113,7.8693476,-0.00085703324,3.0534928,-0.0886185,0.20995234,9.534159,7.446815,2.22671,5.4976788,-0.41829497,3.5915742,-0.08336414
t174,-0.1471373,17.544712,-0.5034923,8.719346,7.359392,0.21857709,24.498,-0.7304934,-0.35362983,9.157072,-0.16454451,3.1895745,3.9055102,5.42567,-0.033667255,4.373766,11.622412,7.238206,-0.10496731,-0.16233383,-0.028940072,-0.5353038,0.00925281,-0.25451052,-0.7519357,9.384174,-0.01790596,6.613676,-0.01398298,0.41610575,19.278248,5.2032905,7.1686554,19.91415,-0.45726752,5.9762836,-0.36602637
t175,-0.15289514,16.659792,-0.4912807,8.444476,6.917874,0.20545872,23.93098,-0.6889487,-0.34452826,8.824722,-0.15654562,3.2519436,4.1771865,5.2615914,-0.035099756,4.206432,11.276404,6.855695,-0.10007671,-0.16330744,-0.023374189,-0.5268805,0.008327632,-0.24640943,-0.7394539,9.553949,-0.017842073,6.4324646,-0.018851522,0.40444198,18.752724,5.4934883,6.884688,18.801716,-0.47123048,5.8755326,-0.34337035
t154,-0.14688413,12.044032,-0.5077272,6.6868205,4.2130117,0.135044,20.653849,-0.4783318,-0.28429377,6.8978868,-0.115763836,3.875867,5.39769,4.06439,-0.03939251,3.342286,8.902547,4.927099,-0.07175937,-0.1967493,0.47671402,-0.4830953,0.006264486,-0.23152797,-0.6747,10.150756,-0.016729128,5.5167003,-0.04607098,0.34364614,15.7360325,7.3100824,5.4424324,12.984781,-0.53993833,5.1976542,-0.20990098
t88,-0.167904,7.263132,-0.5415244,4.751791,1.5394727,0.06157078,17.201344,-0.2551378,-0.21405518,4.683006,-0.08000631,4.6622043,6.572912,2.6556218,-0.04375554,2.502334,6.373206,2.8839033,-0.039966345,-0.22902533,1.2345667,-0.44841254,0.0029737123,-0.2041369,-0.58997554,10.641961,-0.015621644,4.735821,-0.07698506,0.2791659,12.402621,8.943609,3.8691394,6.721423,-0.5858486,4.3330283,-0.08561244
