,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
t1,2.7566392,0.54077494,3.9323165,7.406114,3.868942,6.9412503,4.541652,6.098105,3.8890302,6.2864037,6.5028534,4.281315,7.3384075,5.1774178,5.0045104,4.1855774,5.4618444,5.5565176,5.0689,5.1537213,5.74333,3.952132,4.3659143,3.972657,2.6877508,3.8355303,3.0254433,3.115966,3.7161453,4.2210145,4.938201,5.6626997,4.3888507,3.233675,4.409507,5.119676
t2,2.831911,0.5658019,3.8759608,7.4974356,3.9380112,6.9855537,4.580397,5.9824595,3.814585,6.2498755,6.5140386,4.2681403,7.327034,5.111672,4.907481,4.2646756,5.368285,5.489514,4.9664583,5.0876455,5.790943,3.9564579,4.3244557,4.0283756,2.7629437,3.812259,2.9890368,3.0804563,3.714081,4.1579056,4.9854517,5.5735536,4.2936597,3.29806,4.433037,5.0036645
t3,2.8432004,0.58654296,3.8615928,7.533216,3.9440956,6.9941454,4.589254,5.9622884,3.8007872,6.240505,6.518532,4.260747,7.321018,5.0959544,4.891608,4.279134,5.347548,5.4796777,4.947437,5.076067,5.7982025,3.958555,4.311562,4.03943,2.778312,3.810325,2.9805338,3.069881,3.7090528,4.141237,4.989453,5.550154,4.279224,3.3158784,4.4415727,4.981356
t4,2.7288723,0.498746,3.960865,7.339649,3.8531945,6.9318438,4.526098,6.1556005,3.92286,6.293988,6.500417,4.2870526,7.3383527,5.2058372,5.040363,4.15307,5.499136,5.583335,5.1245837,5.1762366,5.727105,3.9511518,4.3764887,3.951323,2.6608412,3.837388,3.0389156,3.126519,3.7209764,4.247451,4.921801,5.700227,4.433744,3.2069285,4.4017897,5.1758676
t5,2.854259,0.5166907,3.8412843,7.4957266,3.9756837,7.0074253,4.6105022,5.958121,3.825236,6.2508583,6.5069833,4.274075,7.33515,5.082551,4.8771152,4.286572,5.335747,5.4654927,4.9422092,5.0495543,5.824097,3.9382913,4.310567,4.043343,2.7781093,3.7952662,2.953655,3.073919,3.7061257,4.129977,4.993861,5.549296,4.2708406,3.3216329,4.432004,4.979015
t6,2.8709872,0.5944567,3.8259482,7.574307,3.9847102,7.0111766,4.6144094,5.911616,3.7866187,6.2333293,6.516078,4.243251,7.3151035,5.0653844,4.8363667,4.316232,5.3056855,5.466774,4.8865523,5.0498757,5.8176737,3.9497173,4.289133,4.0564036,2.8060946,3.8060799,2.95333,3.0584886,3.6941028,4.106103,4.9852824,5.5034046,4.2481937,3.351398,4.4513373,4.9171314
t7,2.886525,0.66657454,3.8246934,7.6355686,3.9632268,7.0211906,4.6150203,5.889984,3.7525628,6.2064805,6.5303297,4.2251678,7.298583,5.049853,4.83346,4.334459,5.2792926,5.467378,4.8703427,5.048994,5.8131237,3.9649842,4.2666526,4.0649195,2.8340642,3.8121293,2.9540644,3.038036,3.6890044,4.0882325,4.979856,5.473389,4.239932,3.3746915,4.472612,4.8907185
t8,2.9933221,0.7815092,3.746812,7.7300115,3.971334,7.0150642,4.6566553,5.7365947,3.6398015,6.284324,6.4559784,4.2961044,7.4115124,5.0640597,4.784255,4.4255133,5.2560563,5.382621,4.7269006,4.992462,5.9006014,3.9024904,4.3522468,4.0572,2.8574226,3.767691,2.9172707,3.1089716,3.7367067,4.097084,5.031054,5.521344,4.095213,3.320739,4.3994613,4.7389975
t9,2.9044197,0.660188,3.8091114,7.627242,3.9727285,7.013362,4.621225,5.863339,3.7411008,6.236683,6.509245,4.2528095,7.3314166,5.059429,4.8304224,4.3428535,5.2889137,5.442396,4.847416,5.036624,5.834053,3.945772,4.2977085,4.0609303,2.823991,3.799294,2.949113,3.0630133,3.704367,4.1013684,5.00157,5.5015473,4.207016,3.3494256,4.4451675,4.872602
t10,2.735001,0.42591363,3.9730237,7.2688475,3.906834,6.945079,4.5254292,6.156442,3.9369652,6.279184,6.5052886,4.2727947,7.3192205,5.205042,4.994677,4.1644297,5.4903297,5.5972843,5.1230297,5.176048,5.7244267,3.955591,4.361378,3.9545956,2.6730158,3.8351998,3.037695,3.118551,3.7173924,4.2432623,4.914588,5.683383,4.4401226,3.2146487,4.4083424,5.169127
