,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
t40,-0.05534242,8.748004,0.42947125,3.1152735,4.2463183,7.814062,5.08921,5.993364,6.3625503,3.8645651,5.6218505,6.312905,2.7750947,8.0027075,5.551573,4.5899634,3.3681214,8.887515,8.930634,4.586237,5.1620884,2.3066018,7.112413,7.5827756
t41,-0.09931613,8.751171,0.37039077,3.1572294,4.275304,7.7779374,5.1184516,6.0104346,6.384904,3.806129,5.5977235,6.363941,2.836585,7.969794,5.586039,4.621953,3.3486876,8.853988,8.909856,4.6452174,5.1596236,2.3333454,7.0848875,7.561811
t19,-0.1396972,8.767595,0.48650688,3.1109715,4.27366,7.8004317,5.1649466,5.990435,6.3692517,3.9252923,5.607803,6.3937683,2.744756,8.046808,5.500736,4.6621876,3.4058583,8.93293,8.915705,4.573744,5.188687,2.3209455,7.0950875,7.5922956
t60,-0.1635015,8.772832,0.47877094,3.1221442,4.288941,7.787778,5.195238,5.993723,6.37752,3.9180102,5.597277,6.4198847,2.7584827,8.051625,5.4971914,4.692069,3.4131062,8.937373,8.9082775,4.5847387,5.198443,2.3318233,7.0839777,7.5894594
t69,-0.053973306,8.79487,0.4775986,3.1440692,4.2939677,7.759148,5.1193485,6.0524316,6.416046,3.9120543,5.5652857,6.3084607,2.7548904,7.964967,5.587551,4.6238837,3.318286,8.850176,8.867471,4.568127,5.222633,2.3641253,7.057177,7.5276375
t70,-0.10579739,8.821309,0.54981905,3.098552,4.2933884,7.784931,5.1705875,6.0382195,6.4084654,3.9868124,5.5712757,6.348951,2.6859872,8.040453,5.51036,4.6671915,3.3674386,8.926249,8.877332,4.508119,5.253457,2.3528442,7.0679693,7.5503583
t39,-0.12925333,8.815756,0.50820106,3.1188118,4.304231,7.7731447,5.1793575,6.035343,6.413211,3.9449065,5.5673766,6.384441,2.7237837,8.028556,5.5267344,4.6790557,3.3681016,8.913214,8.881263,4.545502,5.2402205,2.3577642,7.0613947,7.5492435
t9,-0.14055757,8.74696,0.41030616,3.1242592,4.2680893,7.7994804,5.1288204,5.9809756,6.3593764,3.8530397,5.614674,6.391737,2.8089838,8.04256,5.50047,4.6285276,3.407434,8.92899,8.91484,4.633763,5.163744,2.316774,7.098198,7.5982456
t23,-0.18382008,8.765829,0.39746267,3.1671786,4.310009,7.753001,5.187681,6.0085864,6.393082,3.8385823,5.579147,6.447341,2.833368,8.011993,5.5345855,4.6893396,3.3882535,8.897894,8.888538,4.6586504,5.1806526,2.3543801,7.0603905,7.571006
t24,-0.15098384,8.780847,0.45429575,3.1331441,4.2975445,7.7746263,5.1803064,6.009416,6.389951,3.8942013,5.5847044,6.4075828,2.7802205,8.030799,5.516586,4.680037,3.3933585,8.91676,8.890574,4.605744,5.204871,2.3451562,7.071183,7.5735464
