"accepted_species","traits"
"t7",0
"t15",0
"t19",0
"t20",NA
"t21",1
"t22",0
"t23",1
"t24",0
"t25",0
"t27",0
"t28",0
"t29",0
"t33",0
"t34",0
"t35",0
"t36",0
"t39",0
"t40",NA
"t42",0
"t43",0
"t45",0
"t46",0
"t47",0
"t50",0
"t51",0
"t52",0
"t53",NA
"t54",0
"t55",1
"t56",0
"t57",0
"t58",0
"t59",NA
"t60",0
"t61",0
"t62",0
"t65",0
"t66",1
"t67",0
"t68",0
"t69",0
"t70",NA
"t71",0
"t72",0
"t73",0
"t74",0
"t75",0
"t76",0
"t79",0
"t80",0
"t81",0
"t82",0
"t83",0
"t84",0
"t85",1
"t86",0
"t87",1
"t88",0
"t89",0
"t90",0
"t91",0
"t92",0
"t93",0
"t94",0
"t95",0
"t96",NA
"t97",0
"t98",0
"t99",0
"t100",0
"t101",0
"t102",0
"t103",0
"t104",0
"t105",0
"t106",0
"t107",0
"t108",0
"t109",0
"t110",NA
"t111",0
"t112",0
"t113",0
"t114",0
"t115",NA
"t116",0
"t117",NA
"t118",NA
"t119",0
"t120",0
"t121",0
"t122",0
"t123",0
"t124",0
"t125",0
"t126",0
"t127",1
"t128",1
"t129",0
"t130",0
