"accepted_species","trait_ARD"
"t29","1"
"t30","1"
"t21","1"
"t97","1"
"t98","1"
"t24","0"
"t68","0"
"t69","0"
"t45","0"
"t3","0"
"t4","0"
"t20","1"
"t19","0"
"t83","0"
"t84","0"
"t73","0"
"t74","0"
"t49","1"
"t77","0"
"t78","0"
"t72","0"
"t7","1"
"t8","0"
"t6","1"
"t11","0"
"t34","1"
"t12","1"
"t16","0"
"t79","1"
"t80","1"
"t42","1"
"t59","1"
"t60","1"
"t95","0"
"t96","0"
"t50","0"
"t51","0"
"t48","0"
"t91","1"
"t92","1"
"t15","0"
"t33","1"
"t87","1"
"t88","1"
"t10","1"
"t9","1"
"t1","1"
"t32","1"
"t81","0"
"t82","0"
"t66","0"
"t67","0"
"t57","0"
"t58","0"
"t31","0"
"t52","1"
"t53","1"
"t22","0"
"t13","1"
"t14","0"
"t99","1"
"t100","1"
"t40","0"
"t41","1"
"t26","0"
"t18","0"
"t37","1"
"t38","0"
"t27","0"
"t28","0"
"t70","0"
"t71","0"
"t25","1"
"t61","1"
"t75","0"
"t76","0"
"t62","0"
"t63","1"
"t64","0"
"t65","1"
"t46","0"
"t47","1"
"t35","0"
"t55","0"
"t56","0"
"t5","1"
"t85","1"
"t86","0"
"t36","0"
"t43","0"
"t44","0"
"t17","1"
"t23","0"
"t93","1"
"t94","1"
"t54","1"
"t39","1"
"t89","0"
"t90","1"
"t2","1"
