"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116"
"t1",-0.0465312310529663,-0.0412234599419659,0.00545525621978306,-0.000257521345945349,0.00758585230608053,-0.0264273591336792,0.00279388444158456,-0.00247081330801829,0.00355612968193091,-0.108407740553207,0.00115183405750636,0.0070982017772446,-0.0522390615346749,-7.52973690743654e-05,-0.00146896564547741,-0.00526986540751099,-0.0232667009424945,-0.0116227000018241,0.00887279293528999,-0.00257153275060643,0.00272547693538886,-0.00307649118535701,0.287979677475246,0.0125398005804685,-0.0209046995616292,0.688276662744822,0.0268321193601014,-0.190903168633848,0.170476576476252,-0.027267643681784,-0.0692361222123438,-1.77596393251363e-06,0.0264129494771433,0.0565544259611154,-0.00318192468556669,-0.0892567825463394,0.0150929651619461,-0.0246778860424768,-0.000240094639497083,-0.000681084185078587,2.91159751548038e-06,0.484048832441209,0.283622069787694,-8.79114867582676e-05,-0.0471285537879144,0.000580784922616532,0.0114184435633133,-0.00407521232967181,8.88536523088836e-15,-0.0027386613499818,-0.00142840427402643,0.000405055210649567,0.00121635329109415,-0.000443448033420617,-0.000155798986185074,0.00109342605049799,3.37784809198072e-05,-0.000135584162926031,-0.00014976064794201,-0.111629869389453,2.1879230549721e-05,-3.06934858293059e-17,0.000195054194213415,-0.00591526079613412,-3.71468174879219e-16,3.16296257550825e-05,3.25420243989223e-05,-8.47179164620252e-06,0.000202256546620913,-3.8461355009604e-05,3.89338341882064e-16,8.74417044908123e-06,5.04998218777031e-16,-5.4493243227161e-05,7.34607386311268e-05,2.03822117967525e-16,-2.44714668597738e-16,-4.50893099335299e-16,-4.28494030638075e-05,0.000584447471479291,-9.77399606597418e-06,-1.44431759530628e-16,0.00355907669574854,-2.01736460540402e-05,0.000720384981055064,-4.72055148149177e-05,-3.97629647605533e-16,8.368620890445e-16,6.80918251013377e-06,-4.09551782265476e-17,0.000360173608200809,-0.000223440974106628,-1.74094692648132e-05,7.49484951876858e-17,8.21279006430091e-17,-0.000385242913813472,3.66153104378553e-16,4.07041701428283e-16,4.89709459205843e-16,6.01813690011912e-17,2.03562248703128e-16,4.51925836170041e-17,1.49198440358839e-15,5.51580355425215e-05,7.78476115141085e-06,-6.95194379896687e-16,-1.32707024604297e-15,-1.67744551953054e-17,-3.99728892445196e-16,4.57917945860126e-16,2.96375902783148e-15,-1.87666824218816e-14,-3.26112050486234e-15,1.56678663964104e-15,-3.77206133878513e-14,-0.0928476690885228
"t3",-0.0224860499631938,-0.0837975198703197,0.00204321348462666,-0.000187454146604842,0.00252130541763598,-0.0364724903016305,0.00177158121655112,-0.00186818162826947,0.00274104200777657,-0.0842513370044176,0.000864271434425591,0.00512575665827981,-0.0155619770423428,1.10939177164924e-05,-0.00148288167781267,-0.00400185462149954,-0.00752779950858619,-0.0144916605237961,0.00630220863145633,-0.00169199244755277,0.00173707640922185,-0.00216844398263943,0.113129345836928,0.0126088311314765,-0.0107042775661471,0.293374914248382,0.0110540232852324,-0.0683050581270681,0.0563699676131173,-0.0110250261557766,-0.0243509592982558,-5.20016641730944e-07,0.00709425234168692,0.0140135134161855,-0.000710972482909215,0.00151533796655718,0.00031317671845279,0.00903327357531285,8.84698515580102e-05,0.000278497030130527,-8.70770658885871e-05,-0.26435388999294,-0.20542151159452,5.65315299134258e-05,0.0383104961886842,-0.000490378623663614,-0.0099918760873312,0.00527934670973624,-1.03275615927483e-14,-3.54778191899505e-05,0.00260134507461422,-0.00083736362217206,-4.84334705561833e-06,0.00106121186803645,0.000452130940583473,-0.00831654917057568,-0.000139104671466285,0.000653194580527127,0.000342119136627672,0.867669809872698,-0.000435100011374784,4.26545855117294e-16,-0.00202020550497751,-0.00407970468359437,6.51508851659522e-15,0.00062166268682743,0.000318671735026556,-7.86402702490082e-05,0.000108555329486537,-0.000303858239321397,-3.18167414753594e-15,5.51586182873968e-05,-1.16820539156134e-15,-0.000314289079345344,0.000414976597209866,-1.80631301546026e-15,1.50846317239133e-15,2.48031683956752e-15,-0.000203414614076124,0.00027511471953547,-4.41930707284629e-05,1.96355187702105e-16,0.00163692308863784,-7.97380864360702e-05,0.00278596824361179,-0.000182374615927167,3.61884340877888e-16,-3.41454362548836e-15,2.47633540458254e-05,-3.58981279330816e-16,0.00129389336387717,-0.000758139141878424,-5.90315367700775e-05,1.8163005702035e-14,-7.17513668617821e-16,-0.0012258228341313,4.77224830099329e-16,4.15427684338344e-17,-1.20863332667013e-15,-2.01208123766749e-15,7.07721665182745e-16,-3.69553668441036e-16,5.14409115551288e-15,0.000162053333666309,2.27621279957769e-05,-1.24597956202334e-15,-1.8316554552419e-16,-1.93243655752306e-16,-2.60048933885302e-16,-2.54055704586962e-17,3.09311140130958e-15,-1.18246922180087e-14,-2.47971876937406e-15,4.17108429452851e-15,-3.79221112228361e-14,-0.0928476690885251
"t77",-0.0308709451905159,-0.18130557289206,-0.0113801230065311,-8.79297552605779e-05,0.00285360853632358,-0.266172188531649,-0.00874281822250137,0.00305144638209134,-0.00339579175470606,0.0761153530548523,-0.000495833963453142,-0.00270057006938315,0.00802104396322314,-5.73235830180073e-06,0.000778412056128789,0.00238955665026496,0.00507297405451765,0.255371192195402,0.0005413851591354,0.000246635405975334,-0.000275179890687154,0.402365577735711,-0.0161684830034166,-0.00195869040926635,0.00208369612346205,-0.126593182322542,-0.0250119660780309,-0.368208935207073,0.0263470222975716,-0.00433786479249922,-0.00773839991837858,-2.84992733722506e-08,0.000211523255173818,0.000215334020420768,-1.75728270798964e-06,-0.00715718926028859,-4.47447865183266e-06,-0.00019293226597125,-1.88950173000388e-06,-5.94008578509722e-06,1.85701555307443e-06,0.00555560597243106,0.00418496467602036,-6.9485459583398e-07,-0.000766955392604322,9.75507053175169e-06,0.000197532576038067,-9.59699371033813e-05,-2.864182172984e-15,6.18665807616464e-07,-4.31513369637829e-05,1.33843456802511e-05,7.69237993495617e-08,-1.62313518063606e-05,-6.51903332632989e-06,0.000187551159884994,1.80142449976992e-06,-8.08143366613505e-06,-3.84557150033945e-06,-0.0094594761217064,3.98622373461504e-06,1.03438583738429e-16,1.45669772219555e-06,2.94020216025968e-05,-1.61665720720852e-15,-3.96884694006075e-06,-1.49495815060402e-06,3.53249817886006e-07,-4.67977327798213e-07,1.15491031062806e-06,-9.14707682009262e-17,-1.40526977619094e-07,-1.84344423786476e-16,6.0573394329545e-07,-7.35156838878113e-07,-2.64925194145428e-16,-8.58153847543973e-16,-1.06402560392655e-15,5.39668724082724e-08,-6.91140076134839e-08,-1.08753478017148e-08,-1.98926946208719e-15,1.80039648299111e-06,-1.50390600405061e-07,6.08565304070603e-06,-4.0096175157238e-07,-4.08612737739986e-14,1.40940531601065e-14,7.66319377578505e-08,-8.3927925076683e-15,4.25554488330768e-06,-3.2258004196874e-06,-2.51870769876958e-07,0.707106781186549,1.02550011964959e-13,-6.71189880582874e-06,3.38996709294696e-14,-8.47222893669245e-15,6.14682762387219e-15,-3.20426448498361e-15,2.60052769507045e-14,-1.28858711033693e-15,-2.44100232724474e-14,1.17107306778753e-06,1.67100088215324e-07,1.03095599482863e-15,-4.12419534528427e-15,1.88908700102292e-15,-4.98806860917121e-16,8.75089816711774e-16,2.52021991438049e-15,-2.28426963379643e-14,-3.0613398246123e-15,2.69785427864896e-15,-3.94224667312263e-14,-0.0928476690885128
"t78",-0.0308709451905156,-0.181305572892059,-0.0113801230065307,-8.79297552607853e-05,0.00285360853632336,-0.266172188531648,-0.00874281822250135,0.00305144638209157,-0.00339579175470642,0.0761153530548504,-0.000495833963453279,-0.00270057006938315,0.00802104396322258,-5.73235830154349e-06,0.000778412056128467,0.00238955665026446,0.00507297405451753,0.2553711921954,0.000541385159135752,0.00024663540597447,-0.000275179890686089,0.402365577735714,-0.0161684830034168,-0.00195869040926688,0.00208369612346268,-0.126593182322541,-0.0250119660780306,-0.368208935207073,0.0263470222975734,-0.0043378647924993,-0.00773839991837936,-2.84992726759263e-08,0.00021152325517303,0.000215334020420306,-1.75728270681929e-06,-0.00715718926029102,-4.47447865064397e-06,-0.000192932265972973,-1.88950173173175e-06,-5.94008578517401e-06,1.85701555232851e-06,0.00555560597242991,0.00418496467601785,-6.94854600371085e-07,-0.000766955392603366,9.75507053130504e-06,0.000197532576039546,-9.59699371060185e-05,-6.72292673554381e-16,6.18665809644302e-07,-4.3151336964624e-05,1.3384345681685e-05,7.69238007804511e-08,-1.62313518079702e-05,-6.51903332792843e-06,0.000187551159886964,1.80142450037474e-06,-8.08143366253585e-06,-3.84557149287099e-06,-0.0094594761216814,3.98622372931644e-06,-3.80969714543913e-16,1.45669772201034e-06,2.94020216102629e-05,1.09429433750851e-15,-3.96884693951071e-06,-1.4949581452756e-06,3.53249813911717e-07,-4.67977328082179e-07,1.15491030530594e-06,-5.8576011677788e-18,-1.40526973311834e-07,9.89979649710096e-16,6.05733950555885e-07,-7.3515684462805e-07,3.16604631402683e-16,9.38729197872806e-16,9.26632777870591e-16,5.39668660008781e-08,-6.9114031706185e-08,-1.08753277453159e-08,1.60452083546534e-15,1.80039646735598e-06,-1.50390604210107e-07,6.085653032509e-06,-4.00961745011696e-07,3.94307676605294e-14,-1.5167748448557e-14,7.66319409109131e-08,8.56483235727894e-15,4.25554488220958e-06,-3.22580042076576e-06,-2.51870797920726e-07,-0.707106781186545,-1.02640893211151e-13,-6.71189907331583e-06,-3.43246263341688e-14,9.10959920086023e-15,-5.66173218954464e-15,2.77999048182638e-15,-2.37679206977623e-14,1.37914919663011e-15,2.6352242335601e-14,1.17107307757844e-06,1.6710006406408e-07,-2.38969335541641e-15,2.17508681916987e-15,-2.31339944086315e-15,-3.40142559800893e-16,1.51282373791732e-16,3.19807658765386e-15,-1.47048475320038e-14,-2.93015741587109e-15,-7.3599510448377e-17,-3.61956338476117e-14,-0.0928476690885429
"t19",-0.0305880178360539,-0.178042027546456,-0.0110060210604608,-8.43840761433245e-05,0.00273392408088004,-0.253344357755622,-0.00823837823570757,0.00282123872825577,-0.00310518564345135,0.0682574490066418,-0.000418892394735047,-0.0022202725116577,0.0063452360977409,-4.52585076403798e-06,0.000609432376883402,0.00182106059549882,0.0038207980851115,0.185216147165522,0.00037654384776043,0.000148608030990235,-0.000154470692101541,0.148315985312219,-0.00294198147497234,-9.41634021092131e-05,-0.000660281705895664,0.123621054632518,0.0344223180364897,0.555799027834328,-0.0471601649390393,0.00851136195132219,0.0161693341805986,1.46957477757641e-07,-0.00177469844335246,-0.00331061162109691,0.000166805479011732,-0.0695556160777756,-1.92525600648647e-05,-0.000489671664152566,-4.78873133401236e-06,-1.47179093013224e-05,4.59519901604061e-06,0.0129467876420876,0.00922172878581467,-1.51134459250513e-06,-0.00165421195617094,2.08970503021431e-05,0.000420476992516402,-0.000191840322991167,-0.707106781186544,1.2095911789064e-06,-8.25177356734815e-05,2.52354173015017e-05,1.44707355751403e-07,-3.01535112725034e-05,-1.19041002765672e-05,0.000337391596635838,3.20730835526408e-06,-1.42574892087184e-05,-6.6727533790271e-06,-0.0163373035233724,6.73265751081128e-06,-4.98735949668421e-16,2.42654434940895e-06,4.85717153424914e-05,4.96864755035e-15,-6.50055536922278e-06,-2.4086606346017e-06,5.68106551999519e-07,-7.51370398816507e-07,1.8458121397658e-06,-3.34949392949057e-16,-2.22186394026439e-07,-1.72601391260361e-15,9.52847160456403e-07,-1.1549808196951e-06,-5.22309449771176e-17,-9.37861440076381e-17,-2.37545355209047e-17,8.37970009373496e-08,-1.07305344457996e-07,-1.68224559752503e-08,2.75984732661398e-16,2.7677711827886e-06,-2.29928278073864e-07,9.2852014851094e-06,-6.11709465562844e-07,9.3123121261185e-16,9.44982017974691e-16,1.16211580952206e-07,-1.13584967396227e-16,6.4452822658156e-06,-4.85552621996258e-06,-3.79091720437835e-07,5.34670326574535e-16,1.04197045164689e-16,-1.00272474450531e-05,6.9867926710094e-16,3.44960910916532e-17,1.68770142379638e-16,-1.86447957239563e-16,-5.07494165853852e-16,1.12693448148004e-16,2.31094931361288e-15,1.73172679009178e-06,2.469394139401e-07,-1.13653081464123e-16,-1.28216360749103e-15,4.13185924129114e-16,-1.63912065006418e-16,-1.07266315189357e-16,2.53931873095023e-15,-1.61006534384827e-14,-2.94670811136178e-15,4.08019247094668e-15,-3.77152585711107e-14,-0.0928476690885175
"t20",-0.030588017836054,-0.178042027546456,-0.0110060210604608,-8.43840761433913e-05,0.00273392408088038,-0.253344357755622,-0.00823837823570758,0.00282123872825556,-0.00310518564345118,0.068257449006642,-0.000418892394735474,-0.0022202725116582,0.00634523609773983,-4.52585076421133e-06,0.000609432376883957,0.00182106059549918,0.00382079808511216,0.185216147165522,0.000376543847760849,0.00014860803099056,-0.00015447069210216,0.14831598531222,-0.00294198147497014,-9.4163402109591e-05,-0.000660281705895332,0.123621054632519,0.0344223180364898,0.555799027834322,-0.0471601649390356,0.00851136195132244,0.0161693341805978,1.4695747824583e-07,-0.00177469844335301,-0.0033106116210966,0.000166805479012642,-0.0695556160777758,-1.92525600648581e-05,-0.000489671664153548,-4.78873133550846e-06,-1.47179093000018e-05,4.59519901739187e-06,0.0129467876420639,0.00922172878580473,-1.51134459600492e-06,-0.00165421195617672,2.08970503061477e-05,0.000420476992506005,-0.000191840322895118,0.707106781186551,1.2095911968564e-06,-8.25177356384743e-05,2.52354173004239e-05,1.44707350498952e-07,-3.01535112726742e-05,-1.19041002864597e-05,0.000337391596640255,3.20730835563014e-06,-1.4257489207374e-05,-6.6727533791568e-06,-0.0163373035233669,6.73265751384068e-06,1.11177644171349e-15,2.42654435247662e-06,4.85717153398464e-05,-4.38561548697413e-15,-6.50055536907041e-06,-2.40866063488643e-06,5.68106553428645e-07,-7.51370397210952e-07,1.84581214012254e-06,6.34000858902398e-16,-2.22186394120783e-07,1.46598745179513e-15,9.52847161461292e-07,-1.1549808202588e-06,1.24209217391697e-16,8.77198346199869e-17,-6.89275650570443e-16,8.37970002840128e-08,-1.0730534133346e-07,-1.68224546044371e-08,3.89238512384816e-16,2.76777118186617e-06,-2.29928277725267e-07,9.28520148439044e-06,-6.11709465548233e-07,-9.79377255265097e-16,7.15267556901178e-16,1.1621158340972e-07,2.33839902057856e-16,6.44528226686008e-06,-4.85552622012663e-06,-3.79091720701354e-07,2.79674973924829e-15,1.99718042952605e-16,-1.00272474453588e-05,-6.58002124411311e-16,4.53740644878802e-16,5.30249291467789e-16,1.9546791763222e-16,1.36541786634186e-16,-6.92241358783513e-16,3.83141879822219e-16,1.73172679047336e-06,2.469394129491e-07,-6.23378672360131e-16,-8.60013124933452e-16,-2.59726845068346e-16,-3.59692299796926e-16,6.26305078428334e-16,3.46418207859617e-15,-1.89868151541813e-14,-3.14787794449648e-15,-6.39057250494872e-16,-3.79821903390881e-14,-0.092847669088519
"t94",-0.030757722633729,-0.179995207450726,-0.0112290430339838,-8.64935506347571e-05,0.00280509750167951,-0.260959355317468,-0.00853700710261999,0.0029567878658895,-0.00327574268019714,0.0728417621881707,-0.000462876583724824,-0.0024919853294409,0.00727796223317267,-5.19678294664018e-06,0.000703041652324438,0.00213192482749359,0.00450139141581922,0.222555211523746,0.000461959038287485,0.000192989835416298,-0.000203389308380208,-0.562143423453666,-0.0168952746262376,-0.00176471125758721,0.00149701071917968,-0.0617621335354508,-0.00898156161704709,-0.11665604613734,0.00602014939572297,-0.000757482116144252,-0.00104375949548392,2.30701702352107e-08,-0.000380382442298906,-0.000846329067580837,4.95420719546109e-05,-0.0265927271365123,-9.20915772462959e-06,-0.00029169367472254,-2.85456461103714e-06,-8.86847308343108e-06,2.77062531582658e-06,0.00803714916485725,0.00588664121763625,-9.7112595480953e-07,-0.00106747020807353,1.35319525741132e-05,0.000273163442176095,-0.000128751184874993,-1.3430773687772e-15,8.2131911397404e-07,-5.66927900764302e-05,1.74690264243379e-05,1.00294095670399e-07,-2.10400340341496e-05,-8.38369903961063e-06,0.000239551723871331,2.29008744588217e-06,-1.02311499992733e-05,-4.83219385924834e-06,-0.0118614625867555,4.94884018040202e-06,-1.06959087217373e-15,1.79740499417467e-06,3.61457585618465e-05,-3.52247815349196e-16,-4.86077863889096e-06,-1.81777604074422e-06,4.29184758626159e-07,-5.68163571461944e-07,1.39935810401658e-06,1.27692627226099e-15,-1.69474435261865e-07,5.4646945936e-15,7.28895376620642e-07,-8.84151175606545e-07,7.88084864331151e-16,5.6595771159778e-16,-6.6942943149204e-16,6.45762013833236e-08,-8.2697338309834e-08,-1.29919682290434e-08,1.57809812678142e-15,2.145089380215e-06,-1.78760556933099e-07,7.22732607936176e-06,-4.76162784671564e-07,-2.53474540831267e-15,-1.32958271288241e-15,9.07711896424754e-08,-2.54634616475669e-15,5.03798615153614e-06,-3.80882808984619e-06,-2.97384195452894e-07,-2.55213268063876e-14,-6.07139266898478e-15,-7.89967585503897e-06,3.06054026172666e-15,-1.55181280813192e-14,4.87596849125676e-15,5.72677397427677e-15,1.32363196325308e-14,-1.41218046888262e-13,-0.707106781186545,1.37233902601057e-06,1.95764802730547e-07,-1.378779151191e-15,-1.83037123689025e-14,6.5655144543114e-15,-1.65469388992828e-16,3.21527389960806e-15,1.09455387295711e-14,-3.42722078226514e-14,-6.09894864031732e-15,1.08378275231251e-14,-3.81574446696951e-14,-0.0928476690885452
"t95",-0.030757722633729,-0.179995207450726,-0.0112290430339829,-8.64935506347447e-05,0.00280509750167964,-0.260959355317468,-0.00853700710261983,0.00295678786588963,-0.0032757426801967,0.0728417621881703,-0.000462876583724758,-0.00249198532944072,0.00727796223317229,-5.19678294661291e-06,0.000703041652324293,0.00213192482749357,0.00450139141581827,0.222555211523745,0.000461959038286987,0.000192989835416823,-0.000203389308380322,-0.562143423453662,-0.0168952746262367,-0.00176471125758777,0.00149701071917955,-0.0617621335354516,-0.00898156161704719,-0.116656046137339,0.0060201493957242,-0.000757482116144485,-0.00104375949548402,2.30701717347389e-08,-0.000380382442297986,-0.000846329067581073,4.95420719551683e-05,-0.0265927271365128,-9.20915772535224e-06,-0.000291693674722672,-2.85456461149655e-06,-8.86847308369213e-06,2.77062531526782e-06,0.00803714916485656,0.00588664121763697,-9.71125956481485e-07,-0.00106747020807393,1.35319525735643e-05,0.000273163442176016,-0.00012875118487635,5.72057348701198e-16,8.21319110143567e-07,-5.6692790080627e-05,1.74690264230197e-05,1.00294096819078e-07,-2.1040034034159e-05,-8.38369903893796e-06,0.000239551723868866,2.2900874438935e-06,-1.02311500014531e-05,-4.83219385908341e-06,-0.0118614625867612,4.94884018098501e-06,8.17286179677501e-16,1.79740499560506e-06,3.61457585643478e-05,1.23356514753088e-16,-4.86077863841968e-06,-1.81777603952221e-06,4.29184757683251e-07,-5.6816356840324e-07,1.39935810409734e-06,-9.6068111659488e-16,-1.69474432824992e-07,-5.40877305345407e-15,7.28895378849088e-07,-8.84151173638854e-07,-9.82349350960196e-16,-9.46189598675223e-16,6.66974606390461e-16,6.45762018299438e-08,-8.26973499119348e-08,-1.29919679999735e-08,-1.51058258699747e-15,2.14508938469753e-06,-1.7876055974848e-07,7.22732607935596e-06,-4.76162790091149e-07,1.5266581853496e-15,1.70267130883507e-15,9.0771179854615e-08,2.71899762179372e-15,5.03798615888246e-06,-3.80882809871491e-06,-2.97384204189045e-07,2.53268877214445e-14,6.42126931086731e-15,-7.89967584997112e-06,-3.38812803443411e-15,1.62323959518491e-14,-3.85995746187877e-15,-6.43734970762166e-15,-1.21921017150407e-14,1.41347233597759e-13,0.70710678118655,1.3723390172796e-06,1.95764843663025e-07,-2.47208816634597e-16,1.57816888394831e-14,-6.6441125691052e-15,-5.57893022763009e-16,-2.04428166610258e-15,-4.75418103048676e-15,-1.14736312439692e-15,-1.7473935855872e-16,-6.88333273045051e-15,-3.70742287393125e-14,-0.0928476690885203
"t15",-0.0299495532521334,-0.170631148887632,-0.0101462991151069,-7.61809053487782e-05,0.00245660324859828,-0.223438031071937,-0.00705040783057409,0.0022672429859157,-0.00239585812515201,0.0485253416298694,-0.000200961178840186,-0.000749473147575523,0.000389954586337752,-1.98968666386426e-07,-2.21845430604516e-05,-0.000676566982444934,-0.00219133028242503,-0.325153242371822,-0.00374100507778426,0.00033060261035503,-0.000264613445135868,0.00185054827427773,-0.00120736385159523,0.000177806358942057,-0.000721531087115849,0.0460861606757142,0.0042059680944285,0.0272828123449974,0.004374844381088,-0.00147342352160076,-0.00371513911568069,-1.71966799795162e-07,0.00305708761529893,0.00778758212931054,-0.000567062704407264,0.892615438077757,-0.000175262106656351,-0.00166107309989407,-1.62119670315313e-05,-4.83036279856925e-05,1.50546142038357e-05,0.0391580836963463,0.0259592829759178,-4.18545606153679e-06,-0.00453328372884466,5.67827506308846e-05,0.00113360904694934,-0.000479063622262776,1.26875408344399e-15,2.94162929023297e-06,-0.000195471659375797,5.87919284223644e-05,3.36235072194212e-07,-6.90414715978083e-05,-2.67151596026583e-05,0.000744132397838005,6.98972704058961e-06,-3.07452350409977e-05,-1.41167382764616e-05,-0.0343775410597373,1.38090748437227e-05,1.46128045344683e-15,4.89879820845352e-06,9.71297475406985e-05,-2.54487788102384e-16,-1.28725842374249e-05,-4.68091332937958e-06,1.10172169930474e-06,-1.45436991078313e-06,3.55413292483711e-06,-3.86136775435207e-17,-4.22582165081112e-07,-6.36517173672443e-16,1.80169689609694e-06,-2.18076036212711e-06,6.26979043708014e-17,-4.2021551884554e-16,1.56809955396511e-17,1.56110045905321e-07,-1.99880746800003e-07,-3.12029756947759e-08,5.7986641047791e-19,5.09752283921935e-06,-4.2080290325881e-07,1.69534738401896e-05,-1.1167718835128e-06,-1.63089712330792e-15,-1.18635509334682e-17,2.10706769730967e-07,1.38777704343454e-16,1.16690483850053e-05,-8.72845232360559e-06,-6.81409286710694e-07,3.73034254800879e-16,2.09540479747347e-16,-1.78699585097927e-05,3.75255337398551e-16,3.41206230338716e-16,2.99052349218317e-16,-3.52657005577359e-17,-2.26256850597537e-16,-6.17424863377901e-17,1.47605147214257e-15,3.04995286669076e-06,4.34588775654296e-07,-7.31812240890277e-16,-1.05812020023477e-15,-4.93256177218233e-16,-2.34003934211886e-16,4.95558613526228e-16,2.79612059237948e-15,-1.77606647299856e-14,-3.25198498566388e-15,7.84931341786814e-16,-3.80098146654336e-14,-0.0928476690885269
"t109",-0.0304178542060495,-0.175925502700441,-0.0107314269309202,-8.16181631114224e-05,0.00263932629750146,-0.242679732807658,-0.00778577333360623,0.00258332744455468,-0.00277962970033357,0.0581172525479728,-0.000264992233057548,-0.00103209803036877,0.000570787583842353,-2.92136269146889e-07,-3.3006735233752e-05,-0.00105014412282227,-0.00346459517045339,-0.545231684915628,-0.00669440816145752,0.00073795972874139,-0.000658610574790498,0.00898429172072551,-0.0278318013096169,-0.00296959819548624,0.0024300332222202,-0.0754930501111453,-0.00558732051724493,-0.0343441179179522,-0.00500436675131615,0.00160403450115239,0.00391309706754988,1.23235104302578e-07,-0.00190836308919877,-0.00433168855069701,0.000276054794912082,-0.302803625321632,2.89815502871171e-05,-9.97404719867954e-05,-9.8661181477655e-07,-3.56160353921323e-06,1.12132639340428e-06,0.00431969552326621,0.0037893729197675,-6.4702267946807e-07,-0.000726311863351479,9.35972552036125e-06,0.000191746513641803,-0.000102356761460234,1.40434924344681e-15,6.7693281463263e-07,-4.8284847838013e-05,1.51692061370422e-05,8.73516533544402e-08,-1.86222667519808e-05,-7.57594156218486e-06,0.000220160697311373,2.12816724848466e-06,-9.59769385484149e-06,-4.60712696774957e-06,-0.011358531364652,4.83337223110887e-06,-1.00906417549325e-15,1.77546068413719e-06,3.59371610426605e-05,-4.28108183648694e-16,-4.86399819346945e-06,-1.8404201870459e-06,4.35078236342785e-07,-5.7661271901272e-07,1.42452974053885e-06,-5.57708500844482e-16,-1.73728686998216e-07,2.52175114517349e-15,7.49570341281394e-07,-9.09931933083398e-07,6.30134796136126e-16,1.22500476216859e-15,5.9893746517749e-16,6.69241748968605e-08,-8.57094449918136e-08,-1.34937463668867e-08,-2.01776599486473e-15,2.23563980774207e-06,-1.86863241696891e-07,7.56313243257246e-06,-4.98312351398726e-07,9.42546204149635e-15,-7.94561940694144e-16,9.52902891633918e-08,-3.13154410413325e-16,5.29224404634935e-06,-4.01346487285891e-06,-3.13373221992314e-07,7.07046302095633e-15,8.33179716159106e-16,-8.35430285324759e-06,-1.24444635209025e-15,1.01707005702653e-15,1.27855757986183e-15,-1.00162393708915e-15,2.36758917368095e-15,6.01521497729246e-16,-1.56403109792002e-14,1.45813940258328e-06,2.0806422917765e-07,-8.24242616956624e-16,1.70814342356443e-15,1.3928168865677e-14,2.34107581433391e-15,-1.7385754099872e-14,4.68187713473733e-13,0.70710678118653,-8.65100185530972e-15,7.97307133606491e-14,-5.33245241234253e-14,-0.0928476690886612
