,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
t1,-0.30390877,-0.03201975,-0.028972723,-0.21824406,0.016901853,-0.24017711,3.0251646,3.520416,-0.04671957,0.65307015,-0.016001904,0.0019625947,3.436881,0.38923723,3.2922254,2.4408696,-0.03723193,-0.7319481,4.6459537,0.0858847,-0.20448247,0.0073523535,-0.27420568,-0.44938266,-0.69769937,-0.3754909,0.4105141,-0.002967443,-0.010057116,-0.7597099,2.9161525,3.268427,4.3899813,0.75067586,7.210741,2.615081,2.850546,1.6470182,-0.4185307,0.00064772926
t2,-0.29450613,-0.023612412,-0.031143606,-0.21631941,0.015586894,-0.22556673,3.0405905,3.2623684,-0.04247009,0.6772252,-0.0015511943,0.00156315,3.4068842,0.35224366,3.2354827,2.2506256,-0.03256748,-0.67405415,4.0759006,0.0732922,-0.1869871,0.004056881,-0.24780194,-0.43295842,-0.6516455,-0.34704217,0.46349102,-0.002828926,-0.014587726,-0.7175128,2.8034394,3.2791634,4.111418,0.69970006,6.8023367,2.505084,2.879789,1.3501374,-0.39131212,0.00056979025
t3,-0.3551785,-0.06301405,-0.020596562,-0.21823858,0.021834785,-0.321099,2.8202968,4.4891863,-0.06345627,0.5111998,-0.07439833,0.0036907573,3.5415182,0.7725557,3.2062364,3.4423063,-0.04707397,-0.96118593,7.555007,0.12531017,-0.26742876,0.024382126,-0.3794664,-0.50782126,-0.88455,-0.49723366,0.10385605,-0.0037101093,0.3319718,-0.9539859,3.338221,3.002972,5.5354486,1.1869789,9.135195,3.133127,2.737185,3.074259,-0.5201664,0.001022058
t4,-0.361104,-0.098884024,-0.012788504,-0.202304,0.023885332,-0.3566665,2.2391927,4.780578,-0.070901796,0.28412765,-0.10904285,0.004527003,3.2544174,0.9871068,2.7961378,3.939504,-0.047720496,-1.0339229,8.804459,0.13905767,-0.2890337,0.034746837,-0.4224405,-0.50126785,-0.9257234,-0.542682,-0.0028262455,-0.0037994098,0.66468585,-1.0001223,3.3664346,2.4974868,5.9026394,1.4929987,9.738933,3.2681205,2.508202,3.727965,-0.540383,0.0012053035
t5,-0.35031727,-0.0072312374,-0.03724251,-0.24031234,0.017890401,-0.26471967,3.592842,4.0395637,-0.053752758,0.71615344,-0.01107121,0.0018469172,4.0868893,0.38043535,3.9718752,2.5857365,-0.04014954,-0.84057754,5.4117036,0.10520175,-0.23590006,0.006874907,-0.313723,-0.5082068,-0.7890102,-0.43222347,0.2159868,-0.003504492,-0.010877729,-0.8851643,3.3624303,3.7278633,4.665998,0.6329209,8.096301,2.9089081,3.108042,2.0035787,-0.47426334,0.0007363237
t6,-0.37103197,-0.1459535,0.053776424,-0.17267618,0.025859714,-0.40701884,1.285217,4.955494,-0.08070688,-0.0048027444,-0.1604013,0.0056302967,2.6715977,1.3274148,1.9146974,4.6670537,-0.048197925,-1.1006669,10.33381,0.15448435,-0.30967018,0.051513024,-0.46337944,-0.46797803,-0.94988346,-0.59826714,-0.008069049,-0.0038215776,1.1863741,-1.0390301,3.2168736,1.5854218,6.208659,1.9061241,10.363292,3.377158,2.0654109,4.598798,-0.5493079,0.001460452
t7,-0.35222307,-0.16538645,0.25011542,-0.14679027,0.024984492,-0.4060932,0.7294887,4.6742516,-0.07805314,-0.021668712,-0.17106296,0.0057615354,2.2066743,1.4042503,1.2211896,4.7119927,-0.04569405,-1.0405717,10.22526,0.14579135,-0.2944039,0.054595206,-0.44270375,-0.41814166,-0.8790747,-0.5762238,-0.010061926,-0.0034463254,1.3033255,-0.97605944,2.9399521,1.0404434,5.9065275,2.0922427,9.829663,3.2234,1.8291998,4.6530786,-0.5079203,0.0014790077
t8,-0.3093146,-0.23718704,0.5035394,-0.12408729,0.025533484,-0.4230813,-0.022169024,4.5085297,-0.0829779,-0.03318496,-0.19329002,0.006240518,1.7316222,1.7270981,0.23093951,5.2085414,-0.05534013,-1.0285692,10.734238,0.15189253,-0.28544143,0.06244355,-0.4432597,-0.34182182,-0.8425819,-0.59579533,-0.018281631,-0.003145484,1.6804461,-0.9599065,2.6076026,0.24422754,5.820877,2.5862083,10.049263,3.1419687,1.4147288,4.942504,-0.48710397,0.0016585883
t9,-0.21829233,-0.39352176,-0.004532245,-0.14661382,0.025935672,-0.38780394,-0.042640813,2.8569365,-0.06307528,-0.11316389,-0.17780559,0.0046795285,0.9522714,2.3351254,-0.23271061,5.3132157,-0.07871903,-0.6963122,8.227945,0.07389451,-0.2397031,0.06292397,-0.37118423,-0.24699202,-0.56646585,-0.48333848,-0.024889933,-0.0015004863,0.91395676,-0.7911817,1.4717599,-0.073579036,4.1538725,4.2898717,8.818492,2.870853,0.7067195,2.7739685,-0.3565204,0.0016498849
t10,-0.3002062,-0.24154332,0.50341344,-0.12142135,0.024481885,-0.40518174,-0.02343993,4.341655,-0.07946668,-0.030567912,-0.17934534,0.006125494,1.7198509,1.6494609,0.20747475,5.0297832,-0.05211453,-0.98733485,10.199324,0.14346707,-0.27314472,0.058128722,-0.42108378,-0.3263027,-0.80443734,-0.570696,-0.017545613,-0.003011056,1.6174715,-0.9167274,2.535201,0.27156714,5.598728,2.5216908,9.6812525,3.0319755,1.4026196,4.7214155,-0.4666704,0.0015969336
