,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
t1,4.2836175,7.634341,4.170157,6.0757456,5.6394906,6.857589,6.5259957,4.864469,3.3846207,5.299726,6.176023,5.3495855,6.8512354,4.4398007,3.2604284,5.6476164,3.6368139,6.7221622,5.54545,5.5302896,2.4552557,4.8939667,2.4718814,4.1165795,5.7842846,5.2910137,4.2943964,3.1023214,5.0747495
t2,4.3845024,7.6606474,4.172935,6.0460343,5.693613,6.8885317,6.445414,4.8178425,3.3035927,5.261644,6.214183,5.327772,6.8892975,4.4948463,3.2813647,5.7460494,3.660649,6.7476892,5.5666084,5.6166883,2.4108005,4.921645,2.4453082,4.1130223,5.787939,5.2984734,4.322848,2.992579,5.0566087
t3,4.389718,7.6656604,4.2009807,6.025169,5.7291126,6.9102187,6.395964,4.781515,3.2560723,5.2420597,6.2561865,5.3087673,6.935334,4.5440297,3.2588305,5.8063126,3.6497946,6.791641,5.594396,5.6725354,2.365344,4.951751,2.4136617,4.076493,5.7563157,5.31789,4.308939,2.9305754,5.051402
t4,4.44731,7.746447,4.1670003,5.9805074,5.7454166,6.94032,6.3553815,4.75046,3.1802547,5.2171464,6.2805066,5.308168,6.9341803,4.594639,3.3057919,5.885081,3.6686478,6.7889223,5.5610533,5.7408686,2.3372424,4.9729033,2.3859208,4.1151185,5.7860866,5.280943,4.369606,2.8561108,5.0171156
t5,4.507554,7.7500854,4.140362,5.9764147,5.766558,6.955899,6.329754,4.713255,3.1749876,5.2035127,6.291433,5.291876,6.9591556,4.606144,3.3206,5.8935595,3.6814754,6.80037,5.579289,5.7470255,2.3167248,4.9819126,2.3809843,4.100653,5.780004,5.2940392,4.376401,2.824429,5.0258017
t6,4.5317726,7.794547,4.1069703,5.972674,5.776067,6.991037,6.31033,4.687673,3.1658778,5.1890006,6.29585,5.269233,6.951086,4.6164255,3.358238,5.9043775,3.692296,6.7752004,5.5704727,5.7531238,2.2946727,4.985176,2.3732796,4.1322293,5.796945,5.2682815,4.415713,2.816332,5.0176597
t7,4.498818,7.731994,4.197764,5.989175,5.7942514,6.934883,6.3381796,4.7428417,3.1681116,5.2258196,6.282711,5.328671,6.9855924,4.602958,3.266027,5.910089,3.7058663,6.8423753,5.6109457,5.76512,2.3236907,4.9685946,2.402691,4.0609093,5.755713,5.335286,4.3247128,2.7994757,5.060878
t8,4.500424,7.7623787,4.1265874,5.9267497,5.780515,6.9725904,6.2966104,4.686469,3.1358368,5.1645484,6.339294,5.2615075,6.977387,4.6533237,3.3317773,5.933379,3.650464,6.8260517,5.588295,5.7931833,2.2875102,5.030045,2.3369858,4.10447,5.7553287,5.285037,4.388713,2.7996304,4.9908414
t9,4.089986,7.4293437,4.3428197,6.14006,5.614494,6.776237,6.5250454,4.9702086,3.3803315,5.3252926,6.1483703,5.363467,6.807105,4.4073014,3.2209232,5.657833,3.616701,6.689557,5.553515,5.5401335,2.5085664,4.8685236,2.4866521,4.1401443,5.7893476,5.2894015,4.262462,3.151619,5.0636005
t10,4.5994987,7.739047,4.0749464,5.98479,5.7743096,6.981309,6.3031025,4.657079,3.2026947,5.1838875,6.293833,5.2533484,6.9857116,4.600115,3.370804,5.861481,3.690941,6.7880435,5.597364,5.713301,2.293111,4.9897833,2.376033,4.0965133,5.7808275,5.29455,4.4084387,2.8079581,5.031892
