,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
t1,-1.0198731,1.732201,-0.4173172,-0.31064695,9.973826,0.009484192,-0.08465724,0.06479392,7.093655,4.7312636,-0.6384166,7.2340016,0.118538804,-0.22024842,4.268365,5.729775,-0.30413824,-0.43434453,-0.14046791,0.7964895,-0.4975169,-0.23847161,-0.53659666,-1.224071,5.3792152,4.5008645,6.9531,1.770305,6.2118683
t2,-1.4076517,1.9117831,-0.5654078,-0.43627787,12.690423,0.013081155,-0.09998225,0.07975455,9.346437,6.674374,-0.8335271,9.709229,0.15981041,-0.26141125,6.1822724,8.618641,-0.3807674,-0.5677092,-0.30661806,1.1376798,-0.65723026,-0.4034694,-0.66586196,-1.6610256,7.189867,5.7384033,8.288985,1.7996377,8.511892
t3,-1.5357895,2.015826,-0.6158678,-0.47389778,13.537704,0.014747111,-0.10410293,0.088166706,9.931881,7.1880026,-0.89674836,10.379934,0.17122258,-0.2821119,6.8998404,9.513454,-0.41344547,-0.61994064,-0.35133663,1.3856528,-0.7323111,-0.45207804,-0.7285637,-1.820931,7.7039037,6.1599092,8.855602,1.7913897,9.252618
t4,-1.8203481,2.333713,-0.70092994,-0.5663696,15.869112,0.017066762,-0.10687835,0.10387322,11.412112,8.878469,-1.0485069,12.225901,0.20332131,-0.332452,8.142694,11.537178,-0.47482204,-0.7022081,-0.41067767,1.6367128,-0.830106,-0.5848581,-0.7727866,-2.1633105,9.242689,7.1099997,9.488977,1.909354,11.089005
t5,-1.6978302,3.1091769,-0.632378,-0.59798837,17.69727,0.015239349,-0.06445108,0.09405095,11.72193,9.617038,-1.0219387,12.697978,0.19728595,-0.33826736,6.7160187,9.886751,-0.45691705,-0.59674054,-0.19109574,1.0924714,-0.6504923,-0.6053898,-0.5662247,-2.1550536,10.109058,7.54869,8.111142,2.374621,11.190013
t6,-1.6810046,3.0295362,-0.6294714,-0.58514524,17.371822,0.015250264,-0.06532897,0.09324941,11.60168,9.404485,-1.0143906,12.540877,0.19494228,-0.33553368,6.665085,9.859398,-0.4535982,-0.59848,-0.20164837,1.111658,-0.65959895,-0.59708863,-0.57710886,-2.1273108,9.922212,7.4211516,8.222317,2.3139138,11.013275
t7,-1.678735,3.1730318,-0.62267286,-0.6010282,17.835993,0.014774478,-0.062277652,0.09361896,11.695261,9.679956,-1.012374,12.653609,0.19653796,-0.33712488,6.5793915,9.704671,-0.45298916,-0.5829051,-0.1643814,1.0637515,-0.6313757,-0.6023097,-0.54403836,-2.1491601,10.176477,7.5953965,7.914539,2.4090388,11.160684
t8,-1.6041061,3.298282,-0.58533,-0.5986068,17.852076,0.013108673,-0.050330587,0.08923629,11.415049,9.597925,-0.97631043,12.328463,0.1886279,-0.33157873,6.0390143,9.022624,-0.43368545,-0.5320992,-0.10017134,0.9314713,-0.56814915,-0.589353,-0.47963873,-2.09271,10.12065,7.5824156,7.3305807,2.4991078,10.903453
t9,-1.6991822,-0.08234101,-0.7171582,-0.37875748,7.0879793,0.0034310012,-0.19991834,0.09795625,7.234016,5.0660996,-0.6769855,6.7236967,0.18521684,-0.23523253,10.686512,13.356772,-0.41698283,-0.64138126,-0.97947496,2.8819218,-1.2915303,-0.65614384,-1.3092103,-1.7908628,4.003109,4.5893226,10.034875,0.13191241,8.101084
t10,-1.3877344,4.1224036,-0.40833867,-0.6745483,19.716038,0.011007143,-0.1132615,0.08122068,10.688253,9.8265705,-0.82669747,12.156657,0.1659157,-0.2916494,4.1773744,6.2363954,-0.27666464,-0.2844536,1.3141166,0.5154134,-0.33194798,-0.6677367,-0.02445985,-2.0394118,10.713755,8.295005,4.4170475,3.1588418,10.696189
t11,-1.1794467,2.921788,-0.4419606,-0.43320173,14.005316,0.008248143,-0.055020258,0.067404285,9.100979,6.798118,-0.7640641,9.327799,0.14114034,-0.28101254,4.0942,6.370745,-0.35629737,-0.4086871,-0.03786192,0.7165566,-0.50900894,-0.4188159,-0.43731126,-1.5916349,7.5831075,6.014307,6.634145,2.038119,7.7507443
t12,-1.1007919,2.88378,-0.40866736,-0.4089455,13.474673,0.0070574833,-0.0547172,0.06315962,8.674385,6.4304204,-0.72432745,8.882968,0.13350186,-0.27484152,3.7261376,5.83716,-0.33364615,-0.36525896,-0.0030328562,0.66967136,-0.49171507,-0.3962088,-0.4165267,-1.5135304,7.21753,5.7969594,6.4041557,1.9962732,7.184892
t13,-1.7252067,0.012126928,-0.7414322,-0.41603395,8.860981,0.008633423,-0.19009086,0.10363004,8.524278,5.833329,-0.7771951,8.029636,0.18699436,-0.2661198,9.864987,12.783375,-0.43189165,-0.6727086,-0.8682083,2.3783016,-1.1659565,-0.5466123,-1.1864457,-1.8063157,5.09934,5.49801,10.367777,0.88554764,8.530661
