,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
t1,1.1078569,1.3132269,3.9517992,6.636356,5.0157065,2.570791,4.5118103,5.253771,5.2085867,4.0954065,5.034556,4.321735,5.0514207,5.2842603,5.5660505,7.0399,4.898292,7.265802,6.693288,5.5334997,6.7731686,7.0186014,6.0016093,2.9396574,4.873799,4.791711,3.657945,5.3024054,5.4819927,3.509041,4.992572,4.8743377,6.072471,4.277815,6.521554,3.1066463
t2,1.1366445,1.3467612,4.030309,6.56395,4.983049,2.5591168,4.5388846,5.251612,5.2232623,4.062325,5.055108,4.3296547,5.073764,5.28682,5.6031313,7.026082,4.8887935,7.3009143,6.7038503,5.5437903,6.787165,6.977271,5.979235,2.9467509,4.8958616,4.7987523,3.665044,5.30952,5.4847827,3.5091927,4.9871244,4.872819,6.0743084,4.2703037,6.514657,3.0986838
t3,1.182278,1.3984286,4.050037,6.5544558,4.9488735,2.533774,4.5101743,5.2013764,5.2206845,4.075305,5.0851336,4.3653717,5.05396,5.315249,5.6159906,7.0435796,4.883968,7.308437,6.679178,5.577098,6.7978415,6.9833374,6.0040298,2.9667182,4.891977,4.759848,3.6285856,5.266949,5.4280114,3.5376906,4.9566684,4.915905,6.023928,4.2296505,6.4481387,3.1455984
t4,1.0809389,1.2760684,3.962182,6.6172748,5.044929,2.6074827,4.4894385,5.285508,5.2112865,4.1137753,5.0163174,4.3128777,5.0650663,5.2622147,5.538525,7.048744,4.9008703,7.2408476,6.694955,5.5373845,6.7492976,7.0486703,5.993397,2.9279373,4.857671,4.8036447,3.6766148,5.3237505,5.5234447,3.4959624,5.01081,4.8513837,6.097926,4.2988033,6.554423,3.0687435
t5,1.1456159,1.3579408,3.9698675,6.6318564,4.981804,2.5430944,4.5060554,5.21369,5.206834,4.09267,5.059817,4.34516,5.0383167,5.307615,5.586318,7.045344,4.894925,7.2815304,6.6792502,5.554029,6.7884593,7.0068583,6.0154886,2.9560647,4.879135,4.7658205,3.6316173,5.273383,5.4366426,3.5308366,4.9679914,4.906601,6.035373,4.2464633,6.473508,3.143654
t6,1.1542246,1.3705657,3.9712288,6.6319504,4.9716916,2.5304835,4.51441,5.204364,5.206485,4.0848594,5.0674944,4.34612,5.0336103,5.31375,5.596423,7.043057,4.894129,7.2903175,6.6793814,5.5518303,6.7977586,6.995246,6.016813,2.9609606,4.884901,4.7618394,3.6270134,5.2676105,5.4264255,3.536628,4.960922,4.9122133,6.0284405,4.2426724,6.466903,3.154922
t7,1.5964044,1.6308634,4.7204614,5.758292,4.6701503,2.8080049,4.3159847,5.4116836,5.420321,4.1726785,5.286203,4.622232,5.4079328,5.3325286,5.6577444,7.1283684,4.712643,7.3349433,6.557821,6.000284,6.705565,7.0539265,5.9170184,2.9857738,4.797596,4.8257895,3.7298956,5.3309627,5.5975795,3.4977367,5.0382857,4.8141127,6.1697135,4.2470827,6.477688,2.8455307
t8,1.579691,1.6120771,4.6852818,5.7852545,4.6920586,2.8671727,4.2726216,5.3948145,5.4107122,4.224629,5.2575088,4.5962114,5.382966,5.3396325,5.6372604,7.1471963,4.711777,7.327316,6.50404,5.9991417,6.7163367,7.072948,5.952288,2.9659507,4.8034043,4.8458567,3.6952405,5.305648,5.6107473,3.5058842,5.0574837,4.8115563,6.1687455,4.2835217,6.5098295,2.813358
t9,1.3411458,1.4532454,4.652183,5.977722,4.8211174,2.7144442,4.415887,5.3352847,5.291602,4.1404896,5.1753354,4.491921,5.258223,5.3100185,5.5818768,7.0333138,4.830881,7.2638083,6.614109,5.8263087,6.7006607,7.0648746,5.9252033,2.9303803,4.8551884,4.792411,3.690045,5.327694,5.6157193,3.4582558,5.0246367,4.8648696,6.1034117,4.173183,6.4840927,2.9073415
t10,1.1135334,1.3322525,3.860976,6.743342,5.0126615,2.542539,4.50479,5.2115283,5.1985965,4.0955825,5.0310626,4.3289533,5.0211344,5.2990265,5.574994,7.0490026,4.9023824,7.2758565,6.6899834,5.529782,6.785748,7.0144277,6.021594,2.9518137,4.8751664,4.7687793,3.632504,5.273353,5.4257197,3.5307188,4.9712567,4.905586,6.0343914,4.256943,6.476062,3.1556787
