"accepted_species","traits"
"t32",0
"t34",0
"t35",0
"t45",1
"t48",1
"t55",1
"t58",1
"t64",0
"t65",1
"t70",1
"t72",0
"t74",0
"t76",0
"t81",0
"t87",0
"t88",1
"t89",0
"t90",0
"t92",0
"t93",NA
"t97",1
"t98",0
"t99",NA
"t101",0
"t102",0
"t109",1
"t111",0
"t112",1
"t115",NA
"t116",1
"t120",1
"t125",1
"t126",1
"t127",1
"t128",0
"t129",1
"t130",NA
"t131",1
"t132",1
"t133",1
"t134",NA
"t136",0
"t137",1
"t138",0
"t144",1
"t145",1
"t148",1
"t149",1
"t152",1
"t154",1
"t155",1
"t159",0
"t160",0
"t161",1
"t164",1
"t167",1
"t169",1
"t174",0
"t175",0
"t176",1
"t177",NA
"t178",1
"t184",1
"t186",0
"t187",0
"t188",0
"t189",1
"t191",1
"t192",1
"t194",1
"t195",1
"t198",1
"t199",NA
"t201",1
"t202",1
"t205",0
"t206",1
"t208",1
"t210",1
"t211",1
"t212",1
"t213",0
"t214",1
"t217",1
"t218",1
"t219",NA
"t221",0
"t222",1
"t225",1
"t226",0
"t227",0
"t228",0
"t229",0
"t230",1
"t231",0
"t234",1
"t236",1
"t237",1
"t239",1
"t241",0
"t242",1
"t243",1
"t244",0
"t245",0
"t246",1
"t247",1
"t248",1
"t249",1
"t250",0
"t252",1
"t253",1
"t254",1
"t255",1
"t256",1
"t259",0
"t261",1
"t262",0
"t263",0
"t264",NA
"t265",1
"t266",0
"t267",0
"t269",1
"t270",0
"t271",0
"t273",0
"t274",1
"t275",1
"t277",1
"t278",1
"t279",NA
"t281",0
"t282",1
"t283",1
"t284",0
"t286",NA
"t287",0
"t288",1
"t290",0
"t292",1
"t294",NA
"t296",0
"t298",0
"t300",NA
"t301",0
"t303",0
"t305",1
"t306",NA
"t307",1
"t309",0
"t310",0
"t311",1
"t313",0
"t314",0
"t315",1
"t317",1
"t318",NA
"t319",0
"t323",0
"t324",0
"t325",1
"t326",0
"t328",0
"t329",1
"t330",1
"t331",NA
"t332",0
"t333",0
"t334",1
"t335",1
"t337",1
"t338",1
"t339",0
"t340",0
"t341",1
"t342",0
"t343",0
"t344",1
"t345",1
"t346",1
"t348",1
"t349",1
"t350",1
"t351",1
"t357",0
"t358",1
"t360",0
"t362",0
"t363",NA
"t364",1
"t365",0
"t366",1
"t368",0
"t369",1
"t371",0
"t372",0
"t373",0
"t374",1
"t375",0
"t376",0
"t377",1
"t378",1
"t379",0
"t380",NA
"t381",1
"t382",0
"t383",1
"t387",NA
"t388",0
"t389",NA
"t390",0
"t393",1
"t394",1
"t396",1
"t397",0
"t398",1
"t399",NA
"t400",1
"t401",0
"t402",1
"t403",0
"t404",1
"t405",1
"t406",1
"t407",1
"t408",1
"t409",1
"t410",1
"t411",1
"t412",1
"t413",0
"t415",NA
"t416",1
"t417",NA
"t418",1
"t419",1
"t420",1
"t421",NA
"t422",1
"t423",1
"t425",NA
"t427",1
"t429",0
"t431",1
"t432",1
"t433",0
"t434",1
"t435",1
"t436",0
"t437",0
"t438",1
"t439",1
"t440",1
"t441",0
"t442",0
"t443",1
"t444",1
"t445",NA
"t446",NA
"t447",1
"t448",1
"t449",1
"t450",NA
"t452",0
