,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,1100.0,1100,1100,1100,1100,1092.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
unique,,6,1,2,1,,,,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,,200,1100,600,1100,,,,,,,,,,,,,,,
mean,189.9090909090909,,,,,0.38119172597732665,0.12283714728559558,0.15178301215216616,0.1655269080115302,0.14482926096974308,0.16431231705065588,0.16638605515132557,0.16643745359575715,0.16482575501689925,0.14642358112932863,0.1467920675943304,0.15568378141552863,0.19188370125528842,0.14915502529283292,0.1465398151019361
std,115.16254647316032,,,,,1.307629518510184,0.0860666411647143,0.08834192418101644,0.09026824397332699,0.09350602055544806,0.09105476198969886,0.10221929864628129,0.09172754354674918,0.0914817865868838,0.09647888931694384,0.0997601378455429,0.09676897281668981,0.13118310527929394,0.09699721200493656,0.09705778427571728
min,0.0,,,,,-4.65218350580921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,90.0,,,,,0.0915002256296369,0.04938558160760115,0.0882469135802469,0.09602061824935737,0.07259334344547963,0.09513144408912086,0.09186690354339765,0.0977475240040354,0.096085316579989,0.07096401738643622,0.0660335906379308,0.08399586801248025,0.08989252257789643,0.07087467272151472,0.07016345141199049
50%,182.0,,,,,0.4193893379995275,0.12046936301556604,0.1633637765570351,0.17932634999704195,0.14568537228592549,0.1790781652191305,0.1735566622012717,0.18136930866899564,0.1784697475418069,0.15340678775684347,0.1508749360162552,0.1674563056571759,0.18756939234085251,0.154920356212731,0.15395636592139128
75%,288.5,,,,,0.6439768485375428,0.18714345722231138,0.2193948531151202,0.23652045824564255,0.21995363827247708,0.23575371009111906,0.2374217025069068,0.23900792516324426,0.23693361773952368,0.22166671700345109,0.22127154837826601,0.22994655015275955,0.28540194298760857,0.2221036206255381,0.21795480660772604
max,398.0,,,,,35.4844691069326,0.4161214880125022,0.4260667008660893,0.4792041330042198,0.4749805339197969,0.434469253121164,0.7037884490859071,0.4326523377582841,0.4344465420322581,0.5799512415159188,0.6103079460020793,0.5808728153359121,0.7448904091848487,0.4461156700806474,0.5387987465908352
