,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,1100.0,1100,1100,1100,1100,1092.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
unique,,6,1,2,1,,,,,,,,,,,,,
top,,ER,phyloNa,ultrametric,binary,,,,,,,,,,,,,
freq,,200,1100,600,1100,,,,,,,,,,,,,
mean,190.9090909090909,,,,,0.38119172597732665,0.142736903864093,0.17084599421501348,0.17406660517761047,0.17946267360187168,0.18553907263489464,0.17338894161438287,0.17430481986760055,0.16416724085732115,0.17007372382012803,0.20669955019716207,0.16697760334591635,0.16311585720320745
std,115.16254647316032,,,,,1.307629518510184,0.10488450865083769,0.11359521185238346,0.10846281377211313,0.11878727396022876,0.1332441868157252,0.11170196783643367,0.11332904729870404,0.12195896953484096,0.120321507361757,0.153868691034046,0.1252681080289685,0.12020001440755966
min,1.0,,,,,-4.65218350580921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,91.0,,,,,0.0915002256296369,0.053410835700049675,0.08899517906336088,0.09013092330105273,0.08961280536779398,0.08640031624082838,0.08986674162533953,0.08901673726992275,0.06324864668518115,0.06809501241271987,0.07754977202499297,0.062020472566667574,0.06353902966393397
50%,183.0,,,,,0.4193893379995275,0.14580358324142706,0.17756790123456784,0.1928849744538434,0.1919274436727076,0.18943778023956087,0.1846996399517758,0.1883067138079581,0.1671613762481584,0.17748390189772711,0.2023859819653884,0.16956640796927308,0.16717623591116576
75%,289.5,,,,,0.6439768485375428,0.2198811726394452,0.24444563202806685,0.24866769249486964,0.2533864334768198,0.26137396752294717,0.25006499822953593,0.25136540509122896,0.24700554455983315,0.2524163869324424,0.3129136993275368,0.25106075682206125,0.24559211836601516
max,399.0,,,,,35.4844691069326,0.5517360305912471,0.6223456790123457,0.5999924646771604,0.7703138554588769,0.8161889450850408,0.7980373816621219,0.933671781748092,0.6673288378080401,0.7872545988707584,0.86846440701969,0.8843692413460056,0.7396554158669479
