,0,1,2,3,4,5,6,7,8,9,10
t1,0.40431443,8.802772,4.6936617,0.00022275116,-0.008811081,0.7337232,11.57094,5.78001,5.607823,0.106021315,3.5553017
t2,0.51247776,-0.15639533,5.7110963,0.0077952617,-0.20280331,-0.4840908,6.596758,0.4537304,-0.844214,0.07303647,20.513977
t3,0.24410962,8.49509,1.5121926,8.7904005,5.5755243,9.0658455,11.218144,5.2977304,0.59941196,0.048019256,-0.22142784
t4,0.170881,7.805007,0.75802195,9.728738,5.361101,9.740947,10.247631,4.5528164,0.31290165,0.013687192,-0.2590472
t5,0.44650584,11.767629,3.7021163,7.510046,5.9955616,7.2375464,14.585757,6.6920204,2.585121,0.106982455,-0.1741956
t6,0.36084315,-0.5635165,3.5468204,0.053342946,-0.14085658,-0.34446838,3.2300055,0.04062978,-1.7545707,0.03479485,18.232807
t7,0.38519895,-0.5030893,3.8430917,0.049612395,-0.14793648,-0.37134406,3.6981103,0.008835695,-1.658088,0.039338455,18.62712
t8,0.13286552,-1.0826828,0.80211896,0.09179018,-0.0744033,-0.1289207,-0.04619189,0.24209929,-2.6200159,0.112654686,14.435962
t9,0.0659557,-1.3221626,0.04969274,0.09873399,-0.007640279,-0.036663987,-0.16541496,0.4471268,-2.9591935,0.33227438,12.296935
t10,0.05598287,-1.3117353,0.08166375,0.09512218,-0.013941849,-0.03883717,-0.1497644,0.43397862,-2.9444873,0.40731287,12.750984
t11,0.38772437,10.768048,2.9686844,8.331886,6.104027,8.194704,13.676711,6.417441,1.7432392,0.0900647,-0.1889942
t12,0.02099133,4.9489083,0.10125083,7.0295296,3.5912597,8.969992,6.882226,3.2535825,0.22833939,0.9276023,-0.28092194
t13,0.07065081,-1.6185346,0.088443525,0.107757255,-0.1459045,-0.019218428,-0.14074776,0.57418174,-3.1001534,0.03373413,13.671385
t14,0.064328365,-1.6151507,0.030505177,0.10847133,-0.14845045,-0.014683896,-0.13968246,0.54718435,-3.0821486,0.032006994,13.6580715
t15,0.17720133,8.817111,0.58470094,10.419695,5.76696,10.693579,10.989389,5.147014,0.3672263,0.027001135,-0.2863209
t16,0.16255046,8.257071,0.73222923,10.117438,5.4207835,10.212422,10.892603,4.819872,0.26505673,0.0027484202,-0.2979903
t17,0.18377994,8.410198,0.67416435,10.079594,5.675679,10.425745,10.670747,4.871845,0.27889898,0.011221529,-0.27594516
t18,0.18363275,8.307316,0.6767739,10.232627,5.746733,10.411391,10.732521,4.871255,0.25640893,0.011148766,-0.26269993
t19,0.058017563,-1.3639716,0.12711695,0.106055535,-0.011800951,-0.06295251,-0.13231318,0.370051,-3.0481613,0.3236283,13.344549
t20,0.06712387,-1.3212006,0.017308272,0.11019182,-0.027102908,-0.06354878,-0.12862651,0.32586873,-3.0188348,0.18690209,13.489421
t21,0.061262667,-1.3427072,0.082656644,0.106695,-0.016541159,-0.06288458,-0.12899837,0.3452329,-3.034578,0.3652735,13.425998
t22,0.1625123,-0.7563351,1.8293328,11.702656,2.5641763,-0.6753199,-0.015184951,0.54364204,-0.53863776,15.278007,13.550653
