,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
t1,10.885225,2.4630644,4.4974627,3.4362154,6.474419,4.0100408,4.539046,4.212943,5.0471215,5.2080493,5.1250844,5.207469,4.874733,3.9764533,5.5752425,5.4092207,5.9496665,4.944812,5.400757,5.46485,4.8896365,4.0944467,6.448601,3.9117742,6.5767927
t2,10.832289,2.4555538,4.3466153,3.4819443,6.498786,3.7005136,4.267607,3.7399812,5.023925,5.205614,5.0338645,5.180869,4.649176,3.880379,5.491986,5.415716,5.8563504,5.105927,5.240604,5.292316,4.687721,4.07824,6.441169,3.7021892,6.7983036
t3,10.749368,2.4541326,4.2809253,3.553565,6.5602474,3.702089,4.235103,3.6508505,4.984819,5.249782,4.9744787,5.2437096,4.63268,3.7893488,5.513261,5.4069095,5.7793283,5.2000628,5.1689878,5.2168627,4.638805,4.094686,6.414271,3.7041667,6.81845
t4,10.6842375,2.034381,4.439045,3.492786,6.6192617,3.5574665,4.212406,3.8692825,4.914178,5.1575108,4.9720926,5.3434377,4.5004554,3.8518355,5.6621327,5.2073026,5.7676578,5.131751,5.153305,5.2311263,4.798524,4.180014,6.329667,3.5587988,6.909246
t5,10.803699,2.4518352,4.25647,3.5469258,6.50262,3.7088473,4.268927,3.6655352,5.0406656,5.277481,5.0118566,5.1834364,4.659198,3.8208473,5.454198,5.4476676,5.8325996,5.1640005,5.213979,5.265553,4.6169996,4.0413404,6.459372,3.7226596,6.7841787
t6,10.774504,2.5040205,4.3210945,3.5035603,6.569945,3.696081,4.215747,3.6620018,4.9847565,5.204601,4.9872785,5.2481837,4.6400743,3.819205,5.5214286,5.408806,5.799044,5.1801224,5.1875772,5.228524,4.6626563,4.1090016,6.4075546,3.6936386,6.836053
t7,10.69628,1.989135,4.434447,3.5129793,6.6393185,3.5509229,4.216968,3.9356503,4.89693,5.145833,4.9695787,5.3494883,4.498346,3.8535311,5.6837,5.1652975,5.7577653,5.113792,5.153464,5.2358956,4.804128,4.1917257,6.335507,3.5405788,6.8931546
t8,10.829641,2.5629485,4.328948,3.4679058,6.5341945,3.758769,4.273643,3.685362,5.0198708,5.209347,5.0137587,5.203608,4.7016573,3.83454,5.488515,5.4595237,5.8431325,5.1524234,5.2373633,5.276378,4.657892,4.0802693,6.4384027,3.7510557,6.7795763
t9,10.821735,2.532365,4.268372,3.5163038,6.5220733,3.7520914,4.28153,3.6660352,5.0428734,5.258255,5.0144606,5.1909766,4.703305,3.81908,5.453881,5.476935,5.842398,5.1698136,5.231613,5.273203,4.618396,4.0464473,6.458653,3.7561555,6.765672
t10,10.675107,2.067905,4.427852,3.4923923,6.5942607,3.5716987,4.2055144,3.81556,4.903855,5.1654453,4.9717627,5.3200574,4.494297,3.843723,5.661732,5.211191,5.759438,5.126789,5.147267,5.2325187,4.7946663,4.1787105,6.3377357,3.5635614,6.899701
