,Ev Model,Missing Type,Tree Type,Variable Type,phylopars,phylnn_fill_means,linear_eigenvecs,linear_PEM,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_autoencoded
count,10,10,10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
unique,1,1,1,1,,,,,,,,,,
top,large_BMT,mcar,ultrametric,continuous,,,,,,,,,,
freq,10,10,10,10,,,,,,,,,,
mean,,,,,0.20404563043699753,0.806252525149272,0.39149765433301603,0.22864778072347408,0.34787523070516263,0.36604499269359914,0.23838032345739074,0.23917427337757094,0.32045636688155243,0.22049906460921048
std,,,,,0.05771037789391897,0.07898135204632317,0.06498112668496364,0.05646067523129918,0.07810918755257473,0.07488623299393893,0.061163252322127146,0.061557778859223145,0.07036057449121538,0.06262268963611649
min,,,,,0.12412867833181984,0.6890094382379427,0.29138239687286605,0.148412160382773,0.22890571965559445,0.24837118283766238,0.15655489118781032,0.1519477050622925,0.22227468979072654,0.12249523887964876
25%,,,,,0.15268728946442722,0.7613241360056984,0.3369786452930251,0.18292313412523814,0.293020977247291,0.2983995661444486,0.18519276272811386,0.18158634741260832,0.2530548246337455,0.16527857246185348
50%,,,,,0.21251122193731342,0.7917627233515167,0.3998833364974912,0.23284469253314138,0.36488381709137585,0.4040158855692578,0.2405653409700237,0.25267045388818077,0.338011906390454,0.24096613630588193
75%,,,,,0.25613807126420973,0.8627468763859044,0.44772723294563255,0.27765563852008157,0.4102454454606768,0.4252032504029221,0.2974153705474276,0.2846845476864692,0.381762275270665,0.27090845653094
max,,,,,0.27524200388204784,0.9444309036469696,0.4630696556565397,0.30286482602222187,0.4417890880425675,0.432142594443053,0.3127720540951671,0.31759963435427363,0.39732176844716455,0.2942698376317976
