accepted_species,estimate
t133,-0.11148705
t188,-0.635868
t189,-0.05295752
t127,0.101829425
t38,-0.11148705
t41,-0.11148705
t47,0.03545174
t98,-0.11148705
t87,-0.11148705
t75,-0.11148705
t76,-0.11148705
t110,-0.67361367
t211,-0.78107166
t316,-0.635868
t129,-0.635868
t100,-0.22415479
t77,0.045099296
t241,-0.6171138
t232,-0.6171138
t254,-0.6171138
t240,-0.6171138
t222,0.13555959
t223,0.13555959
t327,0.1387333
t328,0.1387333
t320,0.25140107
t296,0.1387333
t297,-0.03942196
t83,-0.07721599
t58,0.045099296
t32,0.03545174
t52,-0.11148705
t136,-0.11148705
