"accepted_species","traits"
"t1",1
"t2",1
"t3",1
"t4",1
"t5",1
"t6",0
"t7",NA
"t8",1
"t9",1
"t10",1
"t11",1
"t12",0
"t13",1
"t14",0
"t15",1
"t16",0
"t17",NA
"t18",0
"t19",1
"t20",1
"t21",1
"t22",0
"t23",0
"t24",0
"t25",0
"t26",0
"t27",1
"t28",1
"t29",1
"t30",1
"t31",0
"t32",1
"t33",1
"t34",1
"t35",0
"t36",0
"t37",0
"t38",1
"t39",NA
"t40",NA
"t41",0
"t42",0
"t43",1
"t44",0
"t45",1
"t46",1
"t47",1
"t48",1
"t49",1
"t50",1
"t51",1
"t52",0
"t53",0
"t54",0
"t55",1
"t56",1
"t57",1
"t58",1
"t59",1
"t60",NA
"t61",0
"t62",0
"t63",NA
"t64",0
"t65",1
"t66",1
"t67",1
"t68",NA
"t69",0
"t70",1
"t71",1
"t72",1
"t73",1
"t74",1
"t75",0
"t76",1
"t77",NA
"t78",1
"t79",NA
"t80",0
"t81",0
"t82",0
"t83",1
"t84",1
"t85",1
"t86",1
"t87",0
"t88",0
"t89",0
"t90",0
"t91",NA
"t92",1
"t93",0
"t94",1
"t95",0
"t96",0
"t97",0
"t98",1
"t99",1
"t100",NA
"t101",0
"t102",0
"t103",0
"t104",0
"t105",1
"t106",0
"t107",0
"t108",0
"t109",NA
"t110",1
"t111",0
"t112",1
"t113",1
"t114",1
"t115",0
"t116",1
"t117",NA
"t118",1
"t119",0
"t120",0
"t121",1
"t122",0
"t123",1
"t124",0
"t125",1
"t126",1
"t127",1
"t128",NA
"t129",1
"t130",1
"t131",0
"t132",NA
"t133",1
"t134",1
"t135",0
"t136",0
"t137",1
"t138",1
"t139",0
"t140",1
"t141",1
"t142",0
"t143",0
"t144",1
"t145",0
"t146",1
"t147",1
"t148",1
"t149",1
"t150",1
"t151",1
"t152",0
"t153",1
"t154",0
"t155",1
"t156",0
"t157",0
"t158",1
"t159",1
"t160",0
"t161",1
"t162",1
"t163",NA
"t164",NA
"t165",1
"t166",1
"t167",1
"t168",1
"t169",1
"t170",1
"t171",0
"t172",1
"t173",NA
"t174",1
"t175",1
