"","Galium_eriocarpum","Galium_propinquum","Galium_sterneri","Galium_nuttallii","Galium_bolanderi","Galium_palustre","Galium_tinctorium","Galium_trifidum","Galium_bifolium","Galium_lucidum","Galium_verum","Galium_aparine","Galium_saxatile","Galium_parisiense","Galium_divaricatum","Galium_triflorum","Sherardia_arvensis","Asperula_molluginoides","Crucianella_gilanica","Rubia_cordifolia","Rubia_peregrina","Coprosma_propinqua","Coprosma_repens","Coprosma_robusta","Coprosma_rhamnoides","Coprosma_foetidissima","Nertera_dichondrifolia","Nertera_granadensis","Opercularia_varia","Oldenlandia_corymbosa","Spermacoce_brachystema","Spermacoce_leptoloba","Spermacoce_breviflora","Knoxia_sumatrensis","Psychotria_micrantha","Psychotria_tenuifolia","Psychotria_grandis","Psychotria_serpens","Palicourea_cyanococca","Coussarea_contracta","Coussarea_suaveolens","Tarenna_mollissima","Tocoyena_pittieri","Randia_hebecarpa","Gardenia_ovularis","Gardenia_ternifolia","Alibertia_edulis","Coffea_racemosa","Coffea_arabica","Coffea_congensis","Calycophyllum_candidissimum","Pentagonia_macrophylla","Nauclea_officinalis","Isertia_haenkeana","Arachnothryx_galeottii","Guettarda_elliptica","Guettarda_tikalana","Guettarda_aromatica","Guettarda_odorata","Exostema_caribaeum","Hamelia_patens","Macrocnemum_roseum","Thevetia_ahouai","Stephanostegia_capuronii","Vincetoxicum_hirundinaria","Asclepias_subulata","Asclepias_albicans","Asclepias_eriocarpa","Asclepias_amplexicaulis","Asclepias_tuberosa","Calotropis_gigantea","Mandevilla_benthamii","Wrightia_tinctoria","Nerium_oleander","Tabernaemontana_arborea","Tabernaemontana_sananho","Tabernaemontana_siphilitica","Lacmellea_panamensis","Catharanthus_roseus","Vinca_minor","Plumeria_alba","Carissa_macrocarpa","Aspidosperma_polyneuron","Aspidosperma_cylindrocarpon","Alstonia_spectabilis","Fagraea_berteroana","Exacum_affine","Gentianella_parviflora","Gentianella_campestris","Gentianella_amarella","Gentianella_insubrica","Swertia_pseudochinensis","Gentiana_clusii","Gentiana_lutea","Gentiana_sceptrum","Gentiana_andrewsii","Gentiana_utriculosa","Gentiana_pneumonanthe","Centaurium_pulchellum","Cicendia_quadrangularis"
"Galium_eriocarpum",0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_propinquum",12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_sterneri",12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_nuttallii",12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_bolanderi",12.804422,12.804422,12.804422,12.804422,0,11.845654,11.845654,11.845654,11.845654,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_palustre",12.804422,12.804422,12.804422,12.804422,11.845654,0,2.304408,5.27686,11.07152,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_tinctorium",12.804422,12.804422,12.804422,12.804422,11.845654,2.304408,0,5.27686,11.07152,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_trifidum",12.804422,12.804422,12.804422,12.804422,11.845654,5.27686,5.27686,0,11.07152,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_bifolium",12.804422,12.804422,12.804422,12.804422,11.845654,11.07152,11.07152,11.07152,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_lucidum",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,1.9662,4.638522,4.808044,4.808044,4.808044,5.468018,13.736098,13.736098,13.736098,16.378018,16.378018,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
