,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
t1,4.4336615,11.050538,15.098362,-0.294982,25.726912,0.3194335,-0.08654217,0.6892782,0.85510176,9.277686,0.088561155,-0.012985454,-0.52385974,-0.05313669,-0.07282893,-0.63876754,-0.28825116,2.934785,3.5779452,0.11326383,-1.736981,-0.4856265,-0.13661033
t2,4.2771907,10.919567,14.8979645,-0.28573903,24.967047,0.3030515,-0.09780665,0.66984546,0.86187774,9.123486,0.0866676,-0.008556843,-0.5160007,-0.049662337,-0.06750634,-0.6240163,-0.27441546,2.9877708,3.5206008,0.10878072,-1.6581061,-0.48901284,-0.13731326
t3,4.0518904,7.9710507,11.082645,-0.17103808,15.502248,0.16736643,-0.036232885,0.43774468,0.68494487,6.366439,0.06392449,2.0217981,-0.30901402,0.038837835,-0.026787844,-0.37875235,-0.2306368,3.5102108,2.6991088,0.07529411,-0.7092749,-0.43173105,-0.09556641
t4,3.8323472,6.904644,9.937375,-0.13610381,11.508494,0.11358606,-0.004328647,0.3377422,0.6464962,5.0921755,0.0494855,3.2529948,-0.2347676,0.96968323,0.34785724,-0.28932506,-0.19790715,3.9929893,2.3492706,0.06394006,-0.3718756,-0.3620274,-0.064980194
t5,4.1714997,10.628971,14.344555,-0.2745273,25.276123,0.32505077,-0.067755945,0.65689534,0.82082886,9.344184,0.088860266,-0.012050845,-0.5420443,-0.044959642,-0.0778483,-0.61741304,-0.22311158,2.5497956,3.0568264,0.1051905,-1.7482723,-0.48185447,-0.12692897
t6,4.397667,1.5466626,8.4600725,-0.002347091,-0.026318612,0.036433566,3.2836277,0.119097844,0.45807794,2.3463354,0.06437286,7.194275,-0.3187917,5.135121,5.2654457,-0.10041002,-0.06185373,5.6943746,-0.05627431,0.031072628,4.002565,-0.22725709,-0.022506965
t7,5.7528977,-0.08219167,8.905189,2.491362,-0.19398281,0.043009378,4.003667,0.14604704,0.44238484,2.2949955,0.08879273,8.3640585,-0.48731914,5.4990697,8.080881,-0.05352422,-0.09395518,6.7592564,-0.15268432,0.028668495,6.214704,-0.28988144,-0.0068647615
t8,3.5722468,1.2321336,6.850634,-0.012530987,-0.053064678,0.024236662,2.7594051,0.09012246,0.41822255,1.4844675,0.053065334,5.6925993,-0.28715026,4.383162,4.438141,-0.07224259,-0.066729724,4.2828927,-0.037544806,0.027124863,3.2913158,-0.20128122,-0.024914736
t9,6.8688593,-0.19936211,11.08484,4.60735,-0.29318488,0.08280335,4.6371746,0.21416998,0.4028442,3.3320107,0.11276484,9.700298,-0.63041747,5.0841975,10.978941,-0.051189482,-0.17493464,8.655551,-0.24902353,0.039438616,8.421065,-0.38636976,0.4529995
t10,5.4736,-0.06999383,8.792153,2.1367805,-0.19295907,0.043534864,3.9592955,0.14493735,0.4550319,1.9435458,0.08636135,7.8536,-0.4724637,5.4627886,7.6930313,-0.050666627,-0.0928412,6.3126183,-0.1332452,0.025899332,5.922842,-0.27265334,-0.012813073
t11,5.399996,-0.063716106,8.627486,1.980071,-0.18590532,0.039685376,3.8895466,0.1396269,0.45626014,1.8352269,0.084082626,7.7262983,-0.460558,5.453044,7.5175104,-0.050552335,-0.08825351,6.204394,-0.128682,0.0253657,5.7403,-0.26471427,-0.01303843
t12,5.1066856,-0.050011788,8.109435,1.662225,-0.16861834,0.034803577,3.6891804,0.13031961,0.44135794,1.6786389,0.078014605,7.271823,-0.42544344,5.337118,6.9182634,-0.0524547,-0.07820933,5.8097005,-0.11216556,0.024114845,5.3325367,-0.2450263,-0.0129100755
t13,4.065063,-0.069192484,8.620736,3.196373,-0.19492647,0.049614288,2.3134036,0.1461668,0.27985224,1.562021,0.07901314,5.7794657,-0.43984547,2.7810636,7.4291577,-0.011725802,-0.07000667,6.7325587,-0.17178403,0.023128742,4.629691,-0.21209244,0.04777137
t14,8.659385,-0.50476456,9.888349,4.80173,-0.3407654,0.17969424,7.0499067,0.27894515,0.3567706,7.841707,0.14055575,11.837724,-0.60096496,5.9935403,13.009049,-0.12349006,-0.15916257,6.1676373,-0.28511998,0.0654709,14.211202,-0.67076707,2.058715
t15,9.544208,-0.6070337,9.525599,4.688617,-0.35468513,0.21726753,8.039206,0.30190632,0.3807135,9.653817,0.15329878,12.771844,-0.5903765,6.6951313,13.8171015,-0.1540154,-0.14582434,5.434008,-0.29318708,0.07036524,16.724424,-0.7843259,2.6047962
t16,7.644156,-0.5325286,6.064372,1.9987324,-0.221412,0.19072343,6.866146,0.24957398,0.37098524,9.486812,0.12412823,9.698786,-0.38311154,5.8577766,10.169876,-0.16617528,-0.024114847,1.9325665,-0.19243018,0.0641613,14.6991625,-0.7313091,2.1576736
