"accepted_species","trait_ARD"
"t1","0"
"t2","0"
"t7","0"
"t8","0"
"t9",NA
"t27","0"
"t28",NA
"t111","0"
"t112","0"
"t86","0"
"t87","0"
"t57","0"
"t58","0"
"t52","0"
"t33","0"
"t34","0"
"t70","0"
"t71","0"
"t146","0"
"t147","0"
"t39",NA
"t40","0"
"t53","0"
"t129","0"
"t130","0"
"t80","0"
"t78","0"
"t79","0"
"t44","0"
"t121","0"
"t122","0"
"t101","0"
"t102","1"
"t68","0"
"t109","0"
"t110","0"
"t127",NA
"t128","0"
"t85","0"
"t62","0"
"t107","0"
"t108","0"
"t59","0"
"t72","0"
"t73","0"
"t65","0"
"t74","0"
"t75","1"
"t69","0"
"t95","0"
"t96","0"
"t29","0"
"t89","1"
"t90","1"
"t30","0"
"t31","0"
"t123","1"
"t124","1"
"t18","0"
"t115","0"
"t116","0"
"t83","1"
"t32","0"
"t47","1"
"t84","1"
"t100","1"
"t125","1"
"t126","0"
"t94",NA
"t140","0"
"t141","0"
"t142","0"
"t143","0"
"t64","0"
"t81","0"
"t82","0"
"t20","0"
"t54","0"
"t55","0"
"t49","0"
"t97","0"
"t98","0"
"t50","0"
"t51","0"
"t35","0"
"t134",NA
"t135","0"
"t12","0"
"t16","0"
"t36","0"
"t119","0"
"t120","0"
"t93","0"
"t91",NA
"t92","0"
"t48",NA
"t63","0"
"t144","0"
"t145","0"
"t131","0"
"t61","0"
"t138","0"
"t139","0"
"t11","0"
"t10","0"
"t5","1"
"t6","0"
"t99",NA
"t117",NA
"t118","0"
"t26",NA
"t22","0"
"t21","0"
"t37","0"
"t56","0"
"t76","0"
"t77",NA
"t14","0"
"t15","0"
"t19","0"
"t38","0"
"t103","0"
"t104",NA
"t13","1"
"t41","0"
"t148","0"
"t149","0"
"t17","0"
"t132",NA
"t133","0"
"t60","0"
"t45","0"
"t113","0"
"t114","1"
"t88","1"
"t136","1"
"t137","1"
"t46","0"
"t23","1"
"t24","0"
"t25","0"
"t66","1"
"t67",NA
"t42","0"
"t43","0"
"t105","0"
"t106","0"
"t3","0"
"t4","0"
