,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
t1,-3.5575714,2.2630398,-0.6082933,3.3093863,2.4784534,6.2570515,4.6036534,2.633472,3.368034,7.846233,4.6848254,6.2619486,5.6797786,4.901348,5.534294,4.9601703,5.5874147,5.4677653,5.9677796,5.0608616,5.584543,7.593679,3.9653325,4.874145,4.101613,4.413339,5.6895676,4.838397,2.9519029,5.475099,2.9868617,5.7365303,4.7695723,5.0213685
t8,5.326323,5.1692853,3.668389,4.2980185,4.254921,6.438809,6.52757,0.9753081,2.5541306,8.328137,4.5949707,4.022723,5.8875017,4.6347795,5.3726087,4.951845,5.342552,5.017698,6.740179,5.5969605,5.437812,7.3669534,5.4768,5.338445,3.6836705,4.736549,5.0026813,4.139729,3.6140757,6.0180764,2.8550334,5.579789,6.3519516,5.272296
t111,-2.9171753,2.4752245,-0.5931514,5.3395586,2.1850336,6.141496,4.72163,2.6643605,3.822351,6.6439486,4.3530436,6.118883,5.8637223,4.764265,5.784237,4.785721,5.7629175,6.0422945,4.8039055,5.869527,4.4461565,7.687057,4.1866903,5.1764717,3.498239,5.0108123,5.787896,4.9261856,1.8962531,5.4758344,3.8933835,4.5840592,4.9045715,5.246502
t140,-2.9166558,2.463423,-0.6019543,5.3380446,2.1800773,6.127978,4.725134,2.6769881,3.811322,6.6441836,4.3362885,6.131982,5.8804994,4.7761993,5.799469,4.777462,5.7508435,6.042833,4.806341,5.865478,4.449289,7.6729493,4.2006927,5.1884785,3.4859169,5.0151043,5.775054,4.942141,1.8988503,5.4679823,3.8945653,4.584004,4.898987,5.2630534
t157,-3.14695,2.3581357,-0.822879,4.803812,2.0531368,6.037052,4.5536985,2.7578225,3.7903805,6.919287,4.4852257,6.164623,5.7732344,4.9007883,5.7703476,4.652895,5.6839433,6.0623083,5.155209,5.784575,4.81568,7.5773754,4.21252,5.1786766,3.5368972,4.929806,5.7993712,4.8435445,2.25508,5.374595,3.6396747,4.866986,4.738831,5.1431108
t241,-3.0702336,2.3936505,-0.83170027,4.8500056,2.0324397,6.044594,4.6067996,2.7563307,3.8171098,6.839041,4.41716,6.155612,5.824844,4.8690267,5.801153,4.6605535,5.7061825,6.1144567,5.0688996,5.8573565,4.7394943,7.5973635,4.2329445,5.2155776,3.460037,4.9870043,5.783812,4.885761,2.1808455,5.3689914,3.7154465,4.7853603,4.7559676,5.184894
t242,-3.1130316,2.3699644,-0.81876343,4.832086,2.047514,6.0421305,4.583419,2.758422,3.8015742,6.8844733,4.45019,6.1584,5.7956295,4.883345,5.779726,4.6573887,5.6995554,6.0882716,5.121215,5.818494,4.7839575,7.584636,4.21903,5.195588,3.5016656,4.958763,5.789194,4.867544,2.2240534,5.3687496,3.6743603,4.8307986,4.747907,5.1629252
t160,-3.0020196,2.416262,-0.7586098,5.0382013,2.0720246,6.061418,4.636844,2.7427258,3.8317337,6.743389,4.3749895,6.139791,5.8412848,4.838953,5.814356,4.685058,5.731608,6.1093917,4.9531846,5.8793797,4.6148906,7.6081142,4.2363753,5.2246695,3.44934,5.0204606,5.785853,4.9055986,2.0595794,5.3887763,3.8021696,4.688396,4.796037,5.2028117
t133,-3.0608444,2.4081192,-0.80868846,4.892908,2.0519156,6.0555363,4.6117334,2.7388968,3.823035,6.821355,4.408225,6.1527677,5.8302336,4.8584404,5.808906,4.6773615,5.7064414,6.09816,5.037994,5.8425884,4.705908,7.610276,4.2272625,5.208507,3.4762843,4.9795084,5.7910457,4.886515,2.1478257,5.3894773,3.7271311,4.7894983,4.7795124,5.1895933
t167,-3.013543,2.4021506,-0.779702,5.0155053,2.0523093,6.0563636,4.6385293,2.756113,3.833273,6.7404265,4.3767376,6.1441045,5.842202,4.842978,5.79949,4.6726456,5.734918,6.130225,4.9681735,5.901204,4.6317205,7.6055007,4.237038,5.2317514,3.4260418,5.0335536,5.778201,4.9137206,2.076124,5.375613,3.8060136,4.6779523,4.787619,5.2044125
