,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
t1,11.266255,-0.5287332,0.008768404,0.0077909655,-0.29656205,-0.3379771,1.5710784,13.29766,10.068486,3.499012,11.326559,7.7189474,0.00064969575,-0.26482698,-0.22007297,2.458069,1.06805,5.6330595,7.5807567,-0.9615112,0.22199573,16.099869,15.348705,12.007274,6.186319,0.35687932,0.5427228,3.9495301,20.192043,0.2570969,-0.08783752,0.006628129,-0.16664962,-0.23183936
t8,-0.60527796,-1.4039676,0.03142172,6.2330556,-0.34082833,-0.09196743,3.2589018,-3.3261085,2.025603,4.130297,0.25835672,0.16550565,2.3974779e-05,8.701518,5.102534,0.07966814,-0.2855711,10.757722,-0.004418661,-3.6286666,1.2357634,1.143325,-0.5682529,-1.3218626,3.0657613,3.2030714,0.169515,-0.019497924,-0.81926435,0.01148446,7.623351,0.042113695,-1.7668991,-0.031019734
t111,2.167379,-0.7521588,0.03437706,3.9794443,-0.04161261,-0.10542983,8.008589,-0.8932877,1.2929034,12.179942,4.356244,-0.59229946,0.00028980526,-0.07096549,-0.03691251,6.249203,-0.3691844,3.3389163,-0.0281611,-0.76551616,0.6713502,-0.084179096,3.2552557,3.6468313,3.26375,8.275848,0.12003184,-0.10481712,-0.09394643,0.07146316,1.626774,0.017777454,-0.53963643,-0.32097498
t140,3.4127073,-0.593205,0.037441857,3.2128997,-0.06976246,-0.12216398,8.356391,-0.43807513,1.9045998,13.025753,5.2800994,-0.6721503,0.00033026864,-0.16936597,-0.10103942,6.726113,-0.3150721,2.8552308,-0.02977889,-0.5608593,0.8313328,-0.022157086,5.1530194,5.446149,3.617112,8.337801,0.19422598,-0.12688364,1.1646658,0.103401884,0.40435672,0.019075235,-0.453682,-0.33580807
t157,12.709089,-0.59826076,0.03830808,0.7861668,-0.20635687,-0.26950008,8.905449,4.790055,5.7943807,14.2692795,9.993456,-0.24477531,0.0009322588,-0.32786897,-0.29078394,10.868152,-0.6110973,1.1024194,0.50789326,-1.1082675,1.4212911,3.8806052,15.963963,13.436279,6.802004,9.231314,0.44405702,-0.09582516,14.306648,0.03299272,-0.16208631,0.04062949,-0.71445686,-0.28077212
t241,9.03874,-0.4977534,0.03564507,1.0333731,-0.19074163,-0.19209395,8.748264,2.412797,4.1113825,14.098333,8.096688,-0.43094662,0.0007461993,-0.2982809,-0.19801202,9.567455,-0.51785135,1.4181255,-0.008167278,-0.82915264,1.2025129,2.2732244,12.141578,10.614004,5.2347264,8.590983,0.33473614,-0.13535203,9.170865,0.06778228,-0.09909357,0.032693516,-0.5712554,-0.3665661
t242,12.556433,-0.6065513,0.0371334,0.7041218,-0.22131462,-0.24857055,9.049131,4.6358185,5.506403,14.471123,9.819427,-0.26704046,0.0009166328,-0.32684895,-0.2803605,10.976587,-0.59622175,1.0295031,0.39432108,-1.0792168,1.4330693,3.7260575,15.562398,13.237168,6.7098184,9.313092,0.4296447,-0.099934556,13.766938,0.046481714,-0.14027826,0.040602442,-0.7125182,-0.29632786
t160,6.2058496,-0.47648203,0.03495541,1.8512443,-0.13489038,-0.15067366,8.481332,0.7364734,3.2986326,13.534499,6.7456255,-0.58666086,0.00054882315,-0.25704536,-0.16064383,8.153778,-0.39702937,2.051021,-0.01385512,-0.61905766,1.0022188,1.2869955,8.873952,8.322774,4.0890646,8.165731,0.2634737,-0.1401941,5.583724,0.08857274,-0.084563576,0.024918895,-0.47145712,-0.39058623
t133,8.191401,-0.45090967,0.03535523,1.0977964,-0.18041027,-0.1782388,8.494118,1.937478,3.8656757,13.562751,7.5045,-0.45580745,0.0006810757,-0.27828434,-0.17043139,8.864092,-0.4700671,1.5036794,-0.010132809,-0.69996464,1.0780954,2.1195269,11.073336,9.728638,4.8173656,8.358157,0.32364443,-0.13823675,8.195009,0.08152302,-0.11088494,0.029867457,-0.53408176,-0.34975025
t167,7.121619,-0.47716507,0.034420673,1.4482789,-0.1461807,-0.16289188,8.503762,1.4103056,3.502565,13.69564,7.080717,-0.5260051,0.00061220315,-0.2696234,-0.16461684,8.535103,-0.45236945,1.7647284,-0.014384443,-0.64168024,1.0160533,1.751577,9.82761,8.915416,4.408511,8.400065,0.28986973,-0.14384395,6.754488,0.08584064,-0.08311741,0.026737459,-0.49953905,-0.37430725
