,models,stat,p value,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-22.717418890265645,9.395644776196393e-92,1.2214338209055311e-90
1,corHMM_logit_umap_supervised,-15.947929154235,5.774742218333673e-51,6.929690662000408e-50
2,corHMM_logit_umap,-15.775270926918886,5.098352513945356e-50,5.608187765339892e-49
3,corHMM_logit_PEM,-14.74012436114021,1.775739718165928e-44,1.7757397181659279e-43
4,corHMM_logit_eigenvecs,-14.175053718510934,1.499946708236626e-41,1.3499520374129633e-40
5,corHMM_xgb_umap,-13.107515494681605,3.1612099697458254e-36,2.5289679757966603e-35
6,corHMM_logit_autoencoded,-12.4498610176829,4.337061730901185e-33,3.03594321163083e-32
7,corHMM_xgb_PEM,-12.37516156517943,9.690733734719239e-33,5.814440240831544e-32
8,corHMM_logit_autoenc_supervised,-11.903080841007545,1.4387600007474774e-30,7.193800003737388e-30
9,corHMM_xgb_autoencoded,-11.689030089092412,1.325499050179258e-29,5.301996200717032e-29
10,corHMM_xgb_eigenvecs,-11.103110850076927,4.960691665335624e-27,1.4882074996006874e-26
11,corHMM_xgb_autoenc_supervised,-10.64321288258657,4.414514385461739e-25,8.829028770923477e-25
12,corHMM_phylnn_fill_means,-6.184978690129521,9.182588356733874e-10,9.182588356733874e-10
