,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,80.0,80,80,80,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
unique,,1,2,2,1,,,,,,,,,,,,,
top,,ARD,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,80,40,40,80,,,,,,,,,,,,,
mean,227.7,,,,,0.817604500437502,0.14837997807358883,0.1635077554340476,0.19712733891000844,0.2006702190538582,0.21623111293551864,0.198104294677817,0.19783281746784973,0.17634476143526936,0.1878225656563633,0.25189937887858244,0.18201889483646136,0.18515823756954825
std,111.12866303000068,,,,,1.0323555366199937,0.07434457748374707,0.07739820529252085,0.0795089647749637,0.08501187343488827,0.09378656530560026,0.08187116023459959,0.08408868009126053,0.0855055763464161,0.0891394778890547,0.12742748601316056,0.09103351999486832,0.08896517867482205
min,48.0,,,,,0.503054902603399,8.203966901536434e-06,0.0,9.314773696795282e-05,9.302520428357887e-05,9.302415756188378e-05,9.306466929329654e-05,9.304110766870466e-05,0.0001234567654321,0.0001234567654321,0.0001234567654321,0.0001234567654321,0.0001234567654321
25%,134.25,,,,,0.5353307167330388,0.1067282113233513,0.12273103806249618,0.1650191083180306,0.16958860902095618,0.1826177616914097,0.17187743272123532,0.17927888818990956,0.1434684543615097,0.14581233434676227,0.19329782085077651,0.13410517563379382,0.15719536057628014
50%,243.5,,,,,0.619361139657187,0.1567724940852877,0.18755485638775715,0.22934693561488464,0.2234603921453148,0.23197403998085758,0.2242831038021813,0.2231019691497691,0.1892806559742459,0.20853762981691784,0.27916970968302085,0.1969485980738656,0.2040476548811414
75%,335.25,,,,,0.6861220298957705,0.21000665040451388,0.2145588564560751,0.24875946622033066,0.2522898164602475,0.2770218415427873,0.25001267636187874,0.24766941611954554,0.23514876630486004,0.24650713270876776,0.3354191530858206,0.2436950090801935,0.2416408872780949
max,399.0,,,,,7.12894767384982,0.2805540867638768,0.3054544515252797,0.3362441451161138,0.4625556408990885,0.5094034886519174,0.3897356616310826,0.4611619378615672,0.3386143851436725,0.3570008220229079,0.601051814547356,0.4093670391085082,0.34222713203249
