,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_PEM,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_PEM,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,34.0,34,34,34,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
unique,,1,2,2,1,,,,,,,,,,,,,,,
top,,bBMT,mcar,ultrametric,binary,,,,,,,,,,,,,,,
freq,,34,17,22,34,,,,,,,,,,,,,,,
mean,210.85294117647058,,,,,3.8227078704501083,0.037285486714189804,0.0436420686037555,0.14183436314748124,0.12036744062723559,0.13628174334256088,0.14096144664817245,0.13001030038483705,0.13952285062389153,0.031214493949119394,0.03286335900213012,0.03693059218725438,0.03267978777443464,0.03311916749003788,0.03585913690292293
std,121.06550502202872,,,,,8.144345027101595,0.07480324191079801,0.0845838322280149,0.10873639121835764,0.08007438829392148,0.10786398022595298,0.10847173448935919,0.10288922840768196,0.10705673799185586,0.06103353825463986,0.06723879784899274,0.09367985468569641,0.07216776702126435,0.07818149772210485,0.08889190934549565
min,20.0,,,,,0.516107290334501,1.7561687536215457e-05,0.0,3.145150053438345e-05,6.69499308871873e-05,0.0002308611204153,0.001101746168463,2.919803865246123e-09,0.0001589119784561,5.251074774490038e-05,5.251074774490038e-05,5.251074774490038e-05,5.251074774490038e-05,3.827096102476073e-05,5.251074774490038e-05
25%,116.25,,,,,0.807909040525237,6.895009873024164e-05,6.85212040729183e-05,0.003808340712008575,0.07793888189258316,0.0035647165121424,0.007779813748057874,0.003562120155443225,0.003860265960985225,0.00012345654321,0.00012345654321,0.00012345654321,0.00012345654321,0.00012345654321,0.00012345654321
50%,214.5,,,,,1.24079299685813,0.00039057102860855003,0.0010018381257028,0.21491860296254356,0.13995802773607585,0.19485551708967558,0.21051920772405686,0.16743148815022874,0.20221607870887126,0.00018730745910615002,0.00018730745910615002,0.000151266006521,0.00018730745910615002,0.0001234567654321,0.00018730745910615002
75%,322.75,,,,,3.55571780447751,0.0268220181074501,0.07273184867942903,0.23877693556263055,0.17829988554507023,0.22680467422145123,0.22785922840512426,0.23170697031624668,0.23263380472479483,0.03220207729841765,0.023546278943854852,0.0038477469092399004,0.00938588195279225,0.001133100126262475,0.0044927622628297
max,363.0,,,,,35.4844691069326,0.2554058760219704,0.3276666666666666,0.2666951013061998,0.3050807081697722,0.2846841254933354,0.3464079024857738,0.2508211576591677,0.273736530029486,0.2299823268679954,0.2487741281777598,0.4380693570915813,0.2853768559200186,0.319656492112274,0.4261542861611985
